recommended_role	bridge_score	ingredient_id	ingredient_name	priority_class	priority_score	evidence_count	reference_count	clinical_trial_count	meta_analysis_count	b_cell_evidence_count	myeloid_dc_evidence_count	lincs_exact_id_covered	herb_literature_unique_targets	herb_database_unique_targets	bulk_uc_ibd_up150_target_hits	bulk_uc_ibd_down150_target_hits	target_count_bias_flag	up150_hit_genes	b_axis_delta	b_axis_p	b_axis_patient_label_null_p	mdc_axis_delta	mdc_axis_p	mdc_axis_patient_label_null_p	low_specificity_flag	best_b_cell_evidence	best_myeloid_dc_evidence	herb_evidence_sources
secondary_lead_for_myeloid_axis	28.35	HBIN018512	Bilobalide	priority_for_lincs_mapping	17.0	2	2	0	0	0	1	no	27	8	4	0	no	IL1B;ITGAX;NOS2;PTGS2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway	HERB_reference:2
secondary_lead_for_myeloid_axis	23.55	HBIN017136	Asperuloside	priority_for_lincs_mapping	19.0	2	2	0	0	0	1	no	11	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways	HERB_reference:2
secondary_lead_for_myeloid_axis	18.0	HBIN023000	Dehydrocostus lactone	secondary_literature_supported	10.0	2	2	0	0	0	2	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Dehydrocostus Lactone Attenuates Methicillin-Resistant Staphylococcus aureus-Induced Inflammation and Acute Lung Injury via Modulating Macrophage Polarization	HERB_reference:2
secondary_lead_for_myeloid_axis	17.0	HBIN039698	P-hydroxyphenethyl-beta-d-glucoside	secondary_literature_supported	13.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Salidroside alleviates ulcerative colitis via inhibiting macrophage pyroptosis and repairing the dysbacteriosis-associated Th17/Treg imbalance	HERB_reference:1
secondary_lead_for_myeloid_axis	16.0	HBIN019495	Campherol	secondary_literature_supported	10.0	1	1	0	0	0	1	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Kaempferol Alleviates Murine Experimental Colitis by Restoring Gut Microbiota and Inhibiting the LPS-TLR4-NF-κB Axis	HERB_reference:1
secondary_lead_for_myeloid_axis	16.0	HBIN042438	Rosmarinic acid	secondary_literature_supported	10.0	2	2	0	0	0	1	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Rosmarinic acid represses colitis-associated colon cancer: A pivotal involvement of the TLR4-mediated NF-κB-STAT3 axis	HERB_reference:2
secondary_lead_for_myeloid_axis	16.0	HBIN047173	Triptolide	secondary_literature_supported	10.0	1	1	0	0	0	1	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Dendritic cell combination therapy reduces the toxicity of triptolide and ameliorates colitis in murine models	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN016074	Anemoside b	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Anemoside B4 ameliorates TNBS-induced colitis through S100A9/MAPK/NF-κB signaling pathway	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN017212	Astragalin	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Astragalin Attenuates Dextran Sulfate Sodium (DSS)-Induced Acute Experimental Colitis by Alleviating Gut Microbiota Dysbiosis and Inhibiting NF-κB Activation in Mice	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN021714	Crocin	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		The Protection of Crocin Against Ulcerative Colitis and Colorectal Cancer via Suppression of NF-κB-Mediated Inflammation	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN022795	Daurisoline	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Daurisoline alleviated experimental colitis in vivo and in vitro: Involvement of NF-κB and Wnt/β-Catenin pathway	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN024134	Dioscin	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Dioscin ameliorates murine ulcerative colitis by regulating macrophage polarization	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN032355	Kumujian b	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Nigakinone alleviates DSS-induced experimental colitis via regulating bile acid profile and FXR/NLRP3 signaling pathways	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN037568	Nuciferine	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Nuciferine alleviates intestinal inflammation by inhibiting MAPK/NF-κB and NLRP3/Caspase 1 pathways in vivo and in vitro	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN037642	Obacunone	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Obacunone Protects Against Ulcerative Colitis in Mice by Modulating Gut Microbiota, Attenuating TLR4/NF-κB Signaling Cascades, and Improving Disrupted Epithelial Barriers	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN039240	Perillyl alcohol	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Perillyl alcohol attenuates chronic restraint stress aggravated dextran sulfate sodium-induced ulcerative colitis by modulating TLR4/NF-κB and JAK2/STAT3 signaling pathways	HERB_reference:1
secondary_lead_for_myeloid_axis	14.0	HBIN046423	Tiliroside	secondary_literature_supported	10.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Tiliroside Ameliorates Ulcerative Colitis by Restoring the M1/M2 Macrophage Balance via the HIF-1α/glycolysis Pathway	HERB_reference:1
secondary_lead_for_myeloid_axis	13.0	HBIN026264	Evodiamine	secondary_literature_supported	9.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Evodiamine Attenuates Experimental Colitis Injury Via Activating Autophagy and Inhibiting NLRP3 Inflammasome Assembly	HERB_reference:1
secondary_lead_for_myeloid_axis	13.0	HBIN030108	Indirubin	secondary_literature_supported	9.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Indirubin regulates T cell differentiation by promoting αVβ8 expression in bone marrow-derived dendritic cells to alleviate inflammatory bowel disease	HERB_reference:1
secondary_lead_for_myeloid_axis	13.0	HBIN038488	Oxymatrine	secondary_literature_supported	9.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Oxymatrine ameliorated experimental colitis via mechanisms involving inflammatory DCs, gut microbiota and TLR/NF-κB pathway	HERB_reference:1
secondary_lead_for_myeloid_axis	13.0	HBIN043028	Sanguinarine	secondary_literature_supported	9.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Sanguinarine protects against indomethacin-induced small intestine injury in rats by regulating the Nrf2/NF-κB pathways	HERB_reference:1
secondary_lead_for_myeloid_axis	13.0	HBIN043798	Sesamin	secondary_literature_supported	9.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Sesamin protects against DSS-induced colitis in mice by inhibiting NF-κB and MAPK signaling pathways	HERB_reference:1
secondary_lead_for_myeloid_axis	12.0	HBIN016609	Arctigenin	secondary_literature_supported	6.0	1	1	0	0	0	1	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Arctigenin disrupts NLRP3 inflammasome assembly in colonic macrophages via downregulating fatty acid oxidation to prevent colitis-associated cancer	HERB_reference:1
secondary_lead_for_myeloid_axis	12.0	HBIN041663	Quercetin,3-o-rutinoside	secondary_literature_supported	6.0	1	1	0	0	0	1	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Rutin prevents inflammation-associated colon damage via inhibiting the p38/MAPKAPK2 and PI3K/Akt/GSK3β/NF-κB signalling axes and enhancing splenic Tregs in DSS-induced murine chronic colitis	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN003500	20-(s)-ginsenoside-rg3	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Ginsenoside Rg3 treats acute radiation proctitis through the TLR4/MyD88/NF-κB pathway and regulation of intestinal flora	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN014230	Abk	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Abscisic acid suppresses the activation of NLRP3 inflammasome and oxidative stress in murine allergic airway inflammation	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN015074	Albiflorin	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Albiflorin ameliorates inflammation and oxidative stress by regulating the NF-κB/NLRP3 pathway in Methotrexate-induced enteritis	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN017927	Berlambine	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Oxyberberine, a novel gut microbiota-mediated metabolite of berberine, possesses superior anti-colitis effect: Impact on intestinal epithelial barrier, gut microbiota profile and TLR4-MyD88-NF-κB pathway	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN018620	Bisdemethoxycurcumin	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Bisdemethoxycurcumin Alleviates Dextran Sodium Sulfate-Induced Colitis via Inhibiting NLRP3 Inflammasome Activation and Modulating the Gut Microbiota in Mice	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN019550	Cannabichromene	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		The cannabinoid TRPA1 agonist cannabichromene inhibits nitric oxide production in macrophages and ameliorates murine colitis	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN021403	Convallatoxin	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Convallatoxin inhibits IL-1β production by suppressing zinc finger protein 91 (ZFP91)-mediated pro-IL-1β ubiquitination and caspase-8 inflammasome activity	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN037940	Oleanolic acid	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Oleanolic acid enhances tight junctions and ameliorates inflammation in Salmonella typhimurium-induced diarrhea in mice via the TLR4/NF-κB and MAPK pathway	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN043437	Scoparone	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Scoparone suppresses mitophagy-mediated NLRP3 inflammasome activation in inflammatory diseases	HERB_reference:1
secondary_lead_for_myeloid_axis	10.0	HBIN047656	Uvaol	secondary_literature_supported	6.0	1	1	0	0	0	1	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no		Anti-inflammatory properties of uvaol on DSS-induced colitis and LPS-stimulated macrophages	HERB_reference:1
backup_tcm_candidate	57.0	HBIN046831	Trans-resveratrol	priority_for_lincs_mapping	27.0	6	2	1	3	0	0	yes	214	1513	52	15	yes	ADGRE2;ARNTL2;BCL2A1;C3;C4BPB;CCL2;CHI3L1;CLDN1;COL1A1;CXCL1;CXCL10;CXCL6;CXCL8;DEFA5;DUOX2;FOS;FPR1;ICAM1;IDO1;IGFBP5;IL1A;IL1B;IL1RN;IL7R;ITGA5;MMP1;MMP3;MMP7;MMP9;NOS2;PDZK1IP1;PLAU;PTGS2;REG3A;RGS5;S100P;SELE;SERPINA1;SERPINA3;SERPINB3;SERPINB5;SERPINB7;SERPINB9;SLC2A3;SLC7A11;SLCO1B3;SOCS3;SPP1;TDO2;TGM2;TIMP1;TNFAIP6	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_clinical_trial:1;HERB_meta_analysis:3;HERB_reference:2
backup_tcm_candidate	49.8	HBIN016606	Archin	priority_for_lincs_mapping	22.0	4	4	0	0	0	0	yes	96	263	14	5	no	BCL2A1;CCL2;CXCL1;CXCL5;CXCL8;IL1A;IL1B;MMP1;MMP3;MMP9;NOS2;PLAU;PTGS2;SLCO1B3	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:4
backup_tcm_candidate	49.0	HBIN034657	Melatonin	priority_for_lincs_mapping	20.0	5	2	1	2	0	0	yes	161	106	14	3	no	CD274;COL1A1;CXCL8;FOS;ICAM1;IL1A;IL1B;LCN2;MMP3;MMP9;NNMT;NOS2;PTGS2;SLCO1B3	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_clinical_trial:1;HERB_meta_analysis:2;HERB_reference:2
backup_tcm_candidate	45.5	HBIN017893	Berberine	priority_for_lincs_mapping	18.0	3	3	0	0	0	0	yes	187	82	13	7	no	CCL2;CD274;CXCL8;FOS;IL1A;IL1B;MMP3;MMP9;NOS2;OSMR;PTGS2;TIMP1;VWF	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:3
backup_tcm_candidate	41.5	HBIN019690	Capsaicin	priority_for_lincs_mapping	14.0	2	2	0	0	0	0	yes	60	334	15	4	no	C2;CFB;CFI;CXCL8;FOS;GZMK;ICAM1;IL1B;KLK10;MMP1;MMP9;NOS2;PLAU;PTGS2;TIMP1	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
backup_tcm_candidate	36.7	HBIN040403	Polydatin	priority_for_lincs_mapping	17.0	2	2	0	0	0	0	yes	54	18	10	2	no	CCL2;CXCL10;CXCL8;ICAM1;IL1B;NOS2;PTGS2;SELE;SELP;SPP1	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
backup_tcm_candidate	32.35	HBIN048442	Xanthohumol	priority_for_lincs_mapping	16.0	2	1	1	0	0	0	yes	47	34	8	1	no	ICAM1;MMP3;MMP9;NOS2;PTGS2;S100A8;SELE;TIMP1	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_clinical_trial:1;HERB_reference:1
backup_tcm_candidate	30.85	HBIN025006	Ellagic acid	priority_for_lincs_mapping	13.0	2	2	0	0	0	0	yes	77	18	8	1	no	CCL2;CTSK;CXCL8;FOS;IL1B;MMP9;NOS2;PTGS2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
backup_tcm_candidate	27.65	HBIN021795	Cryptotanshinone	priority_for_lincs_mapping	18.0	3	3	0	0	0	0	no	73	89	4	4	no	IL1B;MMP9;NOS2;PTGS2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:3
backup_tcm_candidate	26.95	HBIN027450	Geniposide	priority_for_lincs_mapping	14.0	2	2	0	0	0	0	no	79	12	6	3	no	CCL2;COL1A1;CXCL8;FOS;IL1B;NOS2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
backup_tcm_candidate	26.45	HBIN041217	Pterostilbene	priority_for_lincs_mapping	13.0	2	2	0	0	0	0	yes	79	44	5	1	no	IL1B;MMP9;NOS2;PLAU;PTGS2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
backup_tcm_candidate	23.55	HBIN034558	Matrine	priority_for_lincs_mapping	17.0	2	2	0	0	0	0	no	41	35	3	2	no	ICAM1;IL1B;MMP9	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
backup_tcm_candidate	21.4	HBIN044493	Spermidine	priority_for_lincs_mapping	15.0	2	2	0	0	0	0	yes	28	0	2	0	no	ICAM1;TGM2	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
backup_tcm_candidate	17.35	HBIN015751	Alpinetin	priority_for_lincs_mapping	13.0	2	2	0	0	0	0	no	27	1	2	1	no	COL1A1;IL1B	0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
low_priority	16.0	HBIN047654	Uvadex	background_or_control	14.0	2	0	2	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_clinical_trial:2
low_priority	15.0	HBIN032453	Kynurenine	secondary_literature_supported	15.0	1	1	0	0	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	15.0	HBIN036380	Naringin	secondary_literature_supported	13.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	15.0	HBIN045135	Sulforathane	secondary_literature_supported	13.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
backup_tcm_candidate	14.15	HBIN018800	Brahmic acid	priority_for_lincs_mapping	14.0	2	2	0	0	0	0	no	3	1	0	1	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:2
low_priority	14.0	HBIN030105	Indigo	background_or_control	14.0	3	0	0	3	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_meta_analysis:3
low_priority	14.0	HBIN020141	Cerebroside	background_or_control	12.0	1	0	0	1	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_meta_analysis:1
low_priority	14.0	HBIN028057	Glutamine	background_or_control	12.0	1	0	0	1	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_meta_analysis:1
low_priority	14.0	HBIN032819	Ldp	background_or_control	12.0	2	0	1	1	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_clinical_trial:1;HERB_meta_analysis:1
low_priority	13.0	HBIN030187	Inosine	secondary_literature_supported	13.0	1	1	0	0	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	13.0	HBIN047572	Urc	background_or_control	13.0	2	0	0	2	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_meta_analysis:2
low_priority	13.0	HBIN048376	Wogonoside	secondary_literature_supported	13.0	1	1	0	0	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	12.0	HBIN033803	Luteolin	secondary_literature_supported	10.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	12.0	HBIN040107	Piplartine	secondary_literature_supported	10.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	12.0	HBIN047613	Ursolic acid	secondary_literature_supported	10.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	11.0	HBIN026550	Flavone	secondary_literature_supported	11.0	1	1	0	0	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	11.0	HBIN032538	Lactose	background_or_control	11.0	1	0	1	0	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_clinical_trial:1
low_priority	11.0	HBIN042735	Saccharose	background_or_control	11.0	2	0	1	1	0	0	no	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_clinical_trial:1;HERB_meta_analysis:1
low_priority	11.0	HBIN007410	3,4-dihydroxyphenethyl alcohol	secondary_literature_supported	9.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	11.0	HBIN015866	Ammidin	secondary_literature_supported	9.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	11.0	HBIN016600	Arbutin	secondary_literature_supported	9.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
low_priority	11.0	HBIN019759	Carnosol	secondary_literature_supported	9.0	1	1	0	0	0	0	yes	0	0	0	0	no		0.538393	0.00606061	0.00229977	0.253899	0.383333	0.20438	no			HERB_reference:1
