accession	gene_symbol	gene_title	gene_id	best_probe_id	log2fc	t_stat	p_value	fdr	probe_count
GSE87466	FAP	fibroblast activation protein alpha	2191	209955_PM_s_at	1.99305	12.7771	3.47141e-23	3.39175e-20	1
GSE87466	RUNDC3B	RUN domain containing 3B	154661	241703_PM_at	-2.16476	-17.403	3.67378e-23	3.40696e-20	2
GSE87466	ALDH1A2	aldehyde dehydrogenase 1 family member A2	8854	207016_PM_s_at	1.96205	12.772	3.63969e-23	3.40696e-20	2
GSE87466	MAOA	monoamine oxidase A	4128	212741_PM_at	-1.1757	-12.7684	3.63967e-23	3.40696e-20	3
GSE87466	ICAM1	intercellular adhesion molecule 1	3383	202637_PM_s_at	1.73996	14.6006	4.34253e-23	3.89511e-20	3
GSE87466	MEP1A	meprin A subunit alpha	4224	206000_PM_at	-1.64428	-12.6877	6.32948e-23	5.58577e-20	1
GSE87466	COL5A2	collagen type V alpha 2 chain	1290	221729_PM_at	1.28818	14.298	6.8675e-23	5.96437e-20	2
GSE87466	CLDN2	claudin 2	9075	223509_PM_at	2.25719	15.0244	7.0285e-23	6.00882e-20	1
GSE87466	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	206262_PM_at	-2.23693	-12.7447	7.52475e-23	6.3341e-20	1
GSE87466	CEMIP	cell migration inducing hyaluronan binding protein	57214	212942_PM_s_at	2.53344	12.6154	8.55721e-23	7.09406e-20	2
GSE87466	CXCR2	C-X-C motif chemokine receptor 2	3579	207008_PM_at	2.07491	12.5788	9.44126e-23	7.71013e-20	1
GSE87466	VIL1	villin 1	7429	228912_PM_at	-1.07185	-12.5679	9.94856e-23	8.00493e-20	4
GSE87466	LINC01224	long intergenic non-protein coding RNA 1224	104472717	233142_PM_at	-1.58613	-13.6486	1.20853e-22	9.44639e-20	1
GSE87466	S100A12	S100 calcium binding protein A12	6283	205863_PM_at	2.52851	12.806	1.46181e-22	1.12652e-19	1
GSE87466	CSF3R	colony stimulating factor 3 receptor	1441	203591_PM_s_at	2.10935	12.5973	1.5949e-22	1.21201e-19	2
GSE87466	S100A8	S100 calcium binding protein A8	6279	214370_PM_at	4.04961	16.3732	1.75889e-22	1.30051e-19	2
GSE87466	ADGRF5	adhesion G protein-coupled receptor F5	221395	212950_PM_at	1.65207	13.2107	1.9055e-22	1.39013e-19	2
GSE87466	TNC	tenascin C	3371	201645_PM_at	2.66615	14.6423	2.62268e-22	1.86364e-19	3
GSE87466	FGFR2	fibroblast growth factor receptor 2	2263	203638_PM_s_at	-1.95489	-15.2968	3.30757e-22	2.29081e-19	11
GSE87466	PRRX1	paired related homeobox 1	5396	226695_PM_at	3.06651	16.8088	4.07963e-22	2.79021e-19	2
GSE87466	OLFM1	olfactomedin 1	10439	213131_PM_at	2.09092	14.4126	4.23518e-22	2.86084e-19	3
GSE87466	LSAMP	limbic system-associated membrane protein	4045	214460_PM_at	1.18964	13.1631	4.65351e-22	3.10508e-19	6
GSE87466	PTGES	prostaglandin E synthase	9536	210367_PM_s_at	1.7951	12.7552	4.98523e-22	3.25102e-19	2
GSE87466	GABRP	gamma-aminobutyric acid type A receptor pi subunit	2568	205044_PM_at	1.28449	12.6103	4.99105e-22	3.25102e-19	1
GSE87466	CPXM1	carboxypeptidase X, M14 family member 1	56265	227860_PM_at	1.66127	13.6966	5.10626e-22	3.28693e-19	1
GSE87466	PDPN	podoplanin	10630	226658_PM_at	1.42785	13.4155	6.8887e-22	4.33236e-19	4
GSE87466	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	222162_PM_s_at	1.82318	14.4737	8.32817e-22	5.11995e-19	2
GSE87466	LAX1	lymphocyte transmembrane adaptor 1	54900	207734_PM_at	1.91101	13.3745	1.04247e-21	6.33764e-19	1
GSE87466	SLC2A3	solute carrier family 2 member 3	6515	202497_PM_x_at	1.65259	12.502	1.08505e-21	6.52401e-19	3
GSE87466	CDH3	cadherin 3	1001	203256_PM_at	2.41232	16.1188	1.16818e-21	6.9475e-19	1
GSE87466	CENPV	centromere protein V	201161	226611_PM_s_at	-1.04423	-13.0176	1.40248e-21	8.16348e-19	3
GSE87466	DUOXA1	dual oxidase maturation factor 1	90527	1555404_PM_a_at	2.41133	14.7135	1.49483e-21	8.60943e-19	2
GSE87466	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	27071	222858_PM_s_at	2.34679	16.5748	1.57745e-21	8.99064e-19	4
GSE87466	WISP1-OT1	WISP1 overlapping transcript 1	106144543	229802_PM_at	2.75766	13.8056	1.70089e-21	9.59425e-19	1
GSE87466	CRELD2	cysteine rich with EGF like domains 2	79174	218358_PM_at	0.968983	14.8205	2.66434e-21	1.48754e-18	1
GSE87466	KLHL5	kelch like family member 5	51088	226001_PM_at	1.45809	14.0094	2.71189e-21	1.4988e-18	5
GSE87466	KCNJ8	potassium voltage-gated channel subfamily J member 8	3764	205303_PM_at	1.46195	12.7041	3.28816e-21	1.79912e-18	2
GSE87466	C1S	complement component 1, s subcomponent	716	208747_PM_s_at	1.34258	14.6221	3.82175e-21	2.07037e-18	2
GSE87466	IL1B	interleukin 1 beta	3553	205067_PM_at	3.13224	13.5809	4.11724e-21	2.18713e-18	2
GSE87466	IMPA2	inositol monophosphatase 2	3613	203126_PM_at	-1.16333	-13.3029	4.09261e-21	2.18713e-18	1
GSE87466	LILRB2	leukocyte immunoglobulin like receptor B2	10288	207697_PM_x_at	1.63831	13.2046	4.23923e-21	2.23028e-18	2
GSE87466	CXCL6	C-X-C motif chemokine ligand 6	6372	206336_PM_at	2.64087	13.1292	4.63932e-21	2.41753e-18	1
GSE87466	SOWAHA	sosondowah ankyrin repeat domain family member A	134548	230238_PM_at	-1.9672	-12.3842	4.89651e-21	2.52748e-18	1
GSE87466	HOXA2	homeobox A2	3199	214457_PM_at	-1.08012	-14.1728	5.10132e-21	2.60859e-18	1
GSE87466	GUCA2A	guanylate cyclase activator 2A	2980	207003_PM_at	-1.99979	-11.8846	5.22064e-21	2.64488e-18	1
GSE87466	CMBL	carboxymethylenebutenolidase homolog	134147	227522_PM_at	-1.15284	-12.5242	5.40141e-21	2.71136e-18	3
GSE87466	THY1	Thy-1 cell surface antigen	7070	208850_PM_s_at	1.73714	14.1232	7.1058e-21	3.50265e-18	3
GSE87466	BGN	biglycan	633	201262_PM_s_at	1.14767	11.7596	7.9871e-21	3.86738e-18	3
GSE87466	TUBAL3	tubulin alpha like 3	79861	220310_PM_at	-1.94633	-13.2686	8.78065e-21	4.17768e-18	1
GSE87466	FAHD1	fumarylacetoacetate hydrolase domain containing 1	81889	227960_PM_s_at	-0.81476	-12.4497	9.41936e-21	4.44293e-18	2
GSE87466	COL6A3	collagen type VI alpha 3 chain	1293	201438_PM_at	1.60091	16.2225	9.92795e-21	4.6428e-18	1
GSE87466	CYYR1	cysteine and tyrosine rich 1	116159	228665_PM_at	1.29407	13.1488	1.31546e-20	6.09961e-18	2
GSE87466	PRDX6	peroxiredoxin 6	9588	200844_PM_s_at	-0.593146	-13.3677	1.36686e-20	6.28468e-18	2
GSE87466	CYR61	cysteine rich angiogenic inducer 61	3491	210764_PM_s_at	1.57012	11.8618	2.24316e-20	1.01433e-17	2
GSE87466	GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	79158	240106_PM_at	-0.990003	-12.4797	2.68126e-20	1.2025e-17	3
GSE87466	UGT1A6	UDP glucuronosyltransferase family 1 member A6	54578	206094_PM_x_at	-1.98674	-13.5652	3.06171e-20	1.36196e-17	2
GSE87466	PADI2	peptidyl arginine deiminase 2	11240	209791_PM_at	-1.72357	-13.0094	3.19726e-20	1.41079e-17	3
GSE87466	MMP7	matrix metallopeptidase 7	4316	204259_PM_at	2.22399	13.023	3.24907e-20	1.42218e-17	1
GSE87466	CADM1	cell adhesion molecule 1	23705	209030_PM_s_at	1.80877	13.4263	3.39802e-20	1.47441e-17	6
GSE87466	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	957	226594_PM_at	-1.50063	-12.2176	3.42227e-20	1.47441e-17	4
GSE87466	ZBP1	Z-DNA binding protein 1	81030	208087_PM_s_at	1.13635	12.2535	3.73157e-20	1.5951e-17	2
GSE87466	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	5570	223551_PM_at	-2.06054	-12.2107	3.83092e-20	1.62487e-17	2
GSE87466	FXYD3	FXYD domain containing ion transport regulator 3	5349	202488_PM_s_at	-1.13509	-11.4052	3.92783e-20	1.65316e-17	2
GSE87466	TGM2	transglutaminase 2	7052	201042_PM_at	2.10922	15.642	4.46002e-20	1.86282e-17	4
GSE87466	TMEM171	transmembrane protein 171	134285	240770_PM_at	-1.55756	-12.8537	4.93053e-20	2.04374e-17	2
GSE87466	SLC11A1	solute carrier family 11 member 1	6556	210423_PM_s_at	1.80957	11.3331	5.66828e-20	2.3235e-17	6
GSE87466	CXCL8	C-X-C motif chemokine ligand 8	3576	202859_PM_x_at	3.99739	13.9798	6.80605e-20	2.75847e-17	2
GSE87466	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	57758	219197_PM_s_at	-1.71481	-16.1423	7.97578e-20	3.20879e-17	1
GSE87466	CXCL17	C-X-C motif chemokine ligand 17	284340	226960_PM_at	1.29845	11.34	9.63854e-20	3.84944e-17	1
GSE87466	C17orf96	chromosome 17 open reading frame 96	100170841	228066_PM_at	1.22859	11.9865	9.97202e-20	3.95376e-17	1
GSE87466	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	23035	213407_PM_at	-1.79926	-14.2171	1.02298e-19	3.96349e-17	2
GSE87466	LOXL2	lysyl oxidase like 2	4017	202998_PM_s_at	1.60644	14.0642	1.02863e-19	3.96349e-17	4
GSE87466	PECAM1	platelet and endothelial cell adhesion molecule 1	5175	208981_PM_at	1.42422	13.947	1.00902e-19	3.96349e-17	5
GSE87466	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	9509	226311_PM_at	1.85853	12.9361	1.07233e-19	4.10297e-17	3
GSE87466	P2RY1	purinergic receptor P2Y1	5028	231925_PM_at	-1.59643	-12.6437	1.21885e-19	4.63121e-17	2
GSE87466	FAM20A	family with sequence similarity 20 member A	54757	226804_PM_at	1.4834	12.2112	1.2479e-19	4.70889e-17	4
GSE87466	UGT1A3	UDP glucuronosyltransferase family 1 member A3	54659	215125_PM_s_at	-2.07924	-13.1116	1.27307e-19	4.77096e-17	2
GSE87466	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	55450	218309_PM_at	-0.619709	-11.6292	1.3387e-19	4.98279e-17	3
GSE87466	CD44	CD44 molecule (Indian blood group)	960	229221_PM_at	1.05526	11.6449	1.83865e-19	6.75179e-17	13
GSE87466	CCL4	C-C motif chemokine ligand 4	6351	204103_PM_at	1.66245	11.6973	1.85123e-19	6.75267e-17	1
GSE87466	GATA6-AS1	GATA6 antisense RNA 1 (head to head)	100128893	236118_PM_at	-1.714	-12.2474	2.39719e-19	8.6291e-17	1
GSE87466	CLEC5A	C-type lectin domain family 5 member A	23601	219890_PM_at	1.5327	11.0186	2.83381e-19	1.00683e-16	1
GSE87466	SLA	Src-like-adaptor	6503	203760_PM_s_at	1.13152	11.8083	2.81821e-19	1.00683e-16	2
GSE87466	FAM49A	family with sequence similarity 49 member A	81553	208092_PM_s_at	1.59476	12.7246	2.95716e-19	1.03719e-16	3
GSE87466	TREM1	triggering receptor expressed on myeloid cells 1	54210	219434_PM_at	1.74623	11.0298	3.1471e-19	1.09677e-16	1
GSE87466	SOCS1	suppressor of cytokine signaling 1	8651	210001_PM_s_at	1.6069	13.4858	3.28606e-19	1.13447e-16	3
GSE87466	RASSF5	Ras association domain family member 5	83593	223322_PM_at	1.22154	13.3286	3.29673e-19	1.13447e-16	2
GSE87466	NRG1	neuregulin 1	3084	206343_PM_s_at	1.39742	11.2318	3.45693e-19	1.18216e-16	6
GSE87466	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	3294	204818_PM_at	-1.76099	-13.0731	3.55651e-19	1.20866e-16	1
GSE87466	ELK3	ELK3, ETS transcription factor	2004	221773_PM_at	1.60867	14.6792	3.60536e-19	1.2177e-16	2
GSE87466	OVOL1	ovo like transcriptional repressor 1	5017	229396_PM_at	-1.07439	-11.3794	3.67335e-19	1.23305e-16	2
GSE87466	FAM83A	family with sequence similarity 83 member A	84985	239586_PM_at	0.914568	10.961	3.84779e-19	1.28373e-16	4
GSE87466	UGT1A1	UDP glucuronosyltransferase family 1 member A1	54658	204532_PM_x_at	-2.1159	-12.8039	3.89992e-19	1.29324e-16	2
GSE87466	LOC727916	uncharacterized LOC727916	727916	1559322_PM_at	-1.57365	-12.3681	4.7544e-19	1.55771e-16	1
GSE87466	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	9448	206571_PM_s_at	0.90697	12.5151	4.86079e-19	1.58308e-16	5
GSE87466	CA12	carbonic anhydrase 12	771	214164_PM_x_at	-1.09354	-12.662	5.77212e-19	1.86877e-16	7
GSE87466	FABP1	fatty acid binding protein 1	2168	231693_PM_at	-0.674476	-10.9211	6.43646e-19	2.05948e-16	2
GSE87466	RGS5	regulator of G-protein signaling 5	8490	218353_PM_at	1.48775	13.5652	6.4912e-19	2.06488e-16	6
GSE87466	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	5106	202847_PM_at	-0.914191	-12.9726	6.53602e-19	2.06488e-16	1
GSE87466	EDN3	endothelin 3	1908	208399_PM_s_at	-1.62922	-11.1326	7.04121e-19	2.20148e-16	2
GSE87466	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	641700	228339_PM_at	1.75382	13.751	7.74469e-19	2.39977e-16	3
GSE87466	TNFSF8	tumor necrosis factor superfamily member 8	944	241819_PM_at	1.02237	11.1435	7.76311e-19	2.39977e-16	3
GSE87466	KCNJ15	potassium voltage-gated channel subfamily J member 15	3772	210119_PM_at	1.704	10.8054	8.5361e-19	2.62389e-16	3
GSE87466	GNA15	G protein subunit alpha 15	2769	205349_PM_at	1.29875	13.5349	1.01692e-18	3.10842e-16	1
GSE87466	RHOU	ras homolog family member U	58480	223168_PM_at	-1.64807	-13.9308	1.13141e-18	3.43332e-16	2
GSE87466	LOC100287411	similar to proline-rich nuclear receptor coactivator 2	100287411	230991_PM_at	-1.56887	-12.8815	1.13576e-18	3.43332e-16	1
GSE87466	PDE4B	phosphodiesterase 4B	5142	215671_PM_at	1.09066	10.8656	1.34786e-18	4.0104e-16	3
GSE87466	NNMT	nicotinamide N-methyltransferase	4837	202238_PM_s_at	2.00574	13.6264	1.36317e-18	4.03167e-16	3
GSE87466	EHD3	EH domain containing 3	30845	218935_PM_at	1.16605	11.7306	1.54581e-18	4.54726e-16	3
GSE87466	OVOL2	ovo like zinc finger 2	58495	211778_PM_s_at	-0.889689	-10.7971	1.70902e-18	5.00048e-16	2
GSE87466	WSCD1	WSC domain containing 1	23302	213155_PM_at	-2.23049	-15.4428	1.95057e-18	5.67688e-16	2
GSE87466	SH3BP5	SH3 domain binding protein 5	9467	201811_PM_x_at	1.01077	11.9809	2.04498e-18	5.85817e-16	2
GSE87466	COL1A2	collagen type I alpha 2 chain	1278	229218_PM_at	1.38444	10.9884	2.07262e-18	5.90643e-16	3
GSE87466	MMP3	matrix metallopeptidase 3	4314	205828_PM_at	5.10558	15.2344	2.15418e-18	6.10704e-16	1
GSE87466	PBLD	phenazine biosynthesis like protein domain containing	64081	219543_PM_at	-1.72697	-12.5342	2.57792e-18	7.27066e-16	2
GSE87466	PLA1A	phospholipase A1 member A	51365	219584_PM_at	1.85581	12.8602	2.60771e-18	7.31697e-16	1
GSE87466	VLDLR	very low density lipoprotein receptor	7436	209822_PM_s_at	-1.74935	-15.4337	2.74823e-18	7.67191e-16	1
GSE87466	PEX11A	peroxisomal biogenesis factor 11 alpha	8800	205160_PM_at	-1.36135	-13.107	2.78842e-18	7.73394e-16	2
GSE87466	FCN1	ficolin 1	2219	205237_PM_at	1.11661	11.0828	2.79872e-18	7.73394e-16	2
GSE87466	MMP9	matrix metallopeptidase 9	4318	203936_PM_s_at	2.56551	13.4957	2.9503e-18	8.06227e-16	1
GSE87466	EOMES	eomesodermin	8320	231776_PM_at	1.62715	12.8166	2.96174e-18	8.06227e-16	1
GSE87466	TMEM56	transmembrane protein 56	148534	234980_PM_at	-1.68491	-13.0145	3.28193e-18	8.88964e-16	2
GSE87466	LILRA2	leukocyte immunoglobulin like receptor A2	11027	207857_PM_at	1.5361	11.0055	3.78382e-18	1.0194e-15	4
GSE87466	KCND3	potassium voltage-gated channel subfamily D member 3	3752	215014_PM_at	0.935488	11.4644	3.80073e-18	1.0194e-15	4
GSE87466	EGFL6	EGF like domain multiple 6	25975	219454_PM_at	2.15557	10.9841	4.25629e-18	1.1305e-15	1
GSE87466	COL4A1	collagen type IV alpha 1 chain	1282	211981_PM_at	1.59528	12.3186	4.64859e-18	1.22873e-15	2
GSE87466	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	11174	237411_PM_at	1.06321	11.3166	4.7582e-18	1.25166e-15	3
GSE87466	BTG2	BTG anti-proliferation factor 2	7832	201235_PM_s_at	0.816676	10.4733	4.81094e-18	1.25948e-15	2
GSE87466	IDO1	indoleamine 2,3-dioxygenase 1	3620	210029_PM_at	3.06074	12.8808	4.89832e-18	1.27625e-15	1
GSE87466	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	5209	202464_PM_s_at	1.20552	13.3181	4.95101e-18	1.27718e-15	1
GSE87466	FADS1	fatty acid desaturase 1	3992	208962_PM_s_at	1.52732	12.1967	5.03421e-18	1.28713e-15	3
GSE87466	SLC43A3	solute carrier family 43 member 3	29015	213113_PM_s_at	1.14445	12.1722	5.9481e-18	1.49977e-15	2
GSE87466	CHI3L1	chitinase 3 like 1	1116	209396_PM_s_at	4.5666	14.7152	6.11102e-18	1.53378e-15	3
GSE87466	ANGPT2	angiopoietin 2	285	205572_PM_at	1.30566	12.2646	6.24947e-18	1.56137e-15	4
GSE87466	ADGRL4	adhesion G protein-coupled receptor L4	64123	219134_PM_at	1.512	12.3922	6.42096e-18	1.58254e-15	1
GSE87466	ADGRG3	adhesion G protein-coupled receptor G3	222487	220404_PM_at	1.06142	10.5424	7.2089e-18	1.76828e-15	2
GSE87466	LRPPRC	leucine rich pentatricopeptide repeat containing	10128	211615_PM_s_at	-0.792128	-13.2194	7.43123e-18	1.80711e-15	5
GSE87466	IL21R	interleukin 21 receptor	50615	221658_PM_s_at	1.09849	10.4223	7.64205e-18	1.85015e-15	3
GSE87466	TST	thiosulfate sulfurtransferase	7263	209605_PM_at	-1.11831	-11.5707	8.16091e-18	1.96707e-15	1
GSE87466	PRR26	proline rich 26	414235	1557548_PM_at	-1.5388	-12.5771	8.3442e-18	2.00243e-15	2
GSE87466	SEMA5A	semaphorin 5A	9037	213169_PM_at	-1.35679	-13.2028	8.99823e-18	2.14995e-15	3
GSE87466	CDKN2B	cyclin dependent kinase inhibitor 2B	1030	236313_PM_at	-1.71858	-11.2989	1.07012e-17	2.5347e-15	2
GSE87466	TRPM6	transient receptor potential cation channel subfamily M member 6	140803	224412_PM_s_at	-2.53338	-11.6521	1.23181e-17	2.84382e-15	4
GSE87466	TIMP1	TIMP metallopeptidase inhibitor 1	7076	201666_PM_at	2.11541	17.3104	1.22595e-17	2.84382e-15	1
GSE87466	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2	56938	224204_PM_x_at	1.7168	15.0551	1.22245e-17	2.84382e-15	4
GSE87466	SLCO1B3	solute carrier organic anion transporter family member 1B3	28234	206354_PM_at	1.5292	10.3	1.2286e-17	2.84382e-15	1
GSE87466	SERPING1	serpin family G member 1	710	200986_PM_at	1.43184	12.9418	1.38893e-17	3.17972e-15	1
GSE87466	GPR84	G protein-coupled receptor 84	53831	223767_PM_at	1.43451	10.3111	1.43882e-17	3.27399e-15	1
GSE87466	COL12A1	collagen type XII alpha 1 chain	1303	231766_PM_s_at	1.32851	10.3037	1.56117e-17	3.5152e-15	5
GSE87466	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	3290	205404_PM_at	1.69827	10.5765	1.58882e-17	3.5628e-15	1
GSE87466	IGFBP5	insulin like growth factor binding protein 5	3488	203424_PM_s_at	1.79441	11.6141	1.83246e-17	4.07573e-15	6
GSE87466	CPT1A	carnitine palmitoyltransferase 1A	1374	203633_PM_at	-1.22299	-14.3071	1.88638e-17	4.17868e-15	4
GSE87466	ZNF521	zinc finger protein 521	25925	226676_PM_at	1.06668	11.0523	1.90918e-17	4.21213e-15	2
GSE87466	APOL1	apolipoprotein L1	8542	209546_PM_s_at	1.70509	13.8027	2.03589e-17	4.438e-15	1
GSE87466	ABCB1	ATP binding cassette subfamily B member 1	5243	209993_PM_at	-2.06709	-13.1456	2.0547e-17	4.46123e-15	2
GSE87466	VAV1	vav guanine nucleotide exchange factor 1	7409	206219_PM_s_at	1.12887	11.5064	2.14592e-17	4.64087e-15	1
GSE87466	PIGZ	phosphatidylinositol glycan anchor biosynthesis class Z	80235	220041_PM_at	-1.62048	-10.8097	2.22378e-17	4.79032e-15	1
GSE87466	C1R	complement C1r subcomponent	715	212067_PM_s_at	1.33799	12.3768	2.31134e-17	4.95941e-15	1
GSE87466	PCDH7	protocadherin 7	5099	205534_PM_at	1.07624	10.1942	2.3205e-17	4.95962e-15	5
GSE87466	IL2RA	interleukin 2 receptor subunit alpha	3559	206341_PM_at	1.12161	10.4936	2.35572e-17	5.0153e-15	2
