gene_symbol	module	top50_rank_within_module	consensus_mean_log2fc	consensus_score	present_in_gse125527	mean_log1p_cpm_diseased_blineage	mean_log1p_cpm_healthy_blineage	delta_log1p_cpm_diseased_minus_healthy	mannwhitney_p	absolute_delta
HMGCS2	down	2	-4.0804	8.16079	no	0.0	0.0	0.0	1.0	0.0
CLDN8	down	3	-3.76459	7.52919	no	0.0	0.0	0.0	1.0	0.0
PCK1	down	4	-3.67247	7.34494	no	0.0	0.0	0.0	1.0	0.0
UGT2A3	down	5	-3.6035	7.20701	no	0.0	0.0	0.0	1.0	0.0
ABCG2	down	6	-3.49709	6.99417	no	0.0	0.0	0.0	1.0	0.0
CYP2B6	down	8	-3.10331	6.20663	no	0.0	0.0	0.0	1.0	0.0
MEP1B	down	9	-3.0949	6.18979	no	0.0	0.0	0.0	1.0	0.0
CYP2B7P	down	10	-3.08872	6.17744	no	0.0	0.0	0.0	1.0	0.0
CWH43	down	11	-2.9232	5.8464	no	0.0	0.0	0.0	1.0	0.0
SLC38A4	down	12	-2.85467	5.70934	no	0.0	0.0	0.0	1.0	0.0
SLC30A10	down	13	-2.82366	5.64731	no	0.0	0.0	0.0	1.0	0.0
TRPM6	down	14	-2.78613	5.57226	no	0.0	0.0	0.0	1.0	0.0
SLC51A	down	15	-2.73924	5.47848	no	0.0	0.0	0.0	1.0	0.0
CHP2	down	16	-2.71877	5.43753	no	0.0	0.0	0.0	1.0	0.0
ADH1C	down	17	-2.70385	5.40771	no	0.0	0.0	0.0	1.0	0.0
SLC17A4	down	18	-2.68248	5.36497	no	0.0	0.0	0.0	1.0	0.0
MT1M	down	19	-2.66641	5.33282	no	0.0	0.0	0.0	1.0	0.0
GUCA2A	down	20	-2.65782	5.31565	no	0.0	0.0	0.0	1.0	0.0
CA1	down	21	-2.63648	5.27297	no	0.0	0.0	0.0	1.0	0.0
GUCA2B	down	22	-2.62352	5.24705	no	0.0	0.0	0.0	1.0	0.0
GBA3	down	23	-2.50709	5.01418	no	0.0	0.0	0.0	1.0	0.0
APOBEC3B	down	24	-2.50334	5.00668	no	0.0	0.0	0.0	1.0	0.0
PADI2	down	25	-2.43624	4.87248	no	0.0	0.0	0.0	1.0	0.0
B4GALNT2	down	27	-2.34433	4.68866	no	0.0	0.0	0.0	1.0	0.0
SATB2-AS1	down	28	-2.30537	4.61074	no	0.0	0.0	0.0	1.0	0.0
HSD3B2	down	29	-2.29821	4.59642	no	0.0	0.0	0.0	1.0	0.0
ACSF2	down	30	-2.27304	4.54608	no	0.0	0.0	0.0	1.0	0.0
BEST2	down	31	-2.27157	4.54315	no	0.0	0.0	0.0	1.0	0.0
MS4A12	down	32	-2.24855	4.49709	no	0.0	0.0	0.0	1.0	0.0
BRINP3	down	33	-2.24562	4.49124	no	0.0	0.0	0.0	1.0	0.0
DHRS11	down	34	-2.20953	4.41905	no	0.0	0.0	0.0	1.0	0.0
SGK2	down	35	-2.13695	4.2739	no	0.0	0.0	0.0	1.0	0.0
SLC16A9	down	36	-2.11025	4.22051	no	0.0	0.0	0.0	1.0	0.0
PPARGC1A	down	38	-2.08211	4.16423	no	0.0	0.0	0.0	1.0	0.0
CAPN13	down	39	-2.0709	4.14179	no	0.0	0.0	0.0	1.0	0.0
HEPACAM2	down	40	-2.05096	4.10193	no	0.0	0.0	0.0	1.0	0.0
PRKG2	down	42	-2.01177	4.02354	no	0.0	0.0	0.0	1.0	0.0
NPY1R	down	43	-2.00626	4.01251	no	0.0	0.0	0.0	1.0	0.0
SLC51B	down	44	-2.00216	4.00433	no	0.0	0.0	0.0	1.0	0.0
PDE6A	down	45	-1.98909	3.97818	no	0.0	0.0	0.0	1.0	0.0
PBLD	down	46	-1.98773	3.97546	no	0.0	0.0	0.0	1.0	0.0
BMP3	down	47	-1.98402	3.96803	no	0.0	0.0	0.0	1.0	0.0
FGFR2	down	48	-1.9646	3.92919	no	0.0	0.0	0.0	1.0	0.0
MEP1A	down	49	-1.95299	3.90598	no	0.0	0.0	0.0	1.0	0.0
SLC3A1	down	50	-1.92843	3.85685	no	0.0	0.0	0.0	1.0	0.0
