accession	gene_symbol	gene_title	gene_id	best_probe_id	log2fc	t_stat	p_value	fdr	probe_count
GSE75214	CXorf36	chromosome X open reading frame 36	79742	8172254	1.01987	15.2292	3.98706e-24	2.94617e-21	1
GSE75214	STEAP4	STEAP4 metalloreductase	79689	8140840	2.83676	17.7874	4.91465e-24	3.4451e-21	1
GSE75214	TMEM236	transmembrane protein 236	653567	7926403	-2.58692	-15.5519	4.97308e-24	3.4451e-21	2
GSE75214	CA1	carbonic anhydrase 1	759	8151592	-3.09592	-14.3978	8.03428e-24	5.45216e-21	1
GSE75214	CSF3R	colony stimulating factor 3 receptor	1441	7914950	1.99902	14.1363	8.32538e-24	5.53671e-21	1
GSE75214	TTC9	tetratricopeptide repeat domain 9	23508	7975412	0.772965	17.9945	9.90968e-24	6.46111e-21	1
GSE75214	SLC39A5	solute carrier family 39 member 5	283375	7956229	-1.76083	-15.0128	1.43872e-23	9.20006e-21	1
GSE75214	RAVER2	ribonucleoprotein, PTB binding 2	55225	7902023	-1.65464	-18.5516	1.64691e-23	1.01619e-20	1
GSE75214	DYSF	dysferlin	8291	8042637	1.62587	14.2374	2.12037e-23	1.28194e-20	1
GSE75214	NNMT	nicotinamide N-methyltransferase	4837	7943998	1.51942	14.9037	2.19314e-23	1.30226e-20	1
GSE75214	TRIB2	tribbles pseudokinase 2	28951	8040365	1.9253	22.3248	2.60683e-23	1.52074e-20	1
GSE75214	PLCE1	phospholipase C epsilon 1	51196	7929388	-1.46358	-14.95	2.6773e-23	1.53492e-20	1
GSE75214	VNN2	vanin 2	8875	8129637	2.46997	14.5612	3.07816e-23	1.73483e-20	1
GSE75214	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)	100533107	8064111	1.0964	24.7136	3.53308e-23	1.95803e-20	1
GSE75214	SAA2	serum amyloid A2	6289	8180303	3.70871	20.3221	4.76678e-23	2.59844e-20	3
GSE75214	TDP2	tyrosyl-DNA phosphodiesterase 2	51567	8124262	-1.42292	-17.441	5.22393e-23	2.80171e-20	1
GSE75214	SERPINB7	serpin family B member 7	8710	8021623	2.89523	14.0651	5.36355e-23	2.83093e-20	1
GSE75214	AHCYL2	adenosylhomocysteinase like 2	23382	8136095	-1.22857	-13.8564	7.11934e-23	3.64204e-20	1
GSE75214	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	9649	8157949	-0.693753	-17.3013	7.084e-23	3.64204e-20	1
GSE75214	S100A8	S100 calcium binding protein A8	6279	7920244	4.14811	17.3874	1.46882e-22	7.40018e-20	1
GSE75214	MLKL	mixed lineage kinase domain like	197259	8002778	1.27455	19.0571	1.49688e-22	7.42899e-20	1
GSE75214	SOD2	superoxide dismutase 2, mitochondrial	6648	8130556	1.2719	13.4472	1.52081e-22	7.43676e-20	1
GSE75214	LRRC19	leucine rich repeat containing 19	64922	8160504	-2.14306	-13.9595	1.89218e-22	9.11866e-20	1
GSE75214	OLFML2B	olfactomedin like 2B	25903	7921882	1.23706	13.5945	2.09695e-22	9.96111e-20	1
GSE75214	RMND5A	required for meiotic nuclear division 5 homolog A	64795	8043310	-1.3124	-16.6597	2.5339e-22	1.18672e-19	1
GSE75214	ALPL	alkaline phosphatase, liver/bone/kidney	249	7898693	1.95453	15.087	2.84431e-22	1.3136e-19	1
GSE75214	FCN3	ficolin 3	8547	7914075	1.35081	14.3015	4.36152e-22	1.9867e-19	1
GSE75214	ZNF608	zinc finger protein 608	57507	8113761	-0.909205	-21.2184	4.53993e-22	2.04002e-19	1
GSE75214	APOL1	apolipoprotein L1	8542	8072735	2.37854	22.8254	4.60235e-22	2.0405e-19	1
GSE75214	ODC1	ornithine decarboxylase 1	4953	8050240	0.941149	13.6151	4.98017e-22	2.17896e-19	1
GSE75214	IL1B	interleukin 1 beta	3553	8054722	3.61857	16.7303	5.13498e-22	2.21751e-19	1
GSE75214	FPR2	formyl peptide receptor 2	2358	8030860	1.99011	13.1647	5.81624e-22	2.47951e-19	1
GSE75214	IL1RAP	interleukin 1 receptor accessory protein	3556	8084794	1.04662	13.2992	7.00886e-22	2.95011e-19	1
GSE75214	TREM1	triggering receptor expressed on myeloid cells 1	54210	8126303	2.03259	13.1302	7.87481e-22	3.20643e-19	1
GSE75214	COL4A2	collagen type IV alpha 2 chain	1284	7970033	1.42139	14.4185	7.9071e-22	3.20643e-19	1
GSE75214	CRIP2	cysteine rich protein 2	1397	7977397	1.02805	14.487	7.77354e-22	3.20643e-19	1
GSE75214	LY6E	lymphocyte antigen 6 complex, locus E	4061	8148572	1.09753	14.3566	1.03694e-21	4.15426e-19	1
GSE75214	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	8101893	-3.17078	-16.3034	1.09779e-21	4.34568e-19	1
GSE75214	CLSTN3	calsyntenin 3	9746	7953626	0.921687	16.9034	1.19286e-21	4.66647e-19	1
GSE75214	SERPINB3	serpin family B member 3	6317	8023696	3.73736	13.1575	1.20724e-21	4.66781e-19	1
GSE75214	SAA2-SAA4	SAA2-SAA4 readthrough	100528017	7946977	1.55836	14.8581	1.50752e-21	5.66562e-19	1
GSE75214	KCNN3	potassium calcium-activated channel subfamily N member 3	3782	7920552	0.969204	15.1267	1.49074e-21	5.66562e-19	1
GSE75214	TMEM98	transmembrane protein 98	26022	8006415	-0.887213	-16.714	1.51642e-21	5.66562e-19	1
GSE75214	METTL7A	methyltransferase like 7A	25840	7955441	-1.31686	-17.802	2.5572e-21	9.448e-19	1
GSE75214	FPR1	formyl peptide receptor 1	2357	8038899	1.77425	12.8061	3.05495e-21	1.1163e-18	1
GSE75214	CDH5	cadherin 5	1003	7996264	1.69072	16.228	3.10513e-21	1.1223e-18	1
GSE75214	HNF4A	hepatocyte nuclear factor 4 alpha	3172	8062823	-1.01655	-12.7041	3.85124e-21	1.36236e-18	1
GSE75214	NAAA	N-acylethanolamine acid amidase	27163	8101086	-1.71878	-18.2769	3.95905e-21	1.38575e-18	1
GSE75214	LDLRAD3	low density lipoprotein receptor class A domain containing 3	143458	7939376	0.858163	12.7559	6.58241e-21	2.27998e-18	1
GSE75214	PANX1	pannexin 1	24145	7943218	0.953632	15.0634	7.17655e-21	2.46015e-18	1
GSE75214	TMEM94	transmembrane protein 94	9772	8009796	-0.744346	-19.7714	7.31837e-21	2.48317e-18	1
GSE75214	MYO1A	myosin IA	4640	7964316	-1.3338	-12.5269	8.16299e-21	2.74178e-18	1
GSE75214	SLC22A23	solute carrier family 22 member 23	63027	8123658	-1.01071	-14.0279	8.32464e-21	2.76811e-18	1
GSE75214	KCNJ15	potassium voltage-gated channel subfamily J member 15	3772	8068583	1.64528	12.5124	8.62117e-21	2.83833e-18	1
GSE75214	PCDH17	protocadherin 17	27253	7969330	1.14663	13.4219	9.29412e-21	3.01361e-18	1
GSE75214	LRRC75A	leucine rich repeat containing 75A	388341	8013022	-1.08405	-14.4077	9.42545e-21	3.01361e-18	1
GSE75214	NBEAL1	neurobeachin like 1	65065	8047606	-0.886358	-14.7585	9.35594e-21	3.01361e-18	2
GSE75214	C4BPB	complement component 4 binding protein beta	725	7909306	2.13684	17.8981	9.80574e-21	3.10534e-18	1
GSE75214	ATP9A	ATPase phospholipid transporting 9A (putative)	10079	8067055	-0.943299	-13.2298	1.12009e-20	3.5137e-18	1
GSE75214	CD177	CD177 molecule	57126	8037298	-2.48499	-12.4406	1.18175e-20	3.67248e-18	2
GSE75214	IL1A	interleukin 1 alpha	3552	8054712	2.30854	13.5137	1.46932e-20	4.44162e-18	1
GSE75214	UBD	ubiquitin D	10537	8178295	2.17952	19.3491	1.46725e-20	4.44162e-18	2
GSE75214	INSC	inscuteable homolog (Drosophila)	387755	7938652	1.21247	16.5131	1.46012e-20	4.44162e-18	1
GSE75214	CBFB	core-binding factor beta subunit	865	7996393	0.861667	19.0745	1.70743e-20	5.11491e-18	1
GSE75214	SGK2	SGK2, serine/threonine kinase 2	10110	8062728	-1.97973	-17.9295	2.45826e-20	7.23381e-18	1
GSE75214	IDO1	indoleamine 2,3-dioxygenase 1	3620	8146092	4.22524	20.1419	2.48114e-20	7.23709e-18	1
GSE75214	ART3	ADP-ribosyltransferase 3	419	8095806	1.12529	14.4704	3.62378e-20	1.04781e-17	1
GSE75214	SLC44A1	solute carrier family 44 member 1	23446	8157038	-0.946461	-15.3957	3.76726e-20	1.0799e-17	1
GSE75214	CEP19	centrosomal protein 19	84984	8093145	0.603766	13.6137	4.27644e-20	1.21539e-17	1
GSE75214	MYO1D	myosin ID	4642	8014115	-1.23965	-17.8685	4.367e-20	1.23061e-17	1
GSE75214	TMEM163	transmembrane protein 163	81615	8055350	1.07063	12.6376	4.44013e-20	1.2407e-17	1
GSE75214	CTDSPL	CTD small phosphatase like	10217	8078650	-0.969556	-16.4501	5.15883e-20	1.42951e-17	1
GSE75214	WISP1	WNT1 inducible signaling pathway protein 1	8840	8148435	1.18185	12.8419	5.86594e-20	1.61202e-17	1
GSE75214	CXCL1	C-X-C motif chemokine ligand 1	2919	8095697	3.45437	24.6623	6.93131e-20	1.88918e-17	1
GSE75214	RNF213	ring finger protein 213	57674	8010454	1.3016	19.4132	8.68916e-20	2.34904e-17	2
GSE75214	S100A12	S100 calcium binding protein A12	6283	7920238	2.52333	11.9947	8.95412e-20	2.40115e-17	1
GSE75214	FCGR1CP	Fc fragment of IgG receptor Ic, pseudogene	100132417	7905060	1.45552	11.9955	9.71433e-20	2.56366e-17	3
GSE75214	C1orf210	chromosome 1 open reading frame 210	149466	7915500	-1.28735	-12.6626	9.68595e-20	2.56366e-17	1
GSE75214	IHH	indian hedgehog	3549	8059067	-1.10381	-14.7179	1.0164e-19	2.64042e-17	1
GSE75214	A1CF	APOBEC1 complementation factor	29974	7933640	-1.52714	-12.8551	1.21104e-19	3.11668e-17	1
GSE75214	TCEA3	transcription elongation factor A3	6920	7913593	-1.31001	-12.4761	1.22785e-19	3.11668e-17	1
GSE75214	FZD5	frizzled class receptor 5	7855	8058498	-1.09211	-12.1422	1.22326e-19	3.11668e-17	1
GSE75214	MMP19	matrix metallopeptidase 19	4327	7963946	1.00724	12.1928	1.2387e-19	3.1204e-17	1
GSE75214	KLK10	kallikrein related peptidase 10	5655	8038725	1.96363	11.9125	1.27178e-19	3.17964e-17	1
GSE75214	CXCR2	C-X-C motif chemokine receptor 2	3579	8048227	1.82276	12.1039	1.39128e-19	3.45245e-17	1
GSE75214	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	23035	8002571	-2.36655	-21.0066	1.42532e-19	3.51072e-17	1
GSE75214	THY1	Thy-1 cell surface antigen	7070	7952268	1.75692	14.0051	1.60637e-19	3.92757e-17	1
GSE75214	FAM20A	family with sequence similarity 20 member A	54757	8017867	1.04	11.8427	1.71861e-19	4.17133e-17	1
GSE75214	P3H1	prolyl 3-hydroxylase 1	64175	7915444	0.872052	15.888	1.79188e-19	4.31765e-17	1
GSE75214	KIAA0895	KIAA0895	23366	8139021	0.665045	14.866	1.85366e-19	4.43438e-17	1
GSE75214	MS4A12	membrane spanning 4-domains A12	54860	7940299	-2.76245	-11.7656	2.35492e-19	5.59096e-17	1
GSE75214	TUBB6	tubulin beta 6 class V	84617	8020220	0.636022	15.442	2.37076e-19	5.59096e-17	1
GSE75214	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326	7926900	0.745104	13.2657	2.75506e-19	6.4515e-17	1
GSE75214	FAHD1	fumarylacetoacetate hydrolase domain containing 1	81889	7992396	-1.20528	-17.8261	2.92586e-19	6.7563e-17	1
GSE75214	LIMA1	LIM domain and actin binding 1	51474	7963187	-0.634687	-11.908	2.91663e-19	6.7563e-17	1
GSE75214	CLYBL	citrate lyase beta like	171425	7969815	-1.3931	-18.3475	3.09812e-19	7.10474e-17	1
GSE75214	SLC7A5	solute carrier family 7 member 5	8140	8003298	1.83315	17.2327	4.46436e-19	1.00986e-16	1
GSE75214	CNTN3	contactin 3	5067	8088866	-1.9944	-21.9768	5.20614e-19	1.16969e-16	1
GSE75214	CHN2	chimerin 2	1124	8132013	-1.23903	-16.4761	5.34343e-19	1.19248e-16	1
GSE75214	PDPN	podoplanin	10630	7898057	1.38164	15.224	5.52846e-19	1.21753e-16	1
GSE75214	HDAC7	histone deacetylase 7	51564	7962659	0.629475	14.6693	5.52888e-19	1.21753e-16	1
GSE75214	NHSL1	NHS like 1	57224	8129888	-1.13594	-12.5146	5.67012e-19	1.24041e-16	1
GSE75214	GNA15	G protein subunit alpha 15	2769	8024572	1.8427	21.7449	6.3128e-19	1.37198e-16	1
GSE75214	MRPL35	mitochondrial ribosomal protein L35	51318	8043278	-0.927594	-14.7363	6.82767e-19	1.46473e-16	1
GSE75214	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	8069676	1.58319	13.8162	8.75574e-19	1.86632e-16	1
GSE75214	LILRB3	leukocyte immunoglobulin like receptor B3	11025	8039196	1.25296	11.6627	8.86602e-19	1.87779e-16	1
GSE75214	TRABD2A	TraB domain containing 2A	129293	8053379	-1.05909	-14.8984	9.03299e-19	1.90104e-16	1
GSE75214	HNF1B	HNF1 homeobox B	6928	8014591	-1.0735	-12.9014	9.20651e-19	1.91334e-16	1
GSE75214	PDLIM7	PDZ and LIM domain 7	9260	8116070	0.640803	12.9639	9.42983e-19	1.94758e-16	1
GSE75214	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	8445	7956930	-0.790365	-14.5581	9.58674e-19	1.96777e-16	1
GSE75214	ZNF385D	zinc finger protein 385D	79750	8085774	1.01363	11.6764	9.79408e-19	1.99799e-16	1
GSE75214	NR4A3	nuclear receptor subfamily 4 group A member 3	8013	8156848	1.11189	11.4556	1.02287e-18	2.07393e-16	1
GSE75214	COL1A1	collagen type I alpha 1 chain	1277	8016646	1.94333	14.5	1.05908e-18	2.13434e-16	1
GSE75214	VWF	von Willebrand factor	7450	7960464	2.04547	16.279	1.25511e-18	2.51415e-16	1
GSE75214	PRKCZ	protein kinase C zeta	5590	7897044	-0.589419	-11.8309	1.27657e-18	2.54183e-16	1
GSE75214	UNC5CL	unc-5 family C-terminal like	222643	8126248	1.19805	14.0292	1.5337e-18	3.01767e-16	1
GSE75214	PHLDA1	pleckstrin homology like domain family A member 1	22822	7965040	2.12392	19.7269	1.60183e-18	3.13318e-16	1
GSE75214	S1PR1	sphingosine-1-phosphate receptor 1	1901	7903393	1.09817	13.3455	1.76047e-18	3.42334e-16	1
GSE75214	CYR61	cysteine rich angiogenic inducer 61	3491	7902687	1.83811	12.7619	1.80828e-18	3.49587e-16	1
GSE75214	EXPH5	exophilin 5	23086	7951545	-2.18935	-16.08	1.88833e-18	3.62952e-16	1
GSE75214	PRDM1	PR/SET domain 1	639	8121257	1.92196	17.3076	2.13028e-18	4.04778e-16	1
GSE75214	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	7906435	1.015	13.2379	2.37595e-18	4.48893e-16	1
GSE75214	PROK2	prokineticin 2	60675	8088813	1.65749	11.5388	2.53469e-18	4.7433e-16	1
GSE75214	CES3	carboxylesterase 3	23491	7996361	-1.31568	-11.712	2.53912e-18	4.7433e-16	1
GSE75214	CEMIP	cell migration inducing hyaluronan binding protein	57214	7985317	2.41128	12.6712	2.61038e-18	4.84918e-16	1
GSE75214	NXPE4	neurexophilin and PC-esterase domain family member 4	54827	7951796	-1.92825	-11.2125	2.68125e-18	4.93913e-16	1
GSE75214	CCL4L1	C-C motif chemokine ligand 4 like 1	388372	8006621	1.82257	11.7999	2.73026e-18	4.93913e-16	3
GSE75214	WASL	Wiskott-Aldrich syndrome like	8976	8142671	-0.757032	-13.6161	2.69982e-18	4.93913e-16	1
GSE75214	TGFBRAP1	transforming growth factor beta receptor associated protein 1	9392	8054364	-0.43559	-12.2553	2.73307e-18	4.93913e-16	1
GSE75214	GABRP	gamma-aminobutyric acid type A receptor pi subunit	2568	8109926	1.52182	15.5238	2.8197e-18	5.06814e-16	1
GSE75214	C17orf62	chromosome 17 open reading frame 62	79415	8019507	0.502996	14.3879	2.93396e-18	5.24516e-16	1
GSE75214	ADGRF5	adhesion G protein-coupled receptor F5	221395	8126798	1.628	13.362	2.97226e-18	5.28522e-16	1
GSE75214	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	55450	7913237	-1.04362	-13.3097	3.04983e-18	5.39431e-16	1
GSE75214	ABCC9	ATP binding cassette subfamily C member 9	10060	7961710	1.06455	11.1655	3.31325e-18	5.82922e-16	1
GSE75214	SELENBP1	selenium binding protein 1	8991	7919984	-2.00722	-16.2551	3.36951e-18	5.897e-16	1
GSE75214	ALDH1A2	aldehyde dehydrogenase 1 family member A2	8854	7989199	1.27114	11.5985	3.53532e-18	6.15479e-16	1
GSE75214	XKR9	XK related 9	389668	8146900	0.996451	13.7023	3.60775e-18	6.24817e-16	1
GSE75214	AGT	angiotensinogen	183	7924987	1.0901	12.3995	3.71978e-18	6.39988e-16	1
GSE75214	NR5A2	nuclear receptor subfamily 5 group A member 2	2494	7908597	-0.98635	-13.6468	3.73384e-18	6.39988e-16	1
GSE75214	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	5208	7909285	-0.98682	-12.4995	3.96645e-18	6.76371e-16	1
GSE75214	ZNF704	zinc finger protein 704	619279	8151496	-1.27715	-16.3262	4.89977e-18	8.22412e-16	1
GSE75214	FGFR3	fibroblast growth factor receptor 3	2261	8093518	-1.21102	-17.9706	4.92063e-18	8.22412e-16	1
GSE75214	ACOT13	acyl-CoA thioesterase 13	55856	8117219	-1.00598	-14.6854	4.92181e-18	8.22412e-16	1
GSE75214	PAPPA	pappalysin 1	5069	8157487	1.0834	11.4112	5.19174e-18	8.58884e-16	1
GSE75214	SATB2-AS1	SATB2 antisense RNA 1	150538	8047257	-1.92387	-17.2676	5.37794e-18	8.85283e-16	1
GSE75214	ARHGAP35	Rho GTPase activating protein 35	2909	8029856	-0.689209	-17.3765	5.45424e-18	8.93421e-16	1
GSE75214	SLC35D2	solute carrier family 35 member D2	11046	8162586	-0.845304	-12.2102	5.56408e-18	9.06945e-16	1
GSE75214	IL13RA2	interleukin 13 receptor subunit alpha 2	3598	8174598	1.9572	11.254	5.75985e-18	9.34276e-16	1
GSE75214	PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1	57475	7975238	-0.774446	-11.0401	5.91215e-18	9.54324e-16	1
GSE75214	STRIP2	striatin interacting protein 2	57464	8136115	1.80129	17.4126	6.41655e-18	1.02946e-15	1
GSE75214	SEMA6A	semaphorin 6A	57556	8113666	-1.50592	-13.97	6.43956e-18	1.02946e-15	1
GSE75214	C4B_2	complement component 4B (Chido blood group), copy 2	100293534	8118409	1.96547	14.547	6.92583e-18	1.09146e-15	3
GSE75214	FFAR2	free fatty acid receptor 2	2867	8027862	1.66508	11.0553	6.99595e-18	1.09731e-15	1
GSE75214	SCP2	sterol carrier protein 2	6342	7901513	-0.858556	-12.2895	7.47336e-18	1.16123e-15	1
GSE75214	DEFB4B	defensin beta 4B	100289462	8144481	1.46549	11.0592	7.93847e-18	1.20534e-15	2
GSE75214	CYP4X1	cytochrome P450 family 4 subfamily X member 1	260293	7901272	1.41936	15.1704	7.81692e-18	1.20534e-15	1
GSE75214	MAGED4	MAGE family member D4	728239	8167673	0.558395	11.856	7.90747e-18	1.20534e-15	2
GSE75214	ZBP1	Z-DNA binding protein 1	81030	8067221	1.52765	19.235	7.99014e-18	1.20767e-15	1
GSE75214	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	55198	7966003	-1.25969	-15.6255	8.47577e-18	1.27528e-15	1
GSE75214	ELL2	elongation factor for RNA polymerase II 2	22936	8113220	1.26126	18.5243	8.63269e-18	1.2888e-15	2
GSE75214	EHD2	EH domain containing 2	30846	8029950	0.798811	11.9513	8.64317e-18	1.2888e-15	1
GSE75214	ABCB1	ATP binding cassette subfamily B member 1	5243	8140782	-2.71656	-20.6778	9.32544e-18	1.38433e-15	1
GSE75214	LILRA5	leukocyte immunoglobulin like receptor A5	353514	8039236	1.3245	10.9666	1.09569e-17	1.61928e-15	1
GSE75214	DERL3	derlin 3	91319	8074944	1.25872	14.6136	1.13063e-17	1.66353e-15	1
GSE75214	CES2	carboxylesterase 2	8824	7996345	-1.18515	-12.1715	1.22569e-17	1.79545e-15	1
GSE75214	SLC10A5	solute carrier family 10 member 5	347051	8151559	-2.0675	-14.5938	1.27763e-17	1.86332e-15	1
GSE75214	SERPINB4	serpin family B member 4	6318	8023688	2.56305	10.9311	1.34429e-17	1.95198e-15	1
GSE75214	GIPC2	GIPC PDZ domain containing family member 2	54810	7902518	-1.14283	-12.5579	1.4002e-17	2.02432e-15	1
GSE75214	ACVR1C	activin A receptor type 1C	130399	8055992	-1.53783	-16.0092	1.4323e-17	2.05479e-15	1
GSE75214	CENPV	centromere protein V	201161	8013015	-0.901311	-12.0511	1.43363e-17	2.05479e-15	1
GSE75214	HTRA1	HtrA serine peptidase 1	5654	7931097	0.752254	11.9128	1.64005e-17	2.34056e-15	1
GSE75214	PLA1A	phospholipase A1 member A	51365	8081890	1.12193	13.1833	1.67203e-17	2.376e-15	1
GSE75214	ANGPTL4	angiopoietin like 4	51129	8025402	1.3919	12.3535	1.75444e-17	2.4825e-15	1
GSE75214	RAPGEFL1	Rap guanine nucleotide exchange factor like 1	51195	8007043	-1.58977	-15.1831	1.7673e-17	2.4901e-15	1
GSE75214	DSG3	desmoglein 3	1830	8020762	2.2445	11.4097	1.99499e-17	2.79905e-15	1
GSE75214	LPIN1	lipin 1	23175	8040340	1.14707	20.171	2.08387e-17	2.91146e-15	1
GSE75214	ZNF57	zinc finger protein 57	126295	8024532	-1.04011	-15.1315	2.4137e-17	3.35817e-15	1
GSE75214	MTMR11	myotubularin related protein 11	10903	7919669	-1.37631	-13.6698	2.4492e-17	3.39337e-15	1
GSE75214	PRAF2	PRA1 domain family member 2	11230	8172531	0.806306	13.6579	2.5055e-17	3.45697e-15	1
GSE75214	SOCS3	suppressor of cytokine signaling 3	9021	8018864	2.46707	15.6652	2.68553e-17	3.67487e-15	1
GSE75214	LILRB2	leukocyte immunoglobulin like receptor B2	10288	8039212	1.40471	12.3809	2.67702e-17	3.67487e-15	1
GSE75214	MMP14	matrix metallopeptidase 14	4323	7973336	1.15909	14.3863	3.1181e-17	4.24931e-15	1
GSE75214	PCBP3	poly(rC) binding protein 3	54039	8069252	0.626377	12.0299	3.74812e-17	5.08704e-15	1
