gene_symbol	gene_title	datasets	evidence_groups	evidence_group_count	direction	direction_consistency	mean_log2fc	min_log2fc	max_log2fc	best_fdr	consensus_score
DUOXA2	dual oxidase maturation factor 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.78093	3.24296	4.31891	3.62002e-21	7.56187
CLDN8	claudin 8	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.76459	-3.84589	-3.6833	4.36887e-08	7.52919
VNN1	vanin 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.72317	3.41759	4.02875	1.07812e-10	7.44634
SAA2	serum amyloid A2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.67694	3.64518	3.70871	2.59844e-20	7.35389
PCK1	phosphoenolpyruvate carboxykinase 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.67247	-3.71354	-3.6314	5.68751e-25	7.34494
IDO1	indoleamine 2,3-dioxygenase 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.64299	3.06074	4.22524	7.23709e-18	7.28598
CXCL1	C-X-C motif chemokine ligand 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.63465	3.45437	3.81494	1.88918e-17	7.26931
UGT2A3	UDP glucuronosyltransferase family 2 member A3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.6035	-4.31692	-2.89009	1.54013e-25	7.20701
CXCL8	C-X-C motif chemokine ligand 8	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.53596	3.07453	3.99739	2.75847e-17	7.07192
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.49709	-3.79764	-3.19653	9.3573e-23	6.99417
MMP1	matrix metallopeptidase 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.49179	2.8442	4.13939	5.59823e-10	6.98359
SLC26A2	solute carrier family 26 member 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.48876	-4.52411	-2.4534	5.25172e-42	6.97751
AQP9	aquaporin 9	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.37809	3.31165	3.44453	4.33313e-26	6.75618
TCN1	transcobalamin 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.37597	3.16863	3.58332	1.4085e-32	6.75195
IL1B	interleukin 1 beta	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.3754	3.13224	3.61857	2.21751e-19	6.75081
SERPINB5	serpin family B member 5	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.30745	3.20371	3.41119	3.38225e-08	6.6149
LCN2	lipocalin 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	3.18023	2.83324	3.52722	1.67342e-08	6.36046
CYP2B6	cytochrome P450 family 2 subfamily B member 6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.10331	-3.19181	-3.01482	1.02155e-09	6.20663
MEP1B	meprin A subunit beta	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.0949	-3.17433	-3.01546	1.19667e-08	6.18979
CYP2B7P	cytochrome P450 family 2 subfamily B member 7, pseudogene	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-3.08872	-3.178	-2.99944	6.20074e-10	6.17744
MMP7	matrix metallopeptidase 7	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.98376	2.22399	3.74352	3.48075e-25	5.96751
CWH43	cell wall biogenesis 43 C-terminal homolog	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.9232	-3.03888	-2.80752	5.70623e-23	5.8464
KYNU	kynureninase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.91714	2.27239	3.56189	5.58415e-15	5.83428
FCGR3B	Fc fragment of IgG receptor IIIb	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.90231	2.4092	3.39542	3.00083e-14	5.80462
MMP12	matrix metallopeptidase 12	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.89752	2.5814	3.21364	6.55105e-08	5.79504
PTGS2	prostaglandin-endoperoxide synthase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.89001	2.54469	3.23533	6.03791e-11	5.78002
SERPINA3	serpin family A member 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.86608	2.77232	2.95984	7.01185e-28	5.73216
SLC38A4	solute carrier family 38 member 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.85467	-3.04525	-2.66409	1.59443e-08	5.70934
MMP10	matrix metallopeptidase 10	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.84809	2.28307	3.41312	1.10149e-26	5.69619
CXCL11	C-X-C motif chemokine ligand 11	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.83551	2.75827	2.91275	3.36755e-20	5.67102
TNC	tenascin C	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.82474	2.66615	2.98333	1.86364e-19	5.64948
SLC30A10	solute carrier family 30 member 10	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.82366	-3.03349	-2.61382	1.03494e-12	5.64731
TRPM6	transient receptor potential cation channel subfamily M member 6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.78613	-3.03888	-2.53338	2.84382e-15	5.57226
HCAR3	hydroxycarboxylic acid receptor 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.73939	2.16293	3.31585	1.62656e-24	5.47878
SLC51A	solute carrier family 51 alpha subunit	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.73924	-3.74549	-1.73299	6.5695e-09	5.47848
VSIG1	V-set and immunoglobulin domain containing 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.73914	1.67283	3.80544	1.44574e-32	5.47827
CHP2	calcineurin like EF-hand protein 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.71877	-2.85706	-2.58047	2.46971e-25	5.43753
CDH3	cadherin 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.71683	2.41232	3.02134	6.9475e-19	5.43366
ABCA12	ATP binding cassette subfamily A member 12	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.70745	1.75065	3.66425	1.0267e-36	5.4149
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.70385	-3.17078	-2.23693	6.3341e-20	5.40771
KLK10	kallikrein related peptidase 10	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.6872	1.96363	3.41077	1.05401e-22	5.3744
SLC17A4	solute carrier family 17 member 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.68248	-2.8719	-2.49307	2.83552e-23	5.36497
MT1M	metallothionein 1M	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.66641	-2.96893	-2.36389	1.54177e-11	5.33282
CXCL10	C-X-C motif chemokine ligand 10	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.66411	2.40886	2.91935	3.16339e-09	5.32821
GUCA2A	guanylate cyclase activator 2A	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.65782	-3.31586	-1.99979	4.83094e-22	5.31565
CA1	carbonic anhydrase 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.63648	-3.09592	-2.17705	5.45216e-21	5.27297
GUCA2B	guanylate cyclase activator 2B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.62352	-2.82073	-2.42632	2.78856e-14	5.24705
SERPINB3	serpin family B member 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.60825	1.47915	3.73736	4.66781e-19	5.21651
PI3	peptidase inhibitor 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.58435	2.29261	2.8761	1.01929e-08	5.16871
CXCL9	C-X-C motif chemokine ligand 9	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.57349	2.16809	2.97889	8.86346e-13	5.14698
TIMP1	TIMP metallopeptidase inhibitor 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.53568	2.11541	2.95596	2.84382e-15	5.07137
S100A12	S100 calcium binding protein A12	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.52592	2.52333	2.52851	1.12652e-19	5.05184
UBD	ubiquitin D	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.51885	2.17952	2.85818	4.44162e-18	5.0377
GBA3	glucosylceramidase beta 3 (gene/pseudogene)	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.50709	-3.07883	-1.93535	9.08639e-15	5.01418
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.50334	-2.6543	-2.35238	1.46173e-13	5.00668
SERPINB7	serpin family B member 7	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.49003	2.08484	2.89523	2.83093e-20	4.98007
DMBT1	deleted in malignant brain tumors 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.48838	2.35832	2.61843	3.51251e-07	4.97675
CXCL13	C-X-C motif chemokine ligand 13	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.47466	2.10624	2.84309	2.45661e-05	4.94933
CEMIP	cell migration inducing hyaluronan binding protein	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.47236	2.41128	2.53344	7.09406e-20	4.94472
DEFA5	defensin alpha 5	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.46136	1.71711	3.20562	5.16612e-06	4.92273
PROK2	prokineticin 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.45093	1.65749	3.24437	1.53518e-23	4.90186
NOS2	nitric oxide synthase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.45003	1.5524	3.34766	6.55524e-13	4.90006
TNFAIP6	TNF alpha induced protein 6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.44325	2.40673	2.47978	1.00148e-13	4.88651
MMP9	matrix metallopeptidase 9	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.44115	2.31679	2.56551	8.06227e-16	4.8823
PADI2	peptidyl arginine deiminase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.43624	-3.14891	-1.72357	2.33215e-33	4.87248
OSMR	oncostatin M receptor	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.43289	1.95329	2.91249	1.06608e-11	4.86578
SELP	selectin P	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.41908	2.33193	2.50623	2.58466e-25	4.83816
PRRX1	paired related homeobox 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.41695	1.76739	3.06651	2.79021e-19	4.8339
ABCB1	ATP binding cassette subfamily B member 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.39182	-2.71656	-2.06709	1.38433e-15	4.78365
IL13RA2	interleukin 13 receptor subunit alpha 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.37602	1.9572	2.79484	9.34276e-16	4.75204
STC1	stanniocalcin 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.37505	2.02658	2.72353	2.70812e-13	4.75011
REG4	regenerating family member 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.37465	1.73611	3.0132	2.00433e-10	4.74931
S100A9	S100 calcium binding protein A9	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.37143	2.2207	2.52217	6.9485e-24	4.74287
C3	complement component 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.35344	2.31234	2.39453	3.05834e-10	4.70687
B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.34433	-2.87002	-1.81864	4.86169e-07	4.68866
TGM2	transglutaminase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.31993	2.10922	2.53063	1.86282e-17	4.63985
STEAP4	STEAP4 metalloreductase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.30763	1.77851	2.83676	3.4451e-21	4.61527
SATB2-AS1	SATB2 antisense RNA 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.30537	-2.68687	-1.92387	5.04979e-22	4.61074
HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.29821	-2.78909	-1.80733	3.12446e-05	4.59642
SELL	selectin L	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.29723	2.23385	2.3606	1.03805e-07	4.59445
SPP1	secreted phosphoprotein 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.28997	2.26937	2.31057	1.75366e-14	4.57994
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.28611	2.22544	2.34679	8.99064e-19	4.57223
ACSF2	acyl-CoA synthetase family member 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.27304	-2.53259	-2.01349	6.75459e-13	4.54608
BEST2	bestrophin 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.27157	-2.43198	-2.11117	9.46953e-12	4.54315
TDO2	tryptophan 2,3-dioxygenase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.26618	1.98287	2.54948	1.53803e-12	4.53235
MS4A12	membrane spanning 4-domains A12	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.24855	-2.76245	-1.73464	5.59096e-17	4.49709
GREM1	gremlin 1, DAN family BMP antagonist	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.24819	1.6917	2.80468	7.00301e-09	4.49638
CFB	complement factor B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.24638	2.18418	2.30858	9.43465e-12	4.49276
BRINP3	BMP/retinoic acid inducible neural specific 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.24562	-2.3624	-2.12884	8.45886e-12	4.49124
CD274	CD274 molecule	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.21744	2.13285	2.30202	1.65819e-12	4.43487
C4BPB	complement component 4 binding protein beta	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.21533	2.13684	2.29382	3.10534e-18	4.43066
DHRS11	dehydrogenase/reductase 11	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.20953	-2.3531	-2.06595	5.42505e-27	4.41905
CD55	CD55 molecule (Cromer blood group)	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.20926	2.11476	2.30376	3.08222e-11	4.41852
DEFA6	defensin alpha 6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.19834	1.26281	3.13386	1.21638e-06	4.39667
FPR1	formyl peptide receptor 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.19407	1.77425	2.61388	2.25728e-23	4.38813
CCL18	C-C motif chemokine ligand 18	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.18586	2.09921	2.2725	6.4831e-07	4.37171
IRAK3	interleukin 1 receptor associated kinase 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.17068	1.92441	2.41696	1.10389e-11	4.34137
CFI	complement factor I	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.16024	2.04241	2.27808	8.97656e-09	4.32049
SLCO1B3	solute carrier organic anion transporter family member 1B3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.13892	1.5292	2.74864	2.38367e-21	4.27784
SGK2	SGK2, serine/threonine kinase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.13695	-2.29417	-1.97973	6.55277e-26	4.2739
IGFBP5	insulin like growth factor binding protein 5	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.13008	1.79441	2.46575	4.07573e-15	4.26016
ANXA1	annexin A1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.12051	1.84813	2.39289	1.87822e-09	4.24102
PLEK	pleckstrin	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.11524	1.60683	2.62364	1.13841e-11	4.23047
BCL2A1	BCL2 related protein A1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.11517	1.58103	2.64931	1.05908e-10	4.23034
C4BPA	complement component 4 binding protein alpha	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.11226	1.73746	2.48706	6.55524e-13	4.22452
SLC16A9	solute carrier family 16 member 9	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.11025	-2.3936	-1.82691	8.29214e-10	4.22051
SELE	selectin E	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.09958	1.52825	2.6709	2.8917e-22	4.19915
CCL2	C-C motif chemokine ligand 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.08869	1.95243	2.22495	4.37213e-08	4.17738
PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.08291	-2.36655	-1.79926	3.51072e-17	4.16581
PPARGC1A	PPARG coactivator 1 alpha	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.08211	-2.33052	-1.83371	1.65869e-21	4.16423
CCL20	C-C motif chemokine ligand 20	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.07517	1.9772	2.17314	2.81225e-06	4.15034
CAPN13	calpain 13	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.0709	-2.07347	-2.06832	6.37312e-09	4.14179
FDCSP	follicular dendritic cell secreted protein	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.06866	1.75559	2.38173	0.000120915	4.13732
CSF3R	colony stimulating factor 3 receptor	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.05418	1.99902	2.10935	5.53671e-21	4.10837
CXCL5	C-X-C motif chemokine ligand 5	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.05391	1.39945	2.70838	2.63459e-13	4.10783
HEPACAM2	HEPACAM family member 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.05096	-2.47762	-1.62431	1.89179e-08	4.10193
PLAU	plasminogen activator, urokinase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.04828	1.86178	2.23479	1.36465e-21	4.09657
WARS	tryptophanyl-tRNA synthetase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.04802	1.90309	2.19296	7.78303e-26	4.09605
APOL1	apolipoprotein L1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.04182	1.70509	2.37854	2.0405e-19	4.08363
ANPEP	alanyl aminopeptidase, membrane	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.03026	-2.04055	-2.01996	1.26158e-06	4.06051
VNN2	vanin 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.0255	1.58103	2.46997	1.73483e-20	4.051
PRKG2	protein kinase, cGMP-dependent, type II	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.01177	-2.67511	-1.34843	1.5069e-06	4.02354
NPY1R	neuropeptide Y receptor Y1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.00626	-2.62659	-1.38592	1.24593e-10	4.01251
IGK	immunoglobulin kappa locus	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	2.00241	1.47341	2.53141	1.75202e-07	4.00482
SLC51B	solute carrier family 51 beta subunit	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-2.00216	-2.07707	-1.92726	1.16636e-11	4.00433
CTLA4	cytotoxic T-lymphocyte associated protein 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	1.99545	1.17898	2.81191	2.09028e-14	3.99089
