patient_assignment	tissue_assignment	disease_assignment	celltype	gene_symbol	n_cells	sum_counts	detected_cells	detection_fraction	total_umi	log1p_cpm
C1	R	healthy	B:B1	ICAM1	1	0	0	0	3770	0
C1	R	healthy	B:B1	IFNG	1	0	0	0	3770	0
C1	R	healthy	B:B1	IL15	1	0	0	0	3770	0
C1	R	healthy	B:B1	IL1B	1	0	0	0	3770	0
C1	R	healthy	B:B1	IL7	1	0	0	0	3770	0
C1	R	healthy	B:B1	ITGAM	1	0	0	0	3770	0
C1	R	healthy	B:B1	ITGAX	1	0	0	0	3770	0
C1	R	healthy	B:B1	JAK1	1	1	1	1	3770	1.29542
C1	R	healthy	B:B1	LYZ	1	0	0	0	3770	0
C1	R	healthy	B:B1	MAFB	1	0	0	0	3770	0
C1	R	healthy	B:B1	MAP1LC3B	1	0	0	0	3770	0
C1	R	healthy	B:B1	MAPK14	1	0	0	0	3770	0
C1	R	healthy	B:B1	NFKB1	1	0	0	0	3770	0
C1	R	healthy	B:B1	NLRP3	1	0	0	0	3770	0
C1	R	healthy	B:B1	OSM	1	0	0	0	3770	0
C1	R	healthy	B:B1	PARP1	1	0	0	0	3770	0
C1	R	healthy	B:B1	PIAS1	1	0	0	0	3770	0
C1	R	healthy	B:B1	PKM	1	0	0	0	3770	0
C1	R	healthy	B:B1	PRKAA1	1	0	0	0	3770	0
C1	R	healthy	B:B1	PTGS2	1	0	0	0	3770	0
C1	R	healthy	B:B1	RELA	1	0	0	0	3770	0
C1	R	healthy	B:B1	SH3KBP1	1	0	0	0	3770	0
C1	R	healthy	B:B1	SMAD3	1	0	0	0	3770	0
C1	R	healthy	B:B1	SOD1	1	0	0	0	3770	0
C1	R	healthy	B:B1	STAT3	1	0	0	0	3770	0
C1	R	healthy	B:B1	STAT5A	1	0	0	0	3770	0
C1	R	healthy	B:B1	SYK	1	0	0	0	3770	0
C1	R	healthy	B:B1	TLR4	1	0	0	0	3770	0
C1	R	healthy	B:B1	TNF	1	0	0	0	3770	0
C1	R	healthy	B:B10	ACTA2	16	0	0	0	55886	0
C1	R	healthy	B:B10	AHR	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	AKT1	16	0	0	0	55886	0
C1	R	healthy	B:B10	ARNTL	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	BCL6	16	0	0	0	55886	0
C1	R	healthy	B:B10	BECN1	16	3	3	0.1875	55886	0.429707
C1	R	healthy	B:B10	BLNK	16	3	2	0.125	55886	0.429707
C1	R	healthy	B:B10	BRD4	16	2	1	0.0625	55886	0.305918
C1	R	healthy	B:B10	CAT	16	0	0	0	55886	0
C1	R	healthy	B:B10	CD4	16	0	0	0	55886	0
C1	R	healthy	B:B10	CD86	16	0	0	0	55886	0
C1	R	healthy	B:B10	CREB1	16	0	0	0	55886	0
C1	R	healthy	B:B10	CTNNB1	16	0	0	0	55886	0
C1	R	healthy	B:B10	DNMT1	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	FOXP3	16	0	0	0	55886	0
C1	R	healthy	B:B10	GABPA	16	2	2	0.125	55886	0.305918
C1	R	healthy	B:B10	HIF1A	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	HMOX1	16	0	0	0	55886	0
C1	R	healthy	B:B10	ICAM1	16	0	0	0	55886	0
C1	R	healthy	B:B10	IFNG	16	0	0	0	55886	0
C1	R	healthy	B:B10	IL15	16	0	0	0	55886	0
C1	R	healthy	B:B10	IL1B	16	0	0	0	55886	0
C1	R	healthy	B:B10	IL7	16	0	0	0	55886	0
C1	R	healthy	B:B10	ITGAM	16	0	0	0	55886	0
C1	R	healthy	B:B10	ITGAX	16	0	0	0	55886	0
C1	R	healthy	B:B10	JAK1	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	LYZ	16	0	0	0	55886	0
C1	R	healthy	B:B10	MAFB	16	0	0	0	55886	0
C1	R	healthy	B:B10	MAP1LC3B	16	6	4	0.25	55886	0.729293
C1	R	healthy	B:B10	MAPK14	16	0	0	0	55886	0
C1	R	healthy	B:B10	NFKB1	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	NLRP3	16	0	0	0	55886	0
C1	R	healthy	B:B10	OSM	16	0	0	0	55886	0
C1	R	healthy	B:B10	PARP1	16	4	3	0.1875	55886	0.539846
C1	R	healthy	B:B10	PIAS1	16	0	0	0	55886	0
C1	R	healthy	B:B10	PKM	16	2	2	0.125	55886	0.305918
C1	R	healthy	B:B10	PRKAA1	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	PTGS2	16	0	0	0	55886	0
C1	R	healthy	B:B10	RELA	16	0	0	0	55886	0
C1	R	healthy	B:B10	SH3KBP1	16	1	1	0.0625	55886	0.164612
C1	R	healthy	B:B10	SMAD3	16	0	0	0	55886	0
C1	R	healthy	B:B10	SOD1	16	4	3	0.1875	55886	0.539846
C1	R	healthy	B:B10	STAT3	16	2	2	0.125	55886	0.305918
C1	R	healthy	B:B10	STAT5A	16	0	0	0	55886	0
C1	R	healthy	B:B10	SYK	16	0	0	0	55886	0
C1	R	healthy	B:B10	TLR4	16	0	0	0	55886	0
C1	R	healthy	B:B10	TNF	16	0	0	0	55886	0
C1	R	healthy	B:B11	ACTA2	8	0	0	0	55299	0
C1	R	healthy	B:B11	AHR	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	AKT1	8	0	0	0	55299	0
C1	R	healthy	B:B11	ARNTL	8	0	0	0	55299	0
C1	R	healthy	B:B11	BCL6	8	0	0	0	55299	0
C1	R	healthy	B:B11	BECN1	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	BLNK	8	0	0	0	55299	0
C1	R	healthy	B:B11	BRD4	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	CAT	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	CD4	8	0	0	0	55299	0
C1	R	healthy	B:B11	CD86	8	0	0	0	55299	0
C1	R	healthy	B:B11	CREB1	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	CTNNB1	8	0	0	0	55299	0
C1	R	healthy	B:B11	DNMT1	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	FOXP3	8	0	0	0	55299	0
C1	R	healthy	B:B11	GABPA	8	0	0	0	55299	0
C1	R	healthy	B:B11	HIF1A	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	HMOX1	8	0	0	0	55299	0
C1	R	healthy	B:B11	ICAM1	8	0	0	0	55299	0
C1	R	healthy	B:B11	IFNG	8	0	0	0	55299	0
C1	R	healthy	B:B11	IL15	8	0	0	0	55299	0
C1	R	healthy	B:B11	IL1B	8	0	0	0	55299	0
C1	R	healthy	B:B11	IL7	8	0	0	0	55299	0
C1	R	healthy	B:B11	ITGAM	8	0	0	0	55299	0
C1	R	healthy	B:B11	ITGAX	8	0	0	0	55299	0
C1	R	healthy	B:B11	JAK1	8	5	2	0.25	55299	0.644049
C1	R	healthy	B:B11	LYZ	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	MAFB	8	0	0	0	55299	0
C1	R	healthy	B:B11	MAP1LC3B	8	0	0	0	55299	0
C1	R	healthy	B:B11	MAPK14	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	NFKB1	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	NLRP3	8	0	0	0	55299	0
C1	R	healthy	B:B11	OSM	8	0	0	0	55299	0
C1	R	healthy	B:B11	PARP1	8	5	4	0.5	55299	0.644049
C1	R	healthy	B:B11	PIAS1	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	PKM	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	PRKAA1	8	0	0	0	55299	0
C1	R	healthy	B:B11	PTGS2	8	0	0	0	55299	0
C1	R	healthy	B:B11	RELA	8	1	1	0.125	55299	0.166222
C1	R	healthy	B:B11	SH3KBP1	8	0	0	0	55299	0
C1	R	healthy	B:B11	SMAD3	8	0	0	0	55299	0
C1	R	healthy	B:B11	SOD1	8	4	2	0.25	55299	0.544264
C1	R	healthy	B:B11	STAT3	8	2	2	0.25	55299	0.308712
C1	R	healthy	B:B11	STAT5A	8	0	0	0	55299	0
C1	R	healthy	B:B11	SYK	8	3	1	0.125	55299	0.433408
C1	R	healthy	B:B11	TLR4	8	0	0	0	55299	0
C1	R	healthy	B:B11	TNF	8	0	0	0	55299	0
C1	R	healthy	B:B12	ACTA2	2	0	0	0	27259	0
C1	R	healthy	B:B12	AHR	2	0	0	0	27259	0
C1	R	healthy	B:B12	AKT1	2	0	0	0	27259	0
C1	R	healthy	B:B12	ARNTL	2	0	0	0	27259	0
C1	R	healthy	B:B12	BCL6	2	0	0	0	27259	0
C1	R	healthy	B:B12	BECN1	2	0	0	0	27259	0
C1	R	healthy	B:B12	BLNK	2	0	0	0	27259	0
C1	R	healthy	B:B12	BRD4	2	0	0	0	27259	0
C1	R	healthy	B:B12	CAT	2	0	0	0	27259	0
C1	R	healthy	B:B12	CD4	2	0	0	0	27259	0
C1	R	healthy	B:B12	CD86	2	0	0	0	27259	0
C1	R	healthy	B:B12	CREB1	2	0	0	0	27259	0
C1	R	healthy	B:B12	CTNNB1	2	0	0	0	27259	0
C1	R	healthy	B:B12	DNMT1	2	0	0	0	27259	0
C1	R	healthy	B:B12	FOXP3	2	0	0	0	27259	0
C1	R	healthy	B:B12	GABPA	2	0	0	0	27259	0
C1	R	healthy	B:B12	HIF1A	2	0	0	0	27259	0
C1	R	healthy	B:B12	HMOX1	2	0	0	0	27259	0
C1	R	healthy	B:B12	ICAM1	2	0	0	0	27259	0
C1	R	healthy	B:B12	IFNG	2	0	0	0	27259	0
C1	R	healthy	B:B12	IL15	2	0	0	0	27259	0
C1	R	healthy	B:B12	IL1B	2	0	0	0	27259	0
C1	R	healthy	B:B12	IL7	2	0	0	0	27259	0
C1	R	healthy	B:B12	ITGAM	2	0	0	0	27259	0
C1	R	healthy	B:B12	ITGAX	2	0	0	0	27259	0
C1	R	healthy	B:B12	JAK1	2	1	1	0.5	27259	0.31251
C1	R	healthy	B:B12	LYZ	2	0	0	0	27259	0
C1	R	healthy	B:B12	MAFB	2	0	0	0	27259	0
C1	R	healthy	B:B12	MAP1LC3B	2	0	0	0	27259	0
C1	R	healthy	B:B12	MAPK14	2	0	0	0	27259	0
C1	R	healthy	B:B12	NFKB1	2	0	0	0	27259	0
C1	R	healthy	B:B12	NLRP3	2	0	0	0	27259	0
C1	R	healthy	B:B12	OSM	2	0	0	0	27259	0
C1	R	healthy	B:B12	PARP1	2	2	2	1	27259	0.550259
C1	R	healthy	B:B12	PIAS1	2	2	2	1	27259	0.550259
C1	R	healthy	B:B12	PKM	2	0	0	0	27259	0
C1	R	healthy	B:B12	PRKAA1	2	0	0	0	27259	0
C1	R	healthy	B:B12	PTGS2	2	0	0	0	27259	0
C1	R	healthy	B:B12	RELA	2	0	0	0	27259	0
C1	R	healthy	B:B12	SH3KBP1	2	0	0	0	27259	0
C1	R	healthy	B:B12	SMAD3	2	0	0	0	27259	0
C1	R	healthy	B:B12	SOD1	2	1	1	0.5	27259	0.31251
C1	R	healthy	B:B12	STAT3	2	0	0	0	27259	0
C1	R	healthy	B:B12	STAT5A	2	0	0	0	27259	0
C1	R	healthy	B:B12	SYK	2	1	1	0.5	27259	0.31251
C1	R	healthy	B:B12	TLR4	2	0	0	0	27259	0
C1	R	healthy	B:B12	TNF	2	0	0	0	27259	0
C1	R	healthy	B:B13	ACTA2	2	0	0	0	28829	0
C1	R	healthy	B:B13	AHR	2	1	1	0.5	28829	0.297786
C1	R	healthy	B:B13	AKT1	2	0	0	0	28829	0
C1	R	healthy	B:B13	ARNTL	2	0	0	0	28829	0
C1	R	healthy	B:B13	BCL6	2	0	0	0	28829	0
C1	R	healthy	B:B13	BECN1	2	1	1	0.5	28829	0.297786
C1	R	healthy	B:B13	BLNK	2	2	1	0.5	28829	0.526943
C1	R	healthy	B:B13	BRD4	2	0	0	0	28829	0
C1	R	healthy	B:B13	CAT	2	0	0	0	28829	0
C1	R	healthy	B:B13	CD4	2	0	0	0	28829	0
C1	R	healthy	B:B13	CD86	2	0	0	0	28829	0
C1	R	healthy	B:B13	CREB1	2	0	0	0	28829	0
C1	R	healthy	B:B13	CTNNB1	2	0	0	0	28829	0
C1	R	healthy	B:B13	DNMT1	2	0	0	0	28829	0
C1	R	healthy	B:B13	FOXP3	2	0	0	0	28829	0
C1	R	healthy	B:B13	GABPA	2	0	0	0	28829	0
C1	R	healthy	B:B13	HIF1A	2	0	0	0	28829	0
C1	R	healthy	B:B13	HMOX1	2	0	0	0	28829	0
C1	R	healthy	B:B13	ICAM1	2	0	0	0	28829	0
C1	R	healthy	B:B13	IFNG	2	0	0	0	28829	0
C1	R	healthy	B:B13	IL15	2	0	0	0	28829	0
C1	R	healthy	B:B13	IL1B	2	0	0	0	28829	0
C1	R	healthy	B:B13	IL7	2	0	0	0	28829	0
C1	R	healthy	B:B13	ITGAM	2	0	0	0	28829	0
C1	R	healthy	B:B13	ITGAX	2	0	0	0	28829	0
C1	R	healthy	B:B13	JAK1	2	3	1	0.5	28829	0.713253
C1	R	healthy	B:B13	LYZ	2	0	0	0	28829	0
C1	R	healthy	B:B13	MAFB	2	0	0	0	28829	0
C1	R	healthy	B:B13	MAP1LC3B	2	5	2	1	28829	1.0059
C1	R	healthy	B:B13	MAPK14	2	0	0	0	28829	0
C1	R	healthy	B:B13	NFKB1	2	0	0	0	28829	0
C1	R	healthy	B:B13	NLRP3	2	0	0	0	28829	0
C1	R	healthy	B:B13	OSM	2	0	0	0	28829	0
C1	R	healthy	B:B13	PARP1	2	1	1	0.5	28829	0.297786
C1	R	healthy	B:B13	PIAS1	2	1	1	0.5	28829	0.297786
C1	R	healthy	B:B13	PKM	2	3	2	1	28829	0.713253
C1	R	healthy	B:B13	PRKAA1	2	1	1	0.5	28829	0.297786
C1	R	healthy	B:B13	PTGS2	2	0	0	0	28829	0
C1	R	healthy	B:B13	RELA	2	0	0	0	28829	0
C1	R	healthy	B:B13	SH3KBP1	2	1	1	0.5	28829	0.297786
C1	R	healthy	B:B13	SMAD3	2	0	0	0	28829	0
C1	R	healthy	B:B13	SOD1	2	5	2	1	28829	1.0059
C1	R	healthy	B:B13	STAT3	2	1	1	0.5	28829	0.297786
C1	R	healthy	B:B13	STAT5A	2	0	0	0	28829	0
C1	R	healthy	B:B13	SYK	2	0	0	0	28829	0
C1	R	healthy	B:B13	TLR4	2	0	0	0	28829	0
C1	R	healthy	B:B13	TNF	2	0	0	0	28829	0
C1	R	healthy	B:B14	ACTA2	1	0	0	0	13261	0
C1	R	healthy	B:B14	AHR	1	0	0	0	13261	0
C1	R	healthy	B:B14	AKT1	1	0	0	0	13261	0
C1	R	healthy	B:B14	ARNTL	1	0	0	0	13261	0
C1	R	healthy	B:B14	BCL6	1	0	0	0	13261	0
C1	R	healthy	B:B14	BECN1	1	0	0	0	13261	0
C1	R	healthy	B:B14	BLNK	1	2	1	1	13261	0.919558
C1	R	healthy	B:B14	BRD4	1	0	0	0	13261	0
C1	R	healthy	B:B14	CAT	1	0	0	0	13261	0
C1	R	healthy	B:B14	CD4	1	0	0	0	13261	0
C1	R	healthy	B:B14	CD86	1	0	0	0	13261	0
C1	R	healthy	B:B14	CREB1	1	0	0	0	13261	0
C1	R	healthy	B:B14	CTNNB1	1	0	0	0	13261	0
C1	R	healthy	B:B14	DNMT1	1	0	0	0	13261	0
C1	R	healthy	B:B14	FOXP3	1	0	0	0	13261	0
C1	R	healthy	B:B14	GABPA	1	0	0	0	13261	0
C1	R	healthy	B:B14	HIF1A	1	0	0	0	13261	0
C1	R	healthy	B:B14	HMOX1	1	0	0	0	13261	0
C1	R	healthy	B:B14	ICAM1	1	1	1	1	13261	0.561951
C1	R	healthy	B:B14	IFNG	1	0	0	0	13261	0
C1	R	healthy	B:B14	IL15	1	0	0	0	13261	0
C1	R	healthy	B:B14	IL1B	1	0	0	0	13261	0
C1	R	healthy	B:B14	IL7	1	0	0	0	13261	0
C1	R	healthy	B:B14	ITGAM	1	0	0	0	13261	0
C1	R	healthy	B:B14	ITGAX	1	0	0	0	13261	0
C1	R	healthy	B:B14	JAK1	1	2	1	1	13261	0.919558
C1	R	healthy	B:B14	LYZ	1	0	0	0	13261	0
C1	R	healthy	B:B14	MAFB	1	0	0	0	13261	0
C1	R	healthy	B:B14	MAP1LC3B	1	3	1	1	13261	1.18242
C1	R	healthy	B:B14	MAPK14	1	0	0	0	13261	0
C1	R	healthy	B:B14	NFKB1	1	1	1	1	13261	0.561951
C1	R	healthy	B:B14	NLRP3	1	0	0	0	13261	0
C1	R	healthy	B:B14	OSM	1	0	0	0	13261	0
C1	R	healthy	B:B14	PARP1	1	2	1	1	13261	0.919558
C1	R	healthy	B:B14	PIAS1	1	1	1	1	13261	0.561951
C1	R	healthy	B:B14	PKM	1	2	1	1	13261	0.919558
C1	R	healthy	B:B14	PRKAA1	1	0	0	0	13261	0
C1	R	healthy	B:B14	PTGS2	1	0	0	0	13261	0
C1	R	healthy	B:B14	RELA	1	0	0	0	13261	0
C1	R	healthy	B:B14	SH3KBP1	1	0	0	0	13261	0
C1	R	healthy	B:B14	SMAD3	1	0	0	0	13261	0
C1	R	healthy	B:B14	SOD1	1	1	1	1	13261	0.561951
C1	R	healthy	B:B14	STAT3	1	0	0	0	13261	0
C1	R	healthy	B:B14	STAT5A	1	0	0	0	13261	0
C1	R	healthy	B:B14	SYK	1	1	1	1	13261	0.561951
C1	R	healthy	B:B14	TLR4	1	0	0	0	13261	0
C1	R	healthy	B:B14	TNF	1	0	0	0	13261	0
C1	R	healthy	B:B15	ACTA2	7	0	0	0	97831	0
C1	R	healthy	B:B15	AHR	7	0	0	0	97831	0
C1	R	healthy	B:B15	AKT1	7	0	0	0	97831	0
C1	R	healthy	B:B15	ARNTL	7	0	0	0	97831	0
C1	R	healthy	B:B15	BCL6	7	0	0	0	97831	0
C1	R	healthy	B:B15	BECN1	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	BLNK	7	4	3	0.428571	97831	0.342787
C1	R	healthy	B:B15	BRD4	7	0	0	0	97831	0
C1	R	healthy	B:B15	CAT	7	0	0	0	97831	0
C1	R	healthy	B:B15	CD4	7	0	0	0	97831	0
C1	R	healthy	B:B15	CD86	7	0	0	0	97831	0
C1	R	healthy	B:B15	CREB1	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	CTNNB1	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	DNMT1	7	0	0	0	97831	0
C1	R	healthy	B:B15	FOXP3	7	0	0	0	97831	0
C1	R	healthy	B:B15	GABPA	7	2	2	0.285714	97831	0.18601
C1	R	healthy	B:B15	HIF1A	7	6	4	0.571429	97831	0.478283
C1	R	healthy	B:B15	HMOX1	7	0	0	0	97831	0
C1	R	healthy	B:B15	ICAM1	7	0	0	0	97831	0
C1	R	healthy	B:B15	IFNG	7	0	0	0	97831	0
C1	R	healthy	B:B15	IL15	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	IL1B	7	0	0	0	97831	0
C1	R	healthy	B:B15	IL7	7	0	0	0	97831	0
C1	R	healthy	B:B15	ITGAM	7	0	0	0	97831	0
C1	R	healthy	B:B15	ITGAX	7	0	0	0	97831	0
C1	R	healthy	B:B15	JAK1	7	7	4	0.571429	97831	0.539716
C1	R	healthy	B:B15	LYZ	7	0	0	0	97831	0
C1	R	healthy	B:B15	MAFB	7	0	0	0	97831	0
C1	R	healthy	B:B15	MAP1LC3B	7	9	6	0.857143	97831	0.652301
C1	R	healthy	B:B15	MAPK14	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	NFKB1	7	4	3	0.428571	97831	0.342787
C1	R	healthy	B:B15	NLRP3	7	0	0	0	97831	0
C1	R	healthy	B:B15	OSM	7	0	0	0	97831	0
C1	R	healthy	B:B15	PARP1	7	6	3	0.428571	97831	0.478283
C1	R	healthy	B:B15	PIAS1	7	5	5	0.714286	97831	0.412828
C1	R	healthy	B:B15	PKM	7	4	3	0.428571	97831	0.342787
C1	R	healthy	B:B15	PRKAA1	7	0	0	0	97831	0
C1	R	healthy	B:B15	PTGS2	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	RELA	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	SH3KBP1	7	0	0	0	97831	0
C1	R	healthy	B:B15	SMAD3	7	0	0	0	97831	0
C1	R	healthy	B:B15	SOD1	7	9	5	0.714286	97831	0.652301
C1	R	healthy	B:B15	STAT3	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	STAT5A	7	0	0	0	97831	0
C1	R	healthy	B:B15	SYK	7	1	1	0.142857	97831	0.0973237
C1	R	healthy	B:B15	TLR4	7	0	0	0	97831	0
C1	R	healthy	B:B15	TNF	7	0	0	0	97831	0
C1	R	healthy	B:B16	ACTA2	4	0	0	0	34348	0
C1	R	healthy	B:B16	AHR	4	0	0	0	34348	0
C1	R	healthy	B:B16	AKT1	4	0	0	0	34348	0
C1	R	healthy	B:B16	ARNTL	4	0	0	0	34348	0
C1	R	healthy	B:B16	BCL6	4	0	0	0	34348	0
C1	R	healthy	B:B16	BECN1	4	2	2	0.5	34348	0.458864
C1	R	healthy	B:B16	BLNK	4	2	2	0.5	34348	0.458864
C1	R	healthy	B:B16	BRD4	4	0	0	0	34348	0
C1	R	healthy	B:B16	CAT	4	0	0	0	34348	0
C1	R	healthy	B:B16	CD4	4	0	0	0	34348	0
C1	R	healthy	B:B16	CD86	4	0	0	0	34348	0
C1	R	healthy	B:B16	CREB1	4	0	0	0	34348	0
C1	R	healthy	B:B16	CTNNB1	4	1	1	0.25	34348	0.255524
C1	R	healthy	B:B16	DNMT1	4	2	2	0.5	34348	0.458864
C1	R	healthy	B:B16	FOXP3	4	0	0	0	34348	0
C1	R	healthy	B:B16	GABPA	4	1	1	0.25	34348	0.255524
C1	R	healthy	B:B16	HIF1A	4	1	1	0.25	34348	0.255524
C1	R	healthy	B:B16	HMOX1	4	0	0	0	34348	0
C1	R	healthy	B:B16	ICAM1	4	0	0	0	34348	0
C1	R	healthy	B:B16	IFNG	4	0	0	0	34348	0
C1	R	healthy	B:B16	IL15	4	0	0	0	34348	0
C1	R	healthy	B:B16	IL1B	4	0	0	0	34348	0
C1	R	healthy	B:B16	IL7	4	0	0	0	34348	0
C1	R	healthy	B:B16	ITGAM	4	0	0	0	34348	0
C1	R	healthy	B:B16	ITGAX	4	0	0	0	34348	0
C1	R	healthy	B:B16	JAK1	4	3	2	0.5	34348	0.627762
C1	R	healthy	B:B16	LYZ	4	0	0	0	34348	0
C1	R	healthy	B:B16	MAFB	4	0	0	0	34348	0
C1	R	healthy	B:B16	MAP1LC3B	4	4	3	0.75	34348	0.772213
C1	R	healthy	B:B16	MAPK14	4	0	0	0	34348	0
C1	R	healthy	B:B16	NFKB1	4	0	0	0	34348	0
C1	R	healthy	B:B16	NLRP3	4	0	0	0	34348	0
C1	R	healthy	B:B16	OSM	4	0	0	0	34348	0
C1	R	healthy	B:B16	PARP1	4	3	2	0.5	34348	0.627762
