Table order	Compound	HERB source names	HERB ingredient IDs	Representative herb ID	Representative herb pinyin	Representative herb Chinese	Representative herb English	Representative herb Latin	Representative source rule	Pharmacopoeia/source status	Number of HERB-linked herbs	Additional HERB-linked herb examples	Disease-context targets	Rectal B-lineage increased targets	HERB evidence records	Source/evidence note
12	Cryptotanshinone	Cryptotanshinone	HBIN021795	HERB000201	Bai Hua Gan Xi Shu Wei Cao	白花甘西鼠尾草	Radix Salviae Przewalskii Albae	Salvia Przewalskii Var. Alba	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	21	白花甘西鼠尾草 (Bai Hua Gan Xi Shu Wei Cao; HERB000201); 白木香 (Bai Mu Xiang; HERB000253); 臭柏 (Chou Bai; HERB000825); 川木通 (Chuan Mu Tong; HERB000870); 慈姑 (Ci Gu; HERB000912)	11	3	3	A single compound does not represent the whole herb or formula.
13	Capsaicin	Capsaicin	HBIN019690	HERB000186	Bai Guo	白果	Ginkgo Seed	Ginkgo Semen; Semen Ginkgo	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	15	白果 (Bai Guo; HERB000186); 大白茅 (Da Bai Mao; HERB000244); 北沙参 (Bei Sha Shen; HERB000403); 柴胡 (Chai Hu; HERB000638); 党参 (Dang Shen; HERB001211)	8	3	2	A single compound does not represent the whole herb or formula.
14	Rhein	Rhein	HBIN042199	HERB000777	Chen Xiang	沉香	Chinese Eaglewood Wood; Oily Wood of Agalloch Eaglewood	Aquilariae Lignum Resinatum; Lignum Aquilariae Resinatum	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	29	沉香 (Chen Xiang; HERB000777); 茺蔚子 (Chong Wei Zi; HERB000822); 臭草 (Chou Cao; HERB000826); 大黄 (Da Huang; HERB001069); 丹参 (Dan Shen; HERB001193)	4	3	3	A single compound does not represent the whole herb or formula.
15	Honokiol	Honokiol	HBIN029531	HERB000117	Ao Ye Hou Po	凹叶厚朴	Twolobed Officinal Mangolia	Magnolia Officinalis Subsp. Biloba	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	10	凹叶厚朴 (Ao Ye Hou Po; HERB000117); 八角茴香 (Ba Jiao Hui Xiang; HERB000137); 附子 (Fu Zi; HERB001776); 藁本 (Gao Ben; HERB001821); 厚朴子 (Hou Po Zi; HERB002341)	6	2	2	A single compound does not represent the whole herb or formula.
16	Wogonin	Wogonin	HBIN048372	HERB000192	Bai He	百合	Lily Bulb; Bulb of Greenish Lily	Bulbus Lilii; Lilii Bulbus	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	26	百合 (Bai He; HERB000192); 白鲜皮 (Bai Xian Pi; HERB000286); 半枝莲 (Ban Zhi Lian; HERB000338); 苍术 (Cang Zhu; HERB000584); 沉香 (Chen Xiang; HERB000777)	4	1	3	A single compound does not represent the whole herb or formula.
17	Cis-resveratrol	Cis-resveratrol	HBIN020921	HERB000232	Bai Li Lu	白藜芦	White Falsehellebore	Veratrum Album	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	42	白藜芦 (Bai Li Lu; HERB000232); 白蔹 (Bai Lian; HERB000237); 齿状决明 (Chi Zhuang Jue Ming; HERB000792); 赤小豆 (Chi Xiao Dou; HERB000806); 穿破石 (Chuan Po Shi; HERB000873)	4	1	2	A single compound does not represent the whole herb or formula.
18	Brahmic acid	Brahmic acid	HBIN018800	HERB002126	Hai Zao	海藻	Seaweed	Sargassum	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	3	海藻 (Hai Zao; HERB002126); 荷叶 (He Ye; HERB002191); 积雪草 (Ji Xue Cao; HERB002713)	3	1	2	A single compound does not represent the whole herb or formula.
19	Spermidine	Spermidine	HBIN044493	HERB000124	Diao Qun Cao	吊裙草	Yellow-Flowering Pea	Crotalaria Retusa	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	8	吊裙草 (Diao Qun Cao; HERB000124); 番茄 (Fan Qie; HERB001616); 黑大豆 (Hei Da Dou; HERB002206); NA (Mei Li Yin Zhu Shi Dou; HERB003870); 没药 (Mo Yao; HERB004004)	2	1	2	A single compound does not represent the whole herb or formula.
20	Melatonin	Melatonin	HBIN034657	HERB006537	Yi Mu Cao	益母草	Motherwort Herb; Motherwort	Herba Leonuri; Leonuri Herba	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	1	益母草 (Yi Mu Cao; HERB006537)	1	1	5	A single compound does not represent the whole herb or formula.
21	Paeoniflorin	Paeoniflorin	HBIN038606	HERB000216	Bai Ji	白及	Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.; Common Bletilla Tuber	Rhizoma Bletillae; Bletillae Rhizoma	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	17	白及 (Bai Ji; HERB000216); 白毛藤 (Bai Mao Teng; HERB000246); 白芍 (Bai Shao; HERB000267); 冰片 (Bing Pian; HERB000498); 苍术 (Cang Zhu; HERB000584)	1	0	3	A single compound does not represent the whole herb or formula.
22	Pterostilbene	Pterostilbene	HBIN041217	HERB000585	Cangbai Chung Gou Feng	NA	NA	NA	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	9	NA (Cangbai Chung Gou Feng; HERB000585); 剑叶龙血树 (Jian Ye Long Xue Shu; HERB002817); 蕨 (Jue; HERB003067); 螺厣草 (Luo Yan Cao; HERB003611); 欧洲葡萄 (Ou Zhou Pu Tao; HERB004423)	1	0	2	A single compound does not represent the whole herb or formula.
23	Matrine	Matrine	HBIN034558	HERB000168	Bai Ci Hua	白刺花	Vetchleaf Sophora	Sophora Davidii	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	22	白刺花 (Bai Ci Hua; HERB000168); 北豆根 (Bei Dou Gen; HERB000373); 胡椒 (Hu Jiao; HERB002371); 胡芦巴 (Hu Lu Ba; HERB002376); 槐花 (Huai Hua; HERB002472)	1	0	2	A single compound does not represent the whole herb or formula.
24	Quercetin	Quercetin	HBIN041495	HERB000018	A La Bo Jin He Huan	阿拉伯金合欢	Gum-Arabic Tree	Acacia Nilotica	first HERB-linked source record	HERB-linked source; pharmacopoeia status not independently verified in this analysis	332	阿拉伯金合欢 (A La Bo Jin He Huan; HERB000018); 矮地茶 (Ai Di Cha; HERB000036); 艾叶 (Ai Ye; HERB000066); 八角茴香 (Ba Jiao Hui Xiang; HERB000137); 八角莲 (Ba Jiao Lian; HERB000139)	1	0	2	A single compound does not represent the whole herb or formula.
