etcm_target_name	mapped_gene_symbol	mapped_gene_name	mapped_entrezgene	mapped_ensembl_gene	mapped_uniprot	mapping_confidence	mapping_source	mapping_rationale	candidate_preview
Histone acetyltransferase p300	EP300	Histone acetyltransferase p300			Q09472	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:EP300:Histone acetyltransferase p300:Q09472: || MyGene_query:EID1:EP300 interacting inhibitor of differentiation 1:Q9Y6B2:10.73353 || MyGene_query:KAT2B:lysine acetyltransferase 2B:Q92831:7.9512205 || MyGene_query:EP300:EP300 lysine acetyltransferase:Q09472:5.364024 || MyGene_query:NCOA3:nuclear receptor coactivator 3:Q9Y6Q9:3.393435
Histone deacetylase 1	HDAC1	Histone deacetylase 1			Q13547	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:HDAC1:Histone deacetylase 1:Q13547: || MyGene_query:HDAC1:histone deacetylase 1:Q13547:103.83317 || MyGene_query:HDAC1P1:histone deacetylase 1 pseudogene 1::27.277138 || MyGene_query:HDAC1P1:histone deacetylase 1 pseudogene 1::27.277138 || MyGene_query:HDAC1P2:histone deacetylase 1 pseudogene 2::27.277138
Histone deacetylase 2	HDAC2	Histone deacetylase 2			Q92769	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:HDAC2:Histone deacetylase 2:Q92769: || MyGene_query:HDAC2:histone deacetylase 2:Q92769:106.37395 || MyGene_query:LOC100132172:histone deacetylase 2 pseudogene::30.80357 || MyGene_query:HDAC1P2:histone deacetylase 1 pseudogene 2::20.958454 || MyGene_query:LOC119369039:CRISPRi-FlowFISH-validated HDAC6 regulatory element 2::10.139639
Histone deacetylase 8	HDAC8	Histone deacetylase 8			Q9BY41	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:HDAC8:Histone deacetylase 8:Q9BY41: || MyGene_query:HDAC8:histone deacetylase 8:Q9BY41:121.20436 || MyGene_query:AKAP8L:A-kinase anchoring protein 8 like:Q9ULX6:8.140768
Hypoxia-inducible factor 1-alpha	HIF1A	Hypoxia-inducible factor 1-alpha			Q16665	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:HIF1AN:Hypoxia-inducible factor 1-alpha inhibitor:Q9NWT6: || UniProt_exact_protein_name:HIF1A:Hypoxia-inducible factor 1-alpha:Q16665: || MyGene_query:HIF1AN:hypoxia inducible factor 1 subunit alpha inhibitor:Q9NWT6:24.712925 || MyGene_query:EGLN2:egl-9 family hypoxia inducible factor 2:Q96KS0:21.073624 || MyGene_query:EGLN3:egl-9 family hypoxia inducible factor 3:Q9H6Z9:20.742306
Induced myeloid leukemia cell differentiation protein Mcl-1	MCL1	Induced myeloid leukemia cell differentiation protein Mcl-1			Q07820	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:MCL1:Induced myeloid leukemia cell differentiation protein Mcl-1:Q07820: || MyGene_query:MCL1:MCL1 apoptosis regulator, BCL2 family member:Q07820:22.456556
Kallikrein-2	KLK2	Kallikrein-2			P20151	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:KLK2:Kallikrein-2:P20151: || MyGene_query:KLK10:kallikrein related peptidase 10:O43240:15.227497 || MyGene_query:KLK2:kallikrein related peptidase 2:P20151:10.413539 || MyGene_query:LOC106128906:KLK2 upstream enhancer/promoter region::7.3051295 || MyGene_query:KLK5:kallikrein related peptidase 5:Q9Y337:7.1721964
Mitogen-activated protein kinase 10	MAPK10	Mitogen-activated protein kinase 10			P53779	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:MAPK10:Mitogen-activated protein kinase 10:P53779: || MyGene_query:MAPK10:mitogen-activated protein kinase 10:P53779:130.15707 || MyGene_query:MAP3K10:mitogen-activated protein kinase kinase kinase 10:Q02779:18.210861 || MyGene_query:MAP3K1:mitogen-activated protein kinase kinase kinase 1:Q13233:12.78149 || MyGene_query:MAPKAPK3:MAPK activated protein kinase 3:Q16644:12.2155485
Mitogen-activated protein kinase 14	MAPK14	Mitogen-activated protein kinase 14			Q16539	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:MAPK14:Mitogen-activated protein kinase 14:Q16539: || MyGene_query:MAPK14:mitogen-activated protein kinase 14:Q16539:133.76628 || MyGene_query:MAP3K14:mitogen-activated protein kinase kinase kinase 14:Q99558:14.524779 || MyGene_query:DUSP14:dual specificity phosphatase 14:O95147:12.332116 || MyGene_query:ZNF394:zinc finger protein 394:Q53GI3:9.875466
Neutrophil elastase	ELANE	Neutrophil elastase			P08246	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:ELANE:Neutrophil elastase:P08246: || UniProt_exact_protein_name:SERPINB1:Leukocyte elastase inhibitor:P30740: || MyGene_query:ELANE:elastase, neutrophil expressed:P08246:96.396866 || MyGene_query:SERPINB1:serpin family B member 1:P30740:10.742905 || MyGene_query:AZU1:azurocidin 1:P20160:10.12505
PC4 and SFRS1-interacting protein	PSIP1	PC4 and SFRS1-interacting protein			O75475	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:PSIP1:PC4 and SFRS1-interacting protein:O75475: || MyGene_query:PSIP1P2:PSIP1 pseudogene 2::21.652905 || MyGene_query:LOC100129957:PC4 and SRSF1 interacting protein 1 pseudogene::21.261745 || MyGene_query:PSIP1P1:PSIP1 pseudogene 1::21.073046 || MyGene_query:PSIP1:PC4 and SRSF1 interacting protein 1:O75475:14.298382
Platelet-activating factor receptor	PTAFR	Platelet-activating factor receptor			P25105	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:PTAFR:Platelet-activating factor receptor:P25105: || MyGene_query:PTAFR:platelet activating factor receptor:P25105:128.02411 || MyGene_query:SMPD2:sphingomyelin phosphodiesterase 2:O60906:6.9877076 || MyGene_query:RASGRP1:RAS guanyl releasing protein 1:O95267:6.5927496 || MyGene_query:RAPGEF4:Rap guanine nucleotide exchange factor 4:Q8WZA2:6.482091
