priority_class	priority_score	ingredient_id	ingredient_name	pubchem_id	inchikey	match_status	match_method	lincs_source	pert_id	pert_iname	pert_type	gse92742_signature_count	gse92742_cell_count	gse92742_cells
background_or_control	12.0	HBIN032819	Ldp	681	VYFYYTLLBUKUHU-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K43887077	dopamine	trt_cp	0	0	
background_or_control	12.0	HBIN032819	Ldp	681	VYFYYTLLBUKUHU-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K43887077	dopamine	trt_cp	0	0	
secondary_literature_supported	11.0	HBIN026550	Flavone	10680	VHBFFQKBGNRLFZ-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	11.0	HBIN032538	Lactose	6134	GUBGYTABKSRVRQ-DCSYEGIMSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
background_or_control	11.0	HBIN042735	Saccharose	5988	CZMRCDWAGMRECN-UGDNZRGBSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN016074	Anemoside b	11636713	OUHBKBTZUPLIIA-OTEDBJMHSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN017178	Astaxanthin	5281224	MQZIGYBFDRPAKN-UWFIBFSHSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN017212	Astragalin	5282102	JPUKWEQWGBDDQB-QSOFNFLRSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN017508	Baicalein	5281605	FXNFHKRTJBSTCS-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN019495	Campherol	5280863	IYRMWMYZSQPJKC-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K12807006	kaempferol	trt_cp	0	0	
secondary_literature_supported	10.0	HBIN021714	Crocin	5281233	SEBIKDIMAPSUBY-RTJKDTQDSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN021964	Curculigoside	158845	SJJRKHVKAXVFJQ-QKYBYQKWSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN022795	Daurisoline	51106	BURJAQFYNVMZDV-FIRIVFDPSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN023000	Dehydrocostus lactone	73174	NETSQGRTUNRXEO-XUXIUFHCSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN024134	Dioscin	119245	VNONINPVFQTJOC-ZGXDEBHDSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN029163	Heriguard	1794427	CWVRJTMFETXNAD-JUHZACGLSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
