accession	probe_id	gene_symbol	gene_title	gene_id	n_case	n_control	mean_case	mean_control	log2fc	t_stat	p_value	fdr
GSE59071	8065353	THBD	thrombomodulin	7056	74	11	7.84164	6.83501	1.00663	16.4713	1.1901e-27	1.97866e-24
GSE59071	7905571	S100A9	S100 calcium binding protein A9	6280	74	11	8.783	6.5623	2.2207	16.0242	4.38826e-27	6.9485e-24
GSE59071	8088560	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	74	11	8.41814	6.38025	2.03789	20.6576	4.75891e-27	7.19288e-24
GSE59071	8156783	COL15A1	collagen type XV alpha 1 chain	1306	74	11	8.58671	6.89231	1.6944	15.9646	6.29508e-27	9.10104e-24
GSE59071	8008664	AKAP1	A-kinase anchoring protein 1	8165	74	11	8.94579	10.062	-1.11624	-16.3553	8.04532e-27	1.11468e-23
GSE59071	8117304	SLC17A4	solute carrier family 17 member 4	10050	74	11	6.76686	9.63876	-2.8719	-18.527	2.30239e-26	2.83552e-23
GSE59071	8006655	DHRS11	dehydrogenase/reductase 11	79154	74	11	8.93369	11.2868	-2.3531	-18.987	2.21985e-26	2.83552e-23
GSE59071	7926037	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	5209	74	11	9.714	7.59967	2.11433	19.2087	2.297e-26	2.83552e-23
GSE59071	7951259	MMP10	matrix metallopeptidase 10	4319	74	11	7.21712	4.93405	2.28307	16.427	2.70081e-26	3.2074e-23
GSE59071	8063156	CD40	CD40 molecule	958	74	11	6.81892	5.79087	1.02805	17.01	4.72958e-26	5.42303e-23
GSE59071	8079060	VIPR1	vasoactive intestinal peptide receptor 1	7433	74	11	8.17838	9.8766	-1.69821	-16.2742	1.10173e-25	1.22116e-22
GSE59071	8163116	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	74	11	7.70107	8.85906	-1.158	-16.7089	1.22688e-25	1.31601e-22
GSE59071	8150076	DUSP4	dual specificity phosphatase 4	1846	74	11	7.02709	5.72718	1.29991	17.9414	1.68574e-25	1.75169e-22
GSE59071	7922229	SELE	selectin E	6401	74	11	7.67393	5.00302	2.6709	15.273	2.86979e-25	2.8917e-22
GSE59071	7915404	GUCA2A	guanylate cyclase activator 2A	2980	74	11	8.90504	12.2209	-3.31586	-16.4278	4.93961e-25	4.83094e-22
GSE59071	8058905	CXCR1	C-X-C motif chemokine receptor 1	3577	74	11	7.29141	4.94386	2.34755	14.9396	6.02841e-25	5.72733e-22
GSE59071	8091954	GOLIM4	golgi integral membrane protein 4	27333	74	11	10.2517	10.9417	-0.689939	-15.0709	7.81891e-25	7.22207e-22
GSE59071	8095585	SLC4A4	solute carrier family 4 member 4	8671	74	11	9.34936	11.2418	-1.89241	-14.716	9.50647e-25	8.54349e-22
GSE59071	8095402	UGT2A3	UDP glucuronosyltransferase family 2 member A3	79799	74	11	4.65784	7.89521	-3.23736	-30.3739	1.6208e-24	1.41829e-21
GSE59071	8094988	CWH43	cell wall biogenesis 43 C-terminal homolog	80157	74	11	6.206	9.24488	-3.03888	-18.1038	1.79777e-24	1.53281e-21
GSE59071	8058091	SATB2	SATB homeobox 2	23314	74	11	9.94993	11.4721	-1.52216	-14.4939	1.8826e-24	1.56501e-21
GSE59071	7938758	SAA1	serum amyloid A1	6288	74	11	6.91795	5.26221	1.65574	14.5515	2.07805e-24	1.68535e-21
GSE59071	8053718				74	11	8.26857	4.26112	4.00746	15.3752	2.47169e-24	1.95687e-21
GSE59071	7954330	SLCO1B3	solute carrier organic anion transporter family member 1B3	28234	74	11	6.71047	3.96183	2.74864	14.3798	3.08245e-24	2.38367e-21
GSE59071	8120088	MEP1A	meprin A subunit alpha	4224	74	11	9.53527	11.797	-2.2617	-14.3434	3.49736e-24	2.64305e-21
GSE59071	8172254	CXorf36	chromosome X open reading frame 36	79742	74	11	6.25462	5.23476	1.01987	15.2292	3.98706e-24	2.94617e-21
GSE59071	8140840	STEAP4	STEAP4 metalloreductase	79689	74	11	8.02134	5.18459	2.83676	17.7874	4.91465e-24	3.4451e-21
GSE59071	7926403	TMEM236	transmembrane protein 236	653567	74	11	7.6416	10.2285	-2.58692	-15.5519	4.97308e-24	3.4451e-21
GSE59071	7926445	TMEM236	transmembrane protein 236	653567	74	11	7.6416	10.2285	-2.58692	-15.5519	4.97308e-24	3.4451e-21
GSE59071	8151592	CA1	carbonic anhydrase 1	759	74	11	8.1628	11.2587	-3.09592	-14.3978	8.03428e-24	5.45216e-21
GSE59071	7914950	CSF3R	colony stimulating factor 3 receptor	1441	74	11	7.85831	5.85928	1.99902	14.1363	8.32538e-24	5.53671e-21
GSE59071	7975412	TTC9	tetratricopeptide repeat domain 9	23508	74	11	8.15295	7.37998	0.772965	17.9945	9.90968e-24	6.46111e-21
GSE59071	7956229	SLC39A5	solute carrier family 39 member 5	283375	74	11	8.61784	10.3787	-1.76083	-15.0128	1.43872e-23	9.20006e-21
GSE59071	7902023	RAVER2	ribonucleoprotein, PTB binding 2	55225	74	11	8.96418	10.6188	-1.65464	-18.5516	1.64691e-23	1.01619e-20
GSE59071	8161371				74	11	6.56911	8.07504	-1.50593	-14.8037	1.65026e-23	1.01619e-20
GSE59071	8042637	DYSF	dysferlin	8291	74	11	7.42816	5.80229	1.62587	14.2374	2.12037e-23	1.28194e-20
GSE59071	7943998	NNMT	nicotinamide N-methyltransferase	4837	74	11	8.62848	7.10907	1.51942	14.9037	2.19314e-23	1.30226e-20
GSE59071	8040365	TRIB2	tribbles pseudokinase 2	28951	74	11	8.09614	6.17084	1.9253	22.3248	2.60683e-23	1.52074e-20
GSE59071	7929388	PLCE1	phospholipase C epsilon 1	51196	74	11	8.80406	10.2676	-1.46358	-14.95	2.6773e-23	1.53492e-20
GSE59071	8129637	VNN2	vanin 2	8875	74	11	7.28786	4.8179	2.46997	14.5612	3.07816e-23	1.73483e-20
GSE59071	8064111	RTEL1-TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)	100533107	74	11	8.12281	7.02641	1.0964	24.7136	3.53308e-23	1.95803e-20
GSE59071	8180303	SAA2	serum amyloid A2	6289	74	11	8.56317	4.85446	3.70871	20.3221	4.76678e-23	2.59844e-20
GSE59071	8124262	TDP2	tyrosyl-DNA phosphodiesterase 2	51567	74	11	9.21974	10.6427	-1.42292	-17.441	5.22393e-23	2.80171e-20
GSE59071	8021623	SERPINB7	serpin family B member 7	8710	74	11	7.22747	4.33223	2.89523	14.0651	5.36355e-23	2.83093e-20
GSE59071	8136095	AHCYL2	adenosylhomocysteinase like 2	23382	74	11	10.6781	11.9067	-1.22857	-13.8564	7.11934e-23	3.64204e-20
GSE59071	8157949	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	9649	74	11	7.42351	8.11726	-0.693753	-17.3013	7.084e-23	3.64204e-20
GSE59071	7920244	S100A8	S100 calcium binding protein A8	6279	74	11	9.14687	4.99876	4.14811	17.3874	1.46882e-22	7.40018e-20
GSE59071	8002778	MLKL	mixed lineage kinase domain like	197259	74	11	8.28523	7.01069	1.27455	19.0571	1.49688e-22	7.42899e-20
GSE59071	8130556	SOD2	superoxide dismutase 2, mitochondrial	6648	74	11	10.1387	8.86678	1.2719	13.4472	1.52081e-22	7.43676e-20
GSE59071	8160504	LRRC19	leucine rich repeat containing 19	64922	74	11	7.68574	9.8288	-2.14306	-13.9595	1.89218e-22	9.11866e-20
GSE59071	7921882	OLFML2B	olfactomedin like 2B	25903	74	11	6.9324	5.69534	1.23706	13.5945	2.09695e-22	9.96111e-20
GSE59071	8043310	RMND5A	required for meiotic nuclear division 5 homolog A	64795	74	11	8.52278	9.83518	-1.3124	-16.6597	2.5339e-22	1.18672e-19
GSE59071	7898693	ALPL	alkaline phosphatase, liver/bone/kidney	249	74	11	8.36355	6.40902	1.95453	15.087	2.84431e-22	1.3136e-19
GSE59071	7914075	FCN3	ficolin 3	8547	74	11	7.65464	6.30384	1.35081	14.3015	4.36152e-22	1.9867e-19
GSE59071	8113761	ZNF608	zinc finger protein 608	57507	74	11	7.20847	8.11768	-0.909205	-21.2184	4.53993e-22	2.04002e-19
GSE59071	8072735	APOL1	apolipoprotein L1	8542	74	11	9.35063	6.97209	2.37854	22.8254	4.60235e-22	2.0405e-19
GSE59071	8050240	ODC1	ornithine decarboxylase 1	4953	74	11	10.4656	9.52448	0.941149	13.6151	4.98017e-22	2.17896e-19
GSE59071	8054722	IL1B	interleukin 1 beta	3553	74	11	9.57054	5.95196	3.61857	16.7303	5.13498e-22	2.21751e-19
GSE59071	8030860	FPR2	formyl peptide receptor 2	2358	74	11	6.59361	4.6035	1.99011	13.1647	5.81624e-22	2.47951e-19
GSE59071	8084794	IL1RAP	interleukin 1 receptor accessory protein	3556	74	11	6.94294	5.89633	1.04662	13.2992	7.00886e-22	2.95011e-19
GSE59071	8126303	TREM1	triggering receptor expressed on myeloid cells 1	54210	74	11	7.42482	5.39223	2.03259	13.1302	7.87481e-22	3.20643e-19
GSE59071	7970033	COL4A2	collagen type IV alpha 2 chain	1284	74	11	8.83321	7.41182	1.42139	14.4185	7.9071e-22	3.20643e-19
GSE59071	7977397	CRIP2	cysteine rich protein 2	1397	74	11	8.70778	7.67973	1.02805	14.487	7.77354e-22	3.20643e-19
GSE59071	8148572	LY6E	lymphocyte antigen 6 complex, locus E	4061	74	11	8.21731	7.11978	1.09753	14.3566	1.03694e-21	4.15426e-19
GSE59071	8101893	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	74	11	8.34569	11.5165	-3.17078	-16.3034	1.09779e-21	4.34568e-19
GSE59071	7953626	CLSTN3	calsyntenin 3	9746	74	11	7.66148	6.73979	0.921687	16.9034	1.19286e-21	4.66647e-19
GSE59071	8023696	SERPINB3	serpin family B member 3	6317	74	11	7.91637	4.17901	3.73736	13.1575	1.20724e-21	4.66781e-19
GSE59071	7946977	SAA2-SAA4	SAA2-SAA4 readthrough	100528017	74	11	6.33864	4.78027	1.55836	14.8581	1.50752e-21	5.66562e-19
GSE59071	7920552	KCNN3	potassium calcium-activated channel subfamily N member 3	3782	74	11	7.42298	6.45377	0.969204	15.1267	1.49074e-21	5.66562e-19
GSE59071	8006415	TMEM98	transmembrane protein 98	26022	74	11	8.01776	8.90498	-0.887213	-16.714	1.51642e-21	5.66562e-19
GSE59071	7955441	METTL7A	methyltransferase like 7A	25840	74	11	7.79817	9.11503	-1.31686	-17.802	2.5572e-21	9.448e-19
GSE59071	8038899	FPR1	formyl peptide receptor 1	2357	74	11	7.38235	5.6081	1.77425	12.8061	3.05495e-21	1.1163e-18
GSE59071	7996264	CDH5	cadherin 5	1003	74	11	8.72156	7.03083	1.69072	16.228	3.10513e-21	1.1223e-18
GSE59071	7896337				74	11	8.2688	9.24747	-0.978672	-14.7192	3.73929e-21	1.33698e-18
GSE59071	8062823	HNF4A	hepatocyte nuclear factor 4 alpha	3172	74	11	9.44631	10.4629	-1.01655	-12.7041	3.85124e-21	1.36236e-18
GSE59071	8101086	NAAA	N-acylethanolamine acid amidase	27163	74	11	8.75251	10.4713	-1.71878	-18.2769	3.95905e-21	1.38575e-18
GSE59071	7939376	LDLRAD3	low density lipoprotein receptor class A domain containing 3	143458	74	11	7.98405	7.12589	0.858163	12.7559	6.58241e-21	2.27998e-18
GSE59071	7943218	PANX1	pannexin 1	24145	74	11	8.40058	7.44695	0.953632	15.0634	7.17655e-21	2.46015e-18
GSE59071	8009796	TMEM94	transmembrane protein 94	9772	74	11	8.50373	9.24808	-0.744346	-19.7714	7.31837e-21	2.48317e-18
GSE59071	7964316	MYO1A	myosin IA	4640	74	11	9.01938	10.3532	-1.3338	-12.5269	8.16299e-21	2.74178e-18
GSE59071	8123658	SLC22A23	solute carrier family 22 member 23	63027	74	11	8.15955	9.17026	-1.01071	-14.0279	8.32464e-21	2.76811e-18
GSE59071	8068583	KCNJ15	potassium voltage-gated channel subfamily J member 15	3772	74	11	6.84015	5.19487	1.64528	12.5124	8.62117e-21	2.83833e-18
GSE59071	7969330	PCDH17	protocadherin 17	27253	74	11	7.62648	6.47985	1.14663	13.4219	9.29412e-21	3.01361e-18
GSE59071	8013022	LRRC75A	leucine rich repeat containing 75A	388341	74	11	8.57494	9.65899	-1.08405	-14.4077	9.42545e-21	3.01361e-18
GSE59071	8047606	NBEAL1	neurobeachin like 1	65065	74	11	8.26635	9.15271	-0.886358	-14.7585	9.35594e-21	3.01361e-18
GSE59071	7909306	C4BPB	complement component 4 binding protein beta	725	74	11	7.31256	5.17572	2.13684	17.8981	9.80574e-21	3.10534e-18
GSE59071	8067055	ATP9A	ATPase phospholipid transporting 9A (putative)	10079	74	11	8.69634	9.63964	-0.943299	-13.2298	1.12009e-20	3.5137e-18
GSE59071	8037298	CD177	CD177 molecule	57126	74	11	9.92246	12.4075	-2.48499	-12.4406	1.18175e-20	3.67248e-18
GSE59071	8054712	IL1A	interleukin 1 alpha	3552	74	11	7.19533	4.88679	2.30854	13.5137	1.46932e-20	4.44162e-18
GSE59071	8178295	UBD	ubiquitin D	10537	74	11	7.83363	5.6541	2.17952	19.3491	1.46725e-20	4.44162e-18
GSE59071	7938652	INSC	inscuteable homolog (Drosophila)	387755	74	11	7.23836	6.0259	1.21247	16.5131	1.46012e-20	4.44162e-18
GSE59071	7996393	CBFB	core-binding factor beta subunit	865	74	11	9.47735	8.61568	0.861667	19.0745	1.70743e-20	5.11491e-18
GSE59071	8124650	UBD	ubiquitin D	10537	74	11	7.90479	5.65342	2.25137	19.4711	2.41194e-20	7.16088e-18
GSE59071	8062728	SGK2	SGK2, serine/threonine kinase 2	10110	74	11	7.74179	9.72152	-1.97973	-17.9295	2.45826e-20	7.23381e-18
GSE59071	8146092	IDO1	indoleamine 2,3-dioxygenase 1	3620	74	11	9.04212	4.81688	4.22524	20.1419	2.48114e-20	7.23709e-18
GSE59071	8095806	ART3	ADP-ribosyltransferase 3	419	74	11	5.67453	4.54924	1.12529	14.4704	3.62378e-20	1.04781e-17
GSE59071	8157038	SLC44A1	solute carrier family 44 member 1	23446	74	11	10.1992	11.1456	-0.946461	-15.3957	3.76726e-20	1.0799e-17
GSE59071	8093145	CEP19	centrosomal protein 19	84984	74	11	5.32055	4.71678	0.603766	13.6137	4.27644e-20	1.21539e-17
GSE59071	8014115	MYO1D	myosin ID	4642	74	11	9.91372	11.1534	-1.23965	-17.8685	4.367e-20	1.23061e-17
GSE59071	8055350	TMEM163	transmembrane protein 163	81615	74	11	6.76133	5.6907	1.07063	12.6376	4.44013e-20	1.2407e-17
GSE59071	8078650	CTDSPL	CTD small phosphatase like	10217	74	11	8.70533	9.67489	-0.969556	-16.4501	5.15883e-20	1.42951e-17
GSE59071	8148435	WISP1	WNT1 inducible signaling pathway protein 1	8840	74	11	7.68971	6.50786	1.18185	12.8419	5.86594e-20	1.61202e-17
GSE59071	8095697	CXCL1	C-X-C motif chemokine ligand 1	2919	74	11	11.0219	7.56757	3.45437	24.6623	6.93131e-20	1.88918e-17
GSE59071	8010454	RNF213	ring finger protein 213	57674	74	11	10.2348	8.93322	1.3016	19.4132	8.68916e-20	2.34904e-17
GSE59071	7920238	S100A12	S100 calcium binding protein A12	6283	74	11	7.32371	4.80038	2.52333	11.9947	8.95412e-20	2.40115e-17
GSE59071	7905060	FCGR1CP	Fc fragment of IgG receptor Ic, pseudogene	100132417	74	11	6.58652	5.13099	1.45552	11.9955	9.71433e-20	2.56366e-17
GSE59071	7915500	C1orf210	chromosome 1 open reading frame 210	149466	74	11	8.59711	9.88446	-1.28735	-12.6626	9.68595e-20	2.56366e-17
GSE59071	7924069				74	11	6.52927	5.01519	1.51409	13.334	9.98665e-20	2.61477e-17
GSE59071	8059067	IHH	indian hedgehog	3549	74	11	8.02713	9.13094	-1.10381	-14.7179	1.0164e-19	2.64042e-17
GSE59071	7933640	A1CF	APOBEC1 complementation factor	29974	74	11	8.23588	9.76302	-1.52714	-12.8551	1.21104e-19	3.11668e-17
GSE59071	7913593	TCEA3	transcription elongation factor A3	6920	74	11	8.56308	9.87309	-1.31001	-12.4761	1.22785e-19	3.11668e-17
GSE59071	8058498	FZD5	frizzled class receptor 5	7855	74	11	9.16385	10.256	-1.09211	-12.1422	1.22326e-19	3.11668e-17
GSE59071	7963946	MMP19	matrix metallopeptidase 19	4327	74	11	7.25283	6.24559	1.00724	12.1928	1.2387e-19	3.1204e-17
GSE59071	8038725	KLK10	kallikrein related peptidase 10	5655	74	11	9.17153	7.2079	1.96363	11.9125	1.27178e-19	3.17964e-17
GSE59071	8048227	CXCR2	C-X-C motif chemokine receptor 2	3579	74	11	6.62496	4.8022	1.82276	12.1039	1.39128e-19	3.45245e-17
GSE59071	8002571	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	23035	74	11	7.9304	10.2969	-2.36655	-21.0066	1.42532e-19	3.51072e-17
GSE59071	7952268	THY1	Thy-1 cell surface antigen	7070	74	11	8.48319	6.72627	1.75692	14.0051	1.60637e-19	3.92757e-17
GSE59071	8017867	FAM20A	family with sequence similarity 20 member A	54757	74	11	6.5117	5.4717	1.04	11.8427	1.71861e-19	4.17133e-17
GSE59071	7915444	P3H1	prolyl 3-hydroxylase 1	64175	74	11	7.16291	6.29086	0.872052	15.888	1.79188e-19	4.31765e-17
GSE59071	8139021	KIAA0895	KIAA0895	23366	74	11	6.64513	5.98008	0.665045	14.866	1.85366e-19	4.43438e-17
GSE59071	7940299	MS4A12	membrane spanning 4-domains A12	54860	74	11	9.74143	12.5039	-2.76245	-11.7656	2.35492e-19	5.59096e-17
GSE59071	8020220	TUBB6	tubulin beta 6 class V	84617	74	11	8.90682	8.27079	0.636022	15.442	2.37076e-19	5.59096e-17
GSE59071	7926900	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326	74	11	7.88363	7.13852	0.745104	13.2657	2.75506e-19	6.4515e-17
GSE59071	7992396	FAHD1	fumarylacetoacetate hydrolase domain containing 1	81889	74	11	6.91227	8.11755	-1.20528	-17.8261	2.92586e-19	6.7563e-17
GSE59071	7963187	LIMA1	LIM domain and actin binding 1	51474	74	11	10.0475	10.6822	-0.634687	-11.908	2.91663e-19	6.7563e-17
GSE59071	7969815	CLYBL	citrate lyase beta like	171425	74	11	7.05564	8.44873	-1.3931	-18.3475	3.09812e-19	7.10474e-17
GSE59071	7904572				74	11	7.19189	5.89027	1.30162	13.4174	3.18289e-19	7.24914e-17
GSE59071	8003298	SLC7A5	solute carrier family 7 member 5	8140	74	11	8.78285	6.9497	1.83315	17.2327	4.46436e-19	1.00986e-16
GSE59071	8088866	CNTN3	contactin 3	5067	74	11	5.32859	7.32299	-1.9944	-21.9768	5.20614e-19	1.16969e-16
GSE59071	8132013	CHN2	chimerin 2	1124	74	11	7.77817	9.0172	-1.23903	-16.4761	5.34343e-19	1.19248e-16
GSE59071	7898057	PDPN	podoplanin	10630	74	11	7.56268	6.18103	1.38164	15.224	5.52846e-19	1.21753e-16
GSE59071	7962659	HDAC7	histone deacetylase 7	51564	74	11	8.24675	7.61727	0.629475	14.6693	5.52888e-19	1.21753e-16
GSE59071	8129888	NHSL1	NHS like 1	57224	74	11	8.57727	9.71321	-1.13594	-12.5146	5.67012e-19	1.24041e-16
GSE59071	8024572	GNA15	G protein subunit alpha 15	2769	74	11	8.85384	7.01114	1.8427	21.7449	6.3128e-19	1.37198e-16
GSE59071	8029280	CD177	CD177 molecule	57126	74	11	10.2767	12.3395	-2.06281	-11.6545	6.72203e-19	1.45143e-16
GSE59071	8043278	MRPL35	mitochondrial ribosomal protein L35	51318	74	11	8.35797	9.28557	-0.927594	-14.7363	6.82767e-19	1.46473e-16
GSE59071	8069676	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	74	11	7.64431	6.06112	1.58319	13.8162	8.75574e-19	1.86632e-16
GSE59071	8039196	LILRB3	leukocyte immunoglobulin like receptor B3	11025	74	11	7.88022	6.62727	1.25296	11.6627	8.86602e-19	1.87779e-16
GSE59071	8053379	TRABD2A	TraB domain containing 2A	129293	74	11	8.33332	9.39242	-1.05909	-14.8984	9.03299e-19	1.90104e-16
GSE59071	7919133	FCGR1CP	Fc fragment of IgG receptor Ic, pseudogene	100132417	74	11	6.73523	5.24118	1.49405	11.8088	9.09721e-19	1.90252e-16
GSE59071	8014591	HNF1B	HNF1 homeobox B	6928	74	11	7.72028	8.79377	-1.0735	-12.9014	9.20651e-19	1.91334e-16
GSE59071	8116070	PDLIM7	PDZ and LIM domain 7	9260	74	11	7.69969	7.05889	0.640803	12.9639	9.42983e-19	1.94758e-16
GSE59071	7956930	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	8445	74	11	9.53744	10.3278	-0.790365	-14.5581	9.58674e-19	1.96777e-16
GSE59071	8085774	ZNF385D	zinc finger protein 385D	79750	74	11	6.3234	5.30977	1.01363	11.6764	9.79408e-19	1.99799e-16
GSE59071	8156848	NR4A3	nuclear receptor subfamily 4 group A member 3	8013	74	11	6.94603	5.83414	1.11189	11.4556	1.02287e-18	2.07393e-16
GSE59071	8016646	COL1A1	collagen type I alpha 1 chain	1277	74	11	10.3255	8.38215	1.94333	14.5	1.05908e-18	2.13434e-16
GSE59071	7960464	VWF	von Willebrand factor	7450	74	11	8.40078	6.3553	2.04547	16.279	1.25511e-18	2.51415e-16
GSE59071	7897044	PRKCZ	protein kinase C zeta	5590	74	11	8.13754	8.72696	-0.589419	-11.8309	1.27657e-18	2.54183e-16
GSE59071	7896730				74	11	7.94085	6.11119	1.82966	14.1522	1.29991e-18	2.57289e-16
GSE59071	8126248	UNC5CL	unc-5 family C-terminal like	222643	74	11	6.99321	5.79516	1.19805	14.0292	1.5337e-18	3.01767e-16
GSE59071	7965040	PHLDA1	pleckstrin homology like domain family A member 1	22822	74	11	9.19279	7.06887	2.12392	19.7269	1.60183e-18	3.13318e-16
GSE59071	7903393	S1PR1	sphingosine-1-phosphate receptor 1	1901	74	11	6.40475	5.30658	1.09817	13.3455	1.76047e-18	3.42334e-16
GSE59071	7902687	CYR61	cysteine rich angiogenic inducer 61	3491	74	11	7.83206	5.99395	1.83811	12.7619	1.80828e-18	3.49587e-16
GSE59071	7951545	EXPH5	exophilin 5	23086	74	11	7.08233	9.27168	-2.18935	-16.08	1.88833e-18	3.62952e-16
GSE59071	7893608				74	11	7.76688	8.75504	-0.988161	-15.1006	2.08197e-18	3.97872e-16
GSE59071	8121257	PRDM1	PR/SET domain 1	639	74	11	9.88671	7.96476	1.92196	17.3076	2.13028e-18	4.04778e-16
GSE59071	7906435	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	74	11	7.23593	6.22093	1.015	13.2379	2.37595e-18	4.48893e-16
GSE59071	8088813	PROK2	prokineticin 2	60675	74	11	8.3888	6.73131	1.65749	11.5388	2.53469e-18	4.7433e-16
GSE59071	7996361	CES3	carboxylesterase 3	23491	74	11	8.4729	9.78858	-1.31568	-11.712	2.53912e-18	4.7433e-16
GSE59071	7985317	CEMIP	cell migration inducing hyaluronan binding protein	57214	74	11	8.4607	6.04942	2.41128	12.6712	2.61038e-18	4.84918e-16
GSE59071	7951796	NXPE4	neurexophilin and PC-esterase domain family member 4	54827	74	11	9.42877	11.357	-1.92825	-11.2125	2.68125e-18	4.93913e-16
GSE59071	8006621	CCL4L1	C-C motif chemokine ligand 4 like 1	388372	74	11	7.68815	5.86558	1.82257	11.7999	2.73026e-18	4.93913e-16
GSE59071	8019651	CCL4L1	C-C motif chemokine ligand 4 like 1	388372	74	11	7.68815	5.86558	1.82257	11.7999	2.73026e-18	4.93913e-16
GSE59071	8142671	WASL	Wiskott-Aldrich syndrome like	8976	74	11	9.8969	10.6539	-0.757032	-13.6161	2.69982e-18	4.93913e-16
GSE59071	8054364	TGFBRAP1	transforming growth factor beta receptor associated protein 1	9392	74	11	8.40916	8.84475	-0.43559	-12.2553	2.73307e-18	4.93913e-16
GSE59071	8109926	GABRP	gamma-aminobutyric acid type A receptor pi subunit	2568	74	11	7.65342	6.13159	1.52182	15.5238	2.8197e-18	5.06814e-16
GSE59071	8019507	C17orf62	chromosome 17 open reading frame 62	79415	74	11	8.65916	8.15616	0.502996	14.3879	2.93396e-18	5.24516e-16
GSE59071	8126798	ADGRF5	adhesion G protein-coupled receptor F5	221395	74	11	7.49916	5.87116	1.628	13.362	2.97226e-18	5.28522e-16
GSE59071	7913237	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	55450	74	11	10.5798	11.6234	-1.04362	-13.3097	3.04983e-18	5.39431e-16
GSE59071	7961710	ABCC9	ATP binding cassette subfamily C member 9	10060	74	11	6.14892	5.08438	1.06455	11.1655	3.31325e-18	5.82922e-16
GSE59071	7919984	SELENBP1	selenium binding protein 1	8991	74	11	10.2159	12.2231	-2.00722	-16.2551	3.36951e-18	5.897e-16
