accession	probe_id	gene_symbol	gene_title	gene_id	n_case	n_control	mean_case	mean_control	log2fc	t_stat	p_value	fdr
GSE87466	220724_PM_at	CWH43	cell wall biogenesis 43 C-terminal homolog	80157	87	21	6.85054	9.6595	-2.80896	-13.9445	1.69254e-25	2.80628e-22
GSE87466	1560010_PM_a_at	SATB2-AS1	SATB2 antisense RNA 1	150538	87	21	6.58614	9.27301	-2.68687	-14.4109	3.13795e-25	5.04979e-22
GSE87466	211135_PM_x_at	LILRB3	leukocyte immunoglobulin like receptor B3	11025	87	21	8.45839	7.04105	1.41734	13.8355	6.14806e-25	9.61117e-22
GSE87466	205479_PM_s_at	PLAU	plasminogen activator, urokinase	5328	87	21	8.61212	6.75034	1.86178	15.1461	8.97876e-25	1.36465e-21
GSE87466	219195_PM_at	PPARGC1A	PPARG coactivator 1 alpha	10891	87	21	7.21956	9.05327	-1.83371	-13.8435	1.12166e-24	1.65869e-21
GSE87466	223426_PM_s_at	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	87	21	8.68162	10.4264	-1.74473	-13.6687	1.30005e-24	1.8719e-21
GSE87466	206784_PM_at	AQP8	aquaporin 8	343	87	21	7.27656	12.0496	-4.77307	-17.0513	1.46977e-24	2.06201e-21
GSE87466	222830_PM_at	GRHL1	grainyhead like transcription factor 1	29841	87	21	5.45624	3.90718	1.54907	15.6714	1.93884e-24	2.65209e-21
GSE87466	202479_PM_s_at	TRIB2	tribbles pseudokinase 2	28951	87	21	6.22964	5.13595	1.09369	13.4735	2.06738e-24	2.75894e-21
GSE87466	230615_PM_at	DUOXA2	dual oxidase maturation factor 2	405753	87	21	9.64067	6.3977	3.24296	17.2815	2.77878e-24	3.62002e-21
GSE87466	229373_PM_at				87	21	6.44697	4.94965	1.49732	13.3759	4.60932e-24	5.86509e-21
GSE87466	215346_PM_at	CD40	CD40 molecule	958	87	21	8.83646	7.78427	1.05219	14.1439	5.18715e-24	6.45034e-21
GSE87466	202235_PM_at	SLC16A1	solute carrier family 16 member 1	6566	87	21	7.24197	9.74807	-2.5061	-20.1064	5.45732e-24	6.63549e-21
GSE87466	1556034_PM_s_at	MTMR11	myotubularin related protein 11	10903	87	21	9.95179	10.9898	-1.038	-14.7824	5.98299e-24	7.11651e-21
GSE87466	204014_PM_at	DUSP4	dual specificity phosphatase 4	1846	87	21	8.08376	6.43324	1.65052	14.8418	6.65931e-24	7.75243e-21
GSE87466	205153_PM_s_at	CD40	CD40 molecule	958	87	21	8.06072	6.3875	1.67322	15.8396	7.25755e-24	8.27285e-21
GSE87466	240110_PM_at	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	3158	87	21	5.64404	9.35961	-3.71556	-18.4559	8.16335e-24	9.11546e-21
GSE87466	242814_PM_at	SERPINB9	serpin family B member 9	5272	87	21	7.79019	5.79955	1.99064	15.0794	8.51729e-24	9.32047e-21
GSE87466	215465_PM_at	ABCA12	ATP binding cassette subfamily A member 12	26154	87	21	6.00675	4.2561	1.75065	14.6542	9.00556e-24	9.66155e-21
GSE87466	235821_PM_at				87	21	6.78398	4.26806	2.51592	13.6679	1.07212e-23	1.12014e-20
GSE87466	202273_PM_at	PDGFRB	platelet derived growth factor receptor beta	5159	87	21	8.41087	7.21403	1.19684	13.4895	1.08503e-23	1.12014e-20
GSE87466	205513_PM_at	TCN1	transcobalamin 1	6947	87	21	7.35006	4.18143	3.16863	13.8713	1.21274e-23	1.2288e-20
GSE87466	210163_PM_at	CXCL11	C-X-C motif chemokine ligand 11	6373	87	21	6.87983	3.96708	2.91275	13.929	3.38509e-23	3.36755e-20
GSE87466	209955_PM_s_at	FAP	fibroblast activation protein alpha	2191	87	21	6.64114	4.6481	1.99305	12.7771	3.47141e-23	3.39175e-20
GSE87466	241703_PM_at	RUNDC3B	RUN domain containing 3B	154661	87	21	5.80522	7.96998	-2.16476	-17.403	3.67378e-23	3.40696e-20
GSE87466	207016_PM_s_at	ALDH1A2	aldehyde dehydrogenase 1 family member A2	8854	87	21	5.60685	3.6448	1.96205	12.772	3.63969e-23	3.40696e-20
GSE87466	212741_PM_at	MAOA	monoamine oxidase A	4128	87	21	11.163	12.3387	-1.1757	-12.7684	3.63967e-23	3.40696e-20
GSE87466	205097_PM_at	SLC26A2	solute carrier family 26 member 2	1836	87	21	7.24155	11.0525	-3.81091	-14.4235	4.12778e-23	3.76419e-20
GSE87466	202637_PM_s_at	ICAM1	intercellular adhesion molecule 1	3383	87	21	8.51575	6.77579	1.73996	14.6006	4.34253e-23	3.89511e-20
GSE87466	206000_PM_at	MEP1A	meprin A subunit alpha	4224	87	21	9.10141	10.7457	-1.64428	-12.6877	6.32948e-23	5.58577e-20
GSE87466	221729_PM_at	COL5A2	collagen type V alpha 2 chain	1290	87	21	9.78068	8.4925	1.28818	14.298	6.8675e-23	5.96437e-20
GSE87466	223509_PM_at	CLDN2	claudin 2	9075	87	21	7.58139	5.3242	2.25719	15.0244	7.0285e-23	6.00882e-20
GSE87466	206262_PM_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	87	21	9.79898	12.0359	-2.23693	-12.7447	7.52475e-23	6.3341e-20
GSE87466	212942_PM_s_at	CEMIP	cell migration inducing hyaluronan binding protein	57214	87	21	7.49514	4.9617	2.53344	12.6154	8.55721e-23	7.09406e-20
GSE87466	207008_PM_at	CXCR2	C-X-C motif chemokine receptor 2	3579	87	21	7.76311	5.6882	2.07491	12.5788	9.44126e-23	7.71013e-20
GSE87466	228912_PM_at	VIL1	villin 1	7429	87	21	10.9895	12.0614	-1.07185	-12.5679	9.94856e-23	8.00493e-20
GSE87466	1562056_PM_at				87	21	7.28051	5.2801	2.00041	13.6348	1.15039e-22	9.12226e-20
GSE87466	233142_PM_at	LINC01224	long intergenic non-protein coding RNA 1224	104472717	87	21	5.62878	7.21491	-1.58613	-13.6486	1.20853e-22	9.44639e-20
GSE87466	205863_PM_at	S100A12	S100 calcium binding protein A12	6283	87	21	7.15524	4.62672	2.52851	12.806	1.46181e-22	1.12652e-19
GSE87466	203591_PM_s_at	CSF3R	colony stimulating factor 3 receptor	1441	87	21	6.87524	4.76589	2.10935	12.5973	1.5949e-22	1.21201e-19
GSE87466	202234_PM_s_at	SLC16A1	solute carrier family 16 member 1	6566	87	21	7.98985	10.1957	-2.20582	-18.5189	1.65183e-22	1.23808e-19
GSE87466	214370_PM_at	S100A8	S100 calcium binding protein A8	6279	87	21	10.7408	6.6912	4.04961	16.3732	1.75889e-22	1.30051e-19
GSE87466	212950_PM_at	ADGRF5	adhesion G protein-coupled receptor F5	221395	87	21	7.26695	5.61488	1.65207	13.2107	1.9055e-22	1.39013e-19
GSE87466	1553297_PM_a_at	CSF3R	colony stimulating factor 3 receptor	1441	87	21	6.49255	4.42644	2.06611	12.4402	1.93389e-22	1.39227e-19
GSE87466	201645_PM_at	TNC	tenascin C	3371	87	21	9.39186	6.72571	2.66615	14.6423	2.62268e-22	1.86364e-19
GSE87466	210784_PM_x_at	LILRB3	leukocyte immunoglobulin like receptor B3	11025	87	21	8.62853	7.13241	1.49611	13.0843	2.73873e-22	1.92115e-19
GSE87466	203638_PM_s_at	FGFR2	fibroblast growth factor receptor 2	2263	87	21	8.4463	10.4012	-1.95489	-15.2968	3.30757e-22	2.29081e-19
GSE87466	226695_PM_at	PRRX1	paired related homeobox 1	5396	87	21	8.69585	5.62934	3.06651	16.8088	4.07963e-22	2.79021e-19
GSE87466	213131_PM_at	OLFM1	olfactomedin 1	10439	87	21	7.44879	5.35786	2.09092	14.4126	4.23518e-22	2.86084e-19
GSE87466	214460_PM_at	LSAMP	limbic system-associated membrane protein	4045	87	21	6.63731	5.44767	1.18964	13.1631	4.65351e-22	3.10508e-19
GSE87466	210367_PM_s_at	PTGES	prostaglandin E synthase	9536	87	21	8.41513	6.62003	1.7951	12.7552	4.98523e-22	3.25102e-19
GSE87466	205044_PM_at	GABRP	gamma-aminobutyric acid type A receptor pi subunit	2568	87	21	6.31188	5.02739	1.28449	12.6103	4.99105e-22	3.25102e-19
GSE87466	227860_PM_at	CPXM1	carboxypeptidase X, M14 family member 1	56265	87	21	7.39761	5.73634	1.66127	13.6966	5.10626e-22	3.28693e-19
GSE87466	227959_PM_at				87	21	6.93128	8.68743	-1.75616	-14.3912	5.27744e-22	3.35762e-19
GSE87466	226658_PM_at	PDPN	podoplanin	10630	87	21	5.92301	4.49516	1.42785	13.4155	6.8887e-22	4.33236e-19
GSE87466	202638_PM_s_at	ICAM1	intercellular adhesion molecule 1	3383	87	21	7.91439	6.32265	1.59174	13.4293	8.07541e-22	5.02098e-19
GSE87466	222162_PM_s_at	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	87	21	7.62739	5.80421	1.82318	14.4737	8.32817e-22	5.11995e-19
GSE87466	207734_PM_at	LAX1	lymphocyte transmembrane adaptor 1	54900	87	21	8.28676	6.37575	1.91101	13.3745	1.04247e-21	6.33764e-19
GSE87466	202497_PM_x_at	SLC2A3	solute carrier family 2 member 3	6515	87	21	8.03117	6.37859	1.65259	12.502	1.08505e-21	6.52401e-19
GSE87466	203256_PM_at	CDH3	cadherin 3	1001	87	21	7.19907	4.78675	2.41232	16.1188	1.16818e-21	6.9475e-19
GSE87466	211133_PM_x_at	LILRB3	leukocyte immunoglobulin like receptor B3	11025	87	21	8.33932	6.99632	1.343	12.6349	1.27417e-21	7.49637e-19
GSE87466	226611_PM_s_at	CENPV	centromere protein V	201161	87	21	8.64314	9.68737	-1.04423	-13.0176	1.40248e-21	8.16348e-19
GSE87466	1555404_PM_a_at	DUOXA1	dual oxidase maturation factor 1	90527	87	21	9.79601	7.38469	2.41133	14.7135	1.49483e-21	8.60943e-19
GSE87466	222858_PM_s_at	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	27071	87	21	7.31044	4.96366	2.34679	16.5748	1.57745e-21	8.99064e-19
GSE87466	229802_PM_at	WISP1-OT1	WISP1 overlapping transcript 1	106144543	87	21	6.97633	4.21867	2.75766	13.8056	1.70089e-21	9.59425e-19
GSE87466	218358_PM_at	CRELD2	cysteine rich with EGF like domains 2	79174	87	21	10.561	9.59206	0.968983	14.8205	2.66434e-21	1.48754e-18
GSE87466	226001_PM_at	KLHL5	kelch like family member 5	51088	87	21	5.60368	4.14559	1.45809	14.0094	2.71189e-21	1.4988e-18
GSE87466	205303_PM_at	KCNJ8	potassium voltage-gated channel subfamily J member 8	3764	87	21	5.84353	4.38158	1.46195	12.7041	3.28816e-21	1.79912e-18
GSE87466	208747_PM_s_at	C1S	complement component 1, s subcomponent	716	87	21	10.3797	9.03709	1.34258	14.6221	3.82175e-21	2.07037e-18
GSE87466	205067_PM_at	IL1B	interleukin 1 beta	3553	87	21	9.11246	5.98022	3.13224	13.5809	4.11724e-21	2.18713e-18
GSE87466	203126_PM_at	IMPA2	inositol monophosphatase 2	3613	87	21	8.93196	10.0953	-1.16333	-13.3029	4.09261e-21	2.18713e-18
GSE87466	207697_PM_x_at	LILRB2	leukocyte immunoglobulin like receptor B2	10288	87	21	8.98164	7.34332	1.63831	13.2046	4.23923e-21	2.23028e-18
GSE87466	206336_PM_at	CXCL6	C-X-C motif chemokine ligand 6	6372	87	21	6.52891	3.88803	2.64087	13.1292	4.63932e-21	2.41753e-18
GSE87466	230238_PM_at	SOWAHA	sosondowah ankyrin repeat domain family member A	134548	87	21	7.77808	9.74528	-1.9672	-12.3842	4.89651e-21	2.52748e-18
GSE87466	214457_PM_at	HOXA2	homeobox A2	3199	87	21	6.5022	7.58232	-1.08012	-14.1728	5.10132e-21	2.60859e-18
GSE87466	207003_PM_at	GUCA2A	guanylate cyclase activator 2A	2980	87	21	10.9564	12.9562	-1.99979	-11.8846	5.22064e-21	2.64488e-18
GSE87466	227522_PM_at	CMBL	carboxymethylenebutenolidase homolog	134147	87	21	10.1711	11.3239	-1.15284	-12.5242	5.40141e-21	2.71136e-18
GSE87466	205506_PM_at	VIL1	villin 1	7429	87	21	9.0761	10.2867	-1.21057	-12.0796	6.47358e-21	3.22002e-18
GSE87466	208850_PM_s_at	THY1	Thy-1 cell surface antigen	7070	87	21	7.87822	6.14109	1.73714	14.1232	7.1058e-21	3.50265e-18
GSE87466	224963_PM_at	SLC26A2	solute carrier family 26 member 2	1836	87	21	7.74373	11.2449	-3.50119	-13.7591	7.18197e-21	3.50858e-18
GSE87466	201262_PM_s_at	BGN	biglycan	633	87	21	6.40283	5.25517	1.14767	11.7596	7.9871e-21	3.86738e-18
GSE87466	240176_PM_at				87	21	6.17106	4.77823	1.39283	12.9494	8.09665e-21	3.88604e-18
GSE87466	220310_PM_at	TUBAL3	tubulin alpha like 3	79861	87	21	8.08187	10.0282	-1.94633	-13.2686	8.78065e-21	4.17768e-18
GSE87466	227960_PM_s_at	FAHD1	fumarylacetoacetate hydrolase domain containing 1	81889	87	21	8.74689	9.56165	-0.81476	-12.4497	9.41936e-21	4.44293e-18
GSE87466	201438_PM_at	COL6A3	collagen type VI alpha 3 chain	1293	87	21	11.0865	9.48561	1.60091	16.2225	9.92795e-21	4.6428e-18
GSE87466	228665_PM_at	CYYR1	cysteine and tyrosine rich 1	116159	87	21	7.36686	6.07279	1.29407	13.1488	1.31546e-20	6.09961e-18
GSE87466	200844_PM_s_at	PRDX6	peroxiredoxin 6	9588	87	21	11.92	12.5132	-0.593146	-13.3677	1.36686e-20	6.28468e-18
GSE87466	220161_PM_s_at	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	87	21	10.282	11.4611	-1.17913	-11.5901	1.49814e-20	6.83089e-18
GSE87466	210764_PM_s_at	CYR61	cysteine rich angiogenic inducer 61	3491	87	21	6.89385	5.32373	1.57012	11.8618	2.24316e-20	1.01433e-17
GSE87466	240106_PM_at	GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	79158	87	21	6.47948	7.46948	-0.990003	-12.4797	2.68126e-20	1.2025e-17
GSE87466	206094_PM_x_at	UGT1A6	UDP glucuronosyltransferase family 1 member A6	54578	87	21	8.94321	10.9299	-1.98674	-13.5652	3.06171e-20	1.36196e-17
GSE87466	209791_PM_at	PADI2	peptidyl arginine deiminase 2	11240	87	21	10.2823	12.0059	-1.72357	-13.0094	3.19726e-20	1.41079e-17
GSE87466	204259_PM_at	MMP7	matrix metallopeptidase 7	4316	87	21	8.39172	6.16773	2.22399	13.023	3.24907e-20	1.42218e-17
GSE87466	209030_PM_s_at	CADM1	cell adhesion molecule 1	23705	87	21	7.44987	5.6411	1.80877	13.4263	3.39802e-20	1.47441e-17
GSE87466	226594_PM_at	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	957	87	21	9.76188	11.2625	-1.50063	-12.2176	3.42227e-20	1.47441e-17
GSE87466	208087_PM_s_at	ZBP1	Z-DNA binding protein 1	81030	87	21	7.49535	6.359	1.13635	12.2535	3.73157e-20	1.5951e-17
GSE87466	223551_PM_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	5570	87	21	8.16425	10.2248	-2.06054	-12.2107	3.83092e-20	1.62487e-17
GSE87466	202488_PM_s_at	FXYD3	FXYD domain containing ion transport regulator 3	5349	87	21	10.5669	11.702	-1.13509	-11.4052	3.92783e-20	1.65316e-17
GSE87466	201042_PM_at	TGM2	transglutaminase 2	7052	87	21	9.58517	7.47595	2.10922	15.642	4.46002e-20	1.86282e-17
GSE87466	240770_PM_at	TMEM171	transmembrane protein 171	134285	87	21	9.27269	10.8302	-1.55756	-12.8537	4.93053e-20	2.04374e-17
GSE87466	201289_PM_at	CYR61	cysteine rich angiogenic inducer 61	3491	87	21	7.66983	5.31832	2.35151	13.9153	5.69038e-20	2.3235e-17
GSE87466	210423_PM_s_at	SLC11A1	solute carrier family 11 member 1	6556	87	21	5.92133	4.11176	1.80957	11.3331	5.66828e-20	2.3235e-17
GSE87466	202859_PM_x_at	CXCL8	C-X-C motif chemokine ligand 8	3576	87	21	9.31053	5.31313	3.99739	13.9798	6.80605e-20	2.75847e-17
GSE87466	219197_PM_s_at	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	57758	87	21	6.40551	8.12032	-1.71481	-16.1423	7.97578e-20	3.20879e-17
GSE87466	226960_PM_at	CXCL17	C-X-C motif chemokine ligand 17	284340	87	21	5.37121	4.07276	1.29845	11.34	9.63854e-20	3.84944e-17
GSE87466	228066_PM_at	C17orf96	chromosome 17 open reading frame 96	100170841	87	21	6.57038	5.3418	1.22859	11.9865	9.97202e-20	3.95376e-17
GSE87466	213407_PM_at	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	23035	87	21	8.49169	10.291	-1.79926	-14.2171	1.02298e-19	3.96349e-17
GSE87466	202998_PM_s_at	LOXL2	lysyl oxidase like 2	4017	87	21	7.92917	6.32273	1.60644	14.0642	1.02863e-19	3.96349e-17
GSE87466	236191_PM_at				87	21	6.44763	4.98817	1.45947	11.7753	1.02697e-19	3.96349e-17
GSE87466	208981_PM_at	PECAM1	platelet and endothelial cell adhesion molecule 1	5175	87	21	9.82699	8.40277	1.42422	13.947	1.00902e-19	3.96349e-17
GSE87466	226311_PM_at	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	9509	87	21	6.75369	4.89515	1.85853	12.9361	1.07233e-19	4.10297e-17
GSE87466	231925_PM_at	P2RY1	purinergic receptor P2Y1	5028	87	21	7.97053	9.56696	-1.59643	-12.6437	1.21885e-19	4.63121e-17
GSE87466	226804_PM_at	FAM20A	family with sequence similarity 20 member A	54757	87	21	6.98321	5.4998	1.4834	12.2112	1.2479e-19	4.70889e-17
GSE87466	215125_PM_s_at	UGT1A3	UDP glucuronosyltransferase family 1 member A3	54659	87	21	9.00688	11.0861	-2.07924	-13.1116	1.27307e-19	4.77096e-17
GSE87466	218309_PM_at	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	55450	87	21	11.8946	12.5143	-0.619709	-11.6292	1.3387e-19	4.98279e-17
GSE87466	242020_PM_s_at	ZBP1	Z-DNA binding protein 1	81030	87	21	8.17179	5.9143	2.25749	13.7305	1.47195e-19	5.44174e-17
GSE87466	229221_PM_at	CD44	CD44 molecule (Indian blood group)	960	87	21	5.59226	4.537	1.05526	11.6449	1.83865e-19	6.75179e-17
GSE87466	204103_PM_at	CCL4	C-C motif chemokine ligand 4	6351	87	21	8.68028	7.01783	1.66245	11.6973	1.85123e-19	6.75267e-17
GSE87466	233267_PM_at	SELENBP1	selenium binding protein 1	8991	87	21	10.2087	11.9385	-1.72979	-13.0583	2.0961e-19	7.59524e-17
GSE87466	236118_PM_at	GATA6-AS1	GATA6 antisense RNA 1 (head to head)	100128893	87	21	7.07882	8.79282	-1.714	-12.2474	2.39719e-19	8.6291e-17
GSE87466	219890_PM_at	CLEC5A	C-type lectin domain family 5 member A	23601	87	21	5.35358	3.82088	1.5327	11.0186	2.83381e-19	1.00683e-16
GSE87466	203760_PM_s_at	SLA	Src-like-adaptor	6503	87	21	7.12598	5.99446	1.13152	11.8083	2.81821e-19	1.00683e-16
GSE87466	222292_PM_at	CD40	CD40 molecule	958	87	21	5.26996	4.06025	1.20972	11.1097	2.85373e-19	1.00737e-16
GSE87466	208092_PM_s_at	FAM49A	family with sequence similarity 49 member A	81553	87	21	7.90616	6.3114	1.59476	12.7246	2.95716e-19	1.03719e-16
GSE87466	219434_PM_at	TREM1	triggering receptor expressed on myeloid cells 1	54210	87	21	7.00556	5.25933	1.74623	11.0298	3.1471e-19	1.09677e-16
GSE87466	210001_PM_s_at	SOCS1	suppressor of cytokine signaling 1	8651	87	21	7.32411	5.71721	1.6069	13.4858	3.28606e-19	1.13447e-16
GSE87466	223322_PM_at	RASSF5	Ras association domain family member 5	83593	87	21	9.49905	8.27751	1.22154	13.3286	3.29673e-19	1.13447e-16
GSE87466	206343_PM_s_at	NRG1	neuregulin 1	3084	87	21	5.92502	4.5276	1.39742	11.2318	3.45693e-19	1.18216e-16
GSE87466	204818_PM_at	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	3294	87	21	9.80834	11.5693	-1.76099	-13.0731	3.55651e-19	1.20866e-16
GSE87466	221773_PM_at	ELK3	ELK3, ETS transcription factor	2004	87	21	8.13337	6.5247	1.60867	14.6792	3.60536e-19	1.2177e-16
GSE87466	229396_PM_at	OVOL1	ovo like transcriptional repressor 1	5017	87	21	8.05462	9.12901	-1.07439	-11.3794	3.67335e-19	1.23305e-16
GSE87466	239586_PM_at	FAM83A	family with sequence similarity 83 member A	84985	87	21	6.73717	5.8226	0.914568	10.961	3.84779e-19	1.28373e-16
GSE87466	204532_PM_x_at	UGT1A1	UDP glucuronosyltransferase family 1 member A1	54658	87	21	8.7689	10.8848	-2.1159	-12.8039	3.89992e-19	1.29324e-16
GSE87466	207126_PM_x_at	UGT1A1	UDP glucuronosyltransferase family 1 member A1	54658	87	21	8.84633	10.8813	-2.03494	-12.7219	4.08915e-19	1.34782e-16
GSE87466	1559322_PM_at	LOC727916	uncharacterized LOC727916	727916	87	21	5.85495	7.4286	-1.57365	-12.3681	4.7544e-19	1.55771e-16
GSE87466	206571_PM_s_at	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	9448	87	21	8.81073	7.90376	0.90697	12.5151	4.86079e-19	1.58308e-16
GSE87466	214164_PM_x_at	CA12	carbonic anhydrase 12	771	87	21	9.73685	10.8304	-1.09354	-12.662	5.77212e-19	1.86877e-16
GSE87466	208851_PM_s_at	THY1	Thy-1 cell surface antigen	7070	87	21	9.26236	7.54563	1.71673	13.8103	5.87663e-19	1.89141e-16
GSE87466	231693_PM_at	FABP1	fatty acid binding protein 1	2168	87	21	12.6317	13.3062	-0.674476	-10.9211	6.43646e-19	2.05948e-16
GSE87466	218353_PM_at	RGS5	regulator of G-protein signaling 5	8490	87	21	10.9717	9.48393	1.48775	13.5652	6.4912e-19	2.06488e-16
GSE87466	35150_PM_at	CD40	CD40 molecule	958	87	21	7.54787	6.42796	1.11991	12.4029	6.56655e-19	2.06488e-16
GSE87466	202847_PM_at	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	5106	87	21	10.203	11.1172	-0.914191	-12.9726	6.53602e-19	2.06488e-16
GSE87466	208399_PM_s_at	EDN3	endothelin 3	1908	87	21	7.74767	9.37689	-1.62922	-11.1326	7.04121e-19	2.20148e-16
GSE87466	228339_PM_at	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	641700	87	21	8.90267	7.14885	1.75382	13.751	7.74469e-19	2.39977e-16
