display_group	accession	gene_symbol	log2fc	fdr	p_value	t_stat	neglog10_fdr	plot_class
GSE87466 validation	GSE87466	RPN1	0.325436	0.00193169	0.000356577	3.96364	2.714062568444185	not_significant
GSE87466 validation	GSE87466	GLIS2	0.572969	0.00193381	0.000357038	4.09024	2.7135861983011518	not_significant
GSE87466 validation	GSE87466	LOC100287017	-0.221722	0.00193852	0.000357979	-3.94057	2.712529713952706	not_significant
GSE87466 validation	GSE87466	HLA-A	0.171833	0.00194113	0.000358567	4.05367	2.711945378371522	not_significant
GSE87466 validation	GSE87466	NKIRAS1	0.391001	0.00194594	0.000359562	4.06158	2.710870554648671	not_significant
GSE87466 validation	GSE87466	LOC100129175	-0.279158	0.00194642	0.000359758	-3.91586	2.710763441559249	not_significant
GSE87466 validation	GSE87466	CRYBB2P1	-0.173633	0.00194642	0.000359735	-4.01	2.710763441559249	not_significant
GSE87466 validation	GSE87466	EEF1D	0.128997	0.00194885	0.000360313	4.09696	2.7102215865772195	not_significant
GSE87466 validation	GSE87466	C1orf54	0.723052	0.00195352	0.000361276	4.17015	2.7091821381401564	not_significant
GSE87466 validation	GSE87466	CYP4F22	-0.271653	0.00195352	0.000361284	-4.06647	2.7091821381401564	not_significant
GSE87466 validation	GSE87466	PLCG1-AS1	0.418853	0.00195464	0.000361528	3.98505	2.708933218017619	not_significant
GSE87466 validation	GSE87466	BEND2	-0.199055	0.00195466	0.000361586	-4.01299	2.70892877431177	not_significant
GSE87466 validation	GSE87466	SLC36A4	0.488408	0.0019591	0.000362495	4.10384	2.7079433953785315	not_significant
GSE87466 validation	GSE87466	PAX2	-0.199134	0.00196337	0.000363358	-4.08569	2.706997849245477	not_significant
GSE87466 validation	GSE87466	LINC00587	-0.268382	0.00196388	0.000363488	-4.04779	2.706885052664146	not_significant
GSE87466 validation	GSE87466	PCBP3	0.251165	0.0019639	0.000363562	3.84458	2.7068806298657013	not_significant
GSE87466 validation	GSE87466	STARD5	0.23869	0.00196434	0.000363681	3.90729	2.706783339693595	not_significant
GSE87466 validation	GSE87466	LAPTM4B	-0.2588	0.00196669	0.000364223	-3.93336	2.7062640904616893	not_significant
GSE87466 validation	GSE87466	MYCN	-0.180791	0.00196747	0.000364404	-3.94413	2.706091881044521	not_significant
GSE87466 validation	GSE87466	ANO4	-0.237903	0.00196793	0.000364524	-4.121	2.705990353645738	not_significant
GSE87466 validation	GSE87466	PNPLA7	-0.253707	0.00196841	0.000364649	-4.02482	2.7058844373110986	not_significant
GSE87466 validation	GSE87466	PGLS	-0.446861	0.00197069	0.000365144	-4.05144	2.7053816871756267	not_significant
GSE87466 validation	GSE87466	LRCH3	0.200117	0.00197141	0.000365313	3.93321	2.7052230448121923	not_significant
GSE87466 validation	GSE87466	NEURL2	-0.42783	0.0019726	0.000365606	-4.09495	2.7049609712124054	not_significant
GSE87466 validation	GSE87466	TYSND1	-0.460342	0.00197295	0.000365707	-3.95684	2.7048839208295363	not_significant
GSE87466 validation	GSE87466	TUBA3FP	-0.138691	0.00197329	0.000365806	-3.9559	2.704809084973525	not_significant
GSE87466 validation	GSE87466	SYF2	-0.26594	0.00197507	0.000366209	-4.09776	2.7044175075944823	not_significant
GSE87466 validation	GSE87466	UROS	0.556155	0.00197826	0.000366909	3.96223	2.703716630259196	not_significant
GSE87466 validation	GSE87466	ENPP7	-0.411927	0.00197839	0.000367004	-4.08355	2.7036880918326642	not_significant
GSE87466 validation	GSE87466	FPGS	0.366841	0.00198014	0.000367366	3.97523	2.7033041031334033	not_significant
