gene_symbol	direction	evidence_group_count	direction_consistency	mean_log2fc	best_fdr	consensus_score
HSD3B2	down	2	1.0	-2.29821	3.12446e-05	4.59642
SELL	up	2	1.0	2.29723	1.03805e-07	4.59445
SPP1	up	2	1.0	2.28997	1.75366e-14	4.57994
DAPP1	up	2	1.0	2.28611	8.99064e-19	4.57223
ACSF2	down	2	1.0	-2.27304	6.75459e-13	4.54608
BEST2	down	2	1.0	-2.27157	9.46953e-12	4.54315
TDO2	up	2	1.0	2.26618	1.53803e-12	4.53235
MS4A12	down	2	1.0	-2.24855	5.59096e-17	4.49709
GREM1	up	2	1.0	2.24819	7.00301e-09	4.49638
CFB	up	2	1.0	2.24638	9.43465e-12	4.49276
BRINP3	down	2	1.0	-2.24562	8.45886e-12	4.49124
CD274	up	2	1.0	2.21744	1.65819e-12	4.43487
C4BPB	up	2	1.0	2.21533	3.10534e-18	4.43066
DHRS11	down	2	1.0	-2.20953	5.4250499999999994e-27	4.41905
CD55	up	2	1.0	2.20926	3.08222e-11	4.41852
DEFA6	up	2	1.0	2.19834	1.21638e-06	4.39667
FPR1	up	2	1.0	2.19407	2.25728e-23	4.38813
CCL18	up	2	1.0	2.18586	6.4831e-07	4.37171
IRAK3	up	2	1.0	2.17068	1.10389e-11	4.34137
CFI	up	2	1.0	2.16024	8.97656e-09	4.32049
SLCO1B3	up	2	1.0	2.13892	2.38367e-21	4.27784
SGK2	down	2	1.0	-2.13695	6.55277e-26	4.2739
IGFBP5	up	2	1.0	2.13008	4.07573e-15	4.26016
ANXA1	up	2	1.0	2.12051	1.87822e-09	4.24102
PLEK	up	2	1.0	2.11524	1.13841e-11	4.23047
BCL2A1	up	2	1.0	2.11517	1.05908e-10	4.23034
C4BPA	up	2	1.0	2.11226	6.55524e-13	4.22452
SLC16A9	down	2	1.0	-2.11025	8.29214e-10	4.22051
SELE	up	2	1.0	2.09958	2.8917e-22	4.19915
CCL2	up	2	1.0	2.08869	4.37213e-08	4.17738
PHLPP2	down	2	1.0	-2.08291	3.51072e-17	4.16581
PPARGC1A	down	2	1.0	-2.08211	1.65869e-21	4.16423
CCL20	up	2	1.0	2.07517	2.81225e-06	4.15034
CAPN13	down	2	1.0	-2.0709	6.37312e-09	4.14179
FDCSP	up	2	1.0	2.06866	0.000120915	4.13732
CSF3R	up	2	1.0	2.05418	5.5367099999999996e-21	4.10837
CXCL5	up	2	1.0	2.05391	2.63459e-13	4.10783
HEPACAM2	down	2	1.0	-2.05096	1.89179e-08	4.10193
PLAU	up	2	1.0	2.04828	1.3646499999999999e-21	4.09657
WARS	up	2	1.0	2.04802	7.78303e-26	4.09605
APOL1	up	2	1.0	2.04182	2.0405e-19	4.08363
ANPEP	down	2	1.0	-2.03026	1.26158e-06	4.06051
VNN2	up	2	1.0	2.0255	1.7348299999999997e-20	4.051
PRKG2	down	2	1.0	-2.01177	1.5069e-06	4.02354
NPY1R	down	2	1.0	-2.00626	1.24593e-10	4.01251
IGK	up	2	1.0	2.00241	1.75202e-07	4.00482
SLC51B	down	2	1.0	-2.00216	1.16636e-11	4.00433
CTLA4	up	2	1.0	1.99545	2.09028e-14	3.99089
PDE6A	down	2	1.0	-1.98909	1.30769e-08	3.97818
PBLD	down	2	1.0	-1.98773	7.27066e-16	3.97546
PHLDA1	up	2	1.0	1.9847	3.13318e-16	3.96941
BMP3	down	2	1.0	-1.98402	4.099e-08	3.96803
FCRL5	up	2	1.0	1.98383	1.34268e-13	3.96766
COL6A3	up	2	1.0	1.98019	4.6428e-18	3.96038
CXCL6	up	2	1.0	1.97467	2.41753e-18	3.94934
LAX1	up	2	1.0	1.97131	6.33764e-19	3.94262
ICAM1	up	2	1.0	1.96976	3.8951099999999996e-20	3.93953
FGFR2	down	2	1.0	-1.9646	2.29081e-19	3.92919
ITGA5	up	2	1.0	1.9642	9.21409e-14	3.92841
C2	up	2	1.0	1.95922	1.08154e-12	3.91845
MEP1A	down	2	1.0	-1.95299	2.6430499999999997e-21	3.90598
CXCR2	up	2	1.0	1.94883	7.710129999999999e-20	3.89767
ADGRE2	up	2	1.0	1.94657	1.84403e-14	3.89313
STRIP2	up	2	1.0	1.9378	1.02946e-15	3.87561
CXCL3	up	2	1.0	1.93616	6.16229e-28	3.87231
IGHM	up	2	1.0	1.93127	9.21409e-14	3.86254
SLC3A1	down	2	1.0	-1.92843	1.60204e-14	3.85685
ADGRL4	up	2	1.0	1.92819	1.58254e-15	3.85637
SERPINA1	up	2	1.0	1.92796	2.56464e-13	3.85593
LAMP3	up	2	1.0	1.92685	2.38036e-11	3.85369
GBP5	up	2	1.0	1.92673	1.23286e-14	3.85346
TMEM63C	down	2	1.0	-1.92324	4.67891e-06	3.84647
SLC7A11	up	2	1.0	1.9232	4.23326e-14	3.8464
COL1A1	up	2	1.0	1.9159	2.13434e-16	3.83181
KRT6B	up	2	1.0	1.91208	1.33914e-22	3.82417
EXPH5	down	2	1.0	-1.90912	3.62952e-16	3.81823
CD79A	up	2	1.0	1.90564	1.04597e-09	3.81128
LRRC19	down	2	1.0	-1.90116	9.118659999999999e-20	3.80231
PKIB	down	2	1.0	-1.89838	1.62487e-17	3.79676
MS4A1	up	2	1.0	1.89807	1.66283e-05	3.79615
TREM1	up	2	1.0	1.88941	3.20643e-19	3.77882
IL1RN	up	2	1.0	1.88792	1.46173e-13	3.77584
PIM2	up	2	1.0	1.88356	2.59704e-12	3.76712
RPS6KA6	down	2	1.0	-1.88307	9.32377e-14	3.76614
PAQR5	down	2	1.0	-1.88109	1.5614e-26	3.76217
SERPINB9	up	2	1.0	1.88086	9.32047e-21	3.76172
PDZK1IP1	up	2	1.0	1.88071	4.14239e-13	3.76142
RGS5	up	2	1.0	1.87848	2.06488e-16	3.75696
NCF2	up	2	1.0	1.87374	1.25538e-09	3.74749
SLC2A3	up	2	1.0	1.87366	6.52401e-19	3.74732
DPP10	down	2	1.0	-1.87138	3.4451e-11	3.74275
SLC6A20	up	2	1.0	1.87007	1.25594e-13	3.74015
GBP4	up	2	1.0	1.86974	9.9846e-13	3.73949
RUNDC3B	down	2	1.0	-1.86825	3.40696e-20	3.7365
OTOP2	down	2	1.0	-1.8632	1.19848e-09	3.72639
CTSK	up	2	1.0	1.8601	1.49571e-14	3.7202
CLDN1	up	2	1.0	1.85905	3.02349e-12	3.71809
CDHR1	down	2	1.0	-1.85856	8.23694e-07	3.71712
BEST4	down	2	1.0	-1.85794	3.1765e-08	3.71587
TUBAL3	down	2	1.0	-1.85597	4.17768e-18	3.71194
HSD17B2	down	2	1.0	-1.85007	1.20866e-16	3.70013
ENTPD5	down	2	1.0	-1.84954	1.4285500000000001e-28	3.69908
SLC22A5	down	2	1.0	-1.84865	2.69399e-13	3.6973
GZMK	up	2	1.0	1.84293	4.53738e-07	3.68586
TRHDE	down	2	1.0	-1.84081	6.37225e-10	3.68162
IL1A	up	2	1.0	1.84022	4.4416200000000006e-18	3.68045
IL7R	up	2	1.0	1.83271	1.08464e-10	3.66541
CR1	up	2	1.0	1.83205	9.99689e-15	3.66411
ITGAX	up	2	1.0	1.82979	1.5589e-12	3.65959
UGT1A3	down	2	1.0	-1.82974	4.77096e-17	3.65948
CHI3L2	up	2	1.0	1.82926	2.78856e-14	3.65852
CD177	down	2	1.0	-1.82766	3.67248e-18	3.65531
CXCR1	up	2	1.0	1.81801	5.72733e-22	3.63603
COL12A1	up	2	1.0	1.80623	3.5152e-15	3.61246
PCSK1	up	2	1.0	1.80498	1.01301e-08	3.60997
OLFM4	up	2	1.0	1.79906	0.00067711	3.59812
SLC35G1	down	2	1.0	-1.79675	6.75219e-13	3.5935
PIGZ	down	2	1.0	-1.78592	4.79032e-15	3.57185
SCIN	down	2	1.0	-1.78591	1.80977e-14	3.57182
MXRA5	up	2	1.0	1.7829	1.34078e-11	3.56581
ENTPD1	up	2	1.0	1.77931	1.51803e-10	3.55863
DSG3	up	2	1.0	1.77815	2.79905e-15	3.5563
PNLIPRP2	down	2	1.0	-1.77786	1.03518e-09	3.55572
VWF	up	2	1.0	1.77615	2.51415e-16	3.5523
FOS	up	2	1.0	1.77322	6.81815e-06	3.54644
TAGAP	up	2	1.0	1.77188	5.25531e-13	3.54375
WSCD1	down	2	1.0	-1.77104	5.67688e-16	3.54208
IL33	up	2	1.0	1.77082	4.76451e-08	3.54164
MNDA	up	2	1.0	1.76815	4.63489e-10	3.5363
ARNTL2	up	2	1.0	1.76724	2.84382e-15	3.53449
NNMT	up	2	1.0	1.76258	1.3022599999999999e-20	3.52516
SOCS3	up	2	1.0	1.76011	3.67487e-15	3.52021
S100P	up	2	1.0	1.75645	2.52148e-07	3.51291
FAP	up	2	1.0	1.75551	3.3917499999999997e-20	3.51102
ENPP1	down	2	1.0	-1.7539	3.58244e-12	3.5078
PTPRC	up	2	1.0	1.75361	2.80216e-11	3.50723
SLC7A5	up	2	1.0	1.75286	1.00986e-16	3.50573
TRIM22	up	2	1.0	1.75029	3.20282e-07	3.50058
MT1F	down	2	1.0	-1.7487	6.82172e-14	3.4974
THY1	up	2	1.0	1.74703	3.5026500000000004e-18	3.49406
PITX2	down	2	1.0	-1.74348	0.000144536	3.48696
MZB1	up	2	1.0	1.7407	1.65137e-10	3.4814
SELENBP1	down	2	1.0	-1.73833	2.4161100000000003e-24	3.47666
NXPE4	down	2	1.0	-1.73622	4.93913e-16	3.47244
VIPR1	down	2	1.0	-1.73271	1.22116e-22	3.46541
VLDLR	down	2	1.0	-1.73237	7.67191e-16	3.46474
CDKN2B	down	2	1.0	-1.73189	2.5347e-15	3.46377
THBS2	up	2	1.0	1.72777	1.29331e-14	3.45555
MGP	up	2	1.0	1.72635	3.34156e-08	3.45269
WDR78	down	2	1.0	-1.72594	3.90134e-11	3.45189
SLC23A1	down	2	1.0	-1.72435	1.47719e-12	3.44869
IGKC	up	2	1.0	1.72364	3.90763e-06	3.44729
COL4A1	up	2	1.0	1.72159	1.22873e-15	3.44318
RMDN2	down	2	1.0	-1.71989	5.18483e-11	3.43979
BIRC3	up	2	1.0	1.71747	1.75041e-14	3.43495
PCDH20	down	2	1.0	-1.71511	2.33069e-07	3.43021
CR2	up	2	1.0	1.7148	2.66042e-05	3.42959
CCL19	up	2	1.0	1.71453	7.05293e-06	3.42906
GXYLT2	down	2	1.0	-1.71453	5.38925e-09	3.42905
CNTN3	down	2	1.0	-1.71415	1.16969e-16	3.42829
LPCAT1	up	2	1.0	1.71315	2.16731e-12	3.42631
ST3GAL1	up	2	1.0	1.71202	7.63285e-10	3.42405
EDNRA	up	2	1.0	1.71088	2.15312e-10	3.42177
CKB	down	2	1.0	-1.71022	2.85354e-11	3.42045
IL24	up	2	1.0	1.70846	7.44396e-12	3.41691
DEFB1	down	2	1.0	-1.70804	5.04873e-11	3.41607
CYR61	up	2	1.0	1.70411	1.01433e-17	3.40823
ADAMTS1	up	2	1.0	1.70318	5.11995e-19	3.40637
IL6	up	2	1.0	1.68667	3.92711e-12	3.37333
CATSPERB	up	2	1.0	1.68384	2.9946e-08	3.36768
CLEC4E	up	2	1.0	1.68148	5.91062e-23	3.36297
TMEM37	down	2	1.0	-1.67692	3.12722e-08	3.35383
BGN	up	2	1.0	1.67602	3.8673800000000004e-18	3.35204
KCNJ15	up	2	1.0	1.67464	2.83833e-18	3.34928
JAK3	up	2	1.0	1.67417	1.60771e-10	3.34835
LOXL2	up	2	1.0	1.67408	3.96349e-17	3.34815
NAMPT	up	2	1.0	1.67339	3.01206e-14	3.34677
ACSL4	up	2	1.0	1.6658	3.91694e-11	3.33161
GPR183	up	2	1.0	1.66418	4.99064e-07	3.32836
NR1H4	down	2	1.0	-1.66197	1.94512e-09	3.32394
FMO5	down	2	1.0	-1.66067	2.2844e-10	3.32134
HAPLN3	up	2	1.0	1.66026	1.88199e-32	3.32051
PFKFB3	up	2	1.0	1.65992	2.83552e-23	3.31985
CYP4F2	down	2	1.0	-1.65939	2.51438e-06	3.31879
FRMD1	down	2	1.0	-1.65535	1.42727e-07	3.31071
RHOH	up	2	1.0	1.65426	1.61312e-09	3.30851
COL1A2	up	2	1.0	1.65179	5.90643e-16	3.30359
ANGPTL2	up	2	1.0	1.65152	6.85323e-13	3.30303
MME	up	2	1.0	1.64965	1.85767e-14	3.29929
SLFN11	up	2	1.0	1.64837	1.17211e-10	3.29675
PARP8	up	2	1.0	1.64814	1.28283e-08	3.29628
CD180	up	2	1.0	1.64749	1.51974e-07	3.29498
SPINK4	up	2	1.0	1.64661	3.49524e-06	3.29321
TMEM72	down	2	1.0	-1.64532	1.13195e-10	3.29064
DRAM1	up	2	1.0	1.6443	3.9105e-11	3.2886
PLA2G12B	down	2	1.0	-1.64366	6.0855e-06	3.28733
SLC39A5	down	2	1.0	-1.64079	9.200059999999999e-21	3.28159
CNNM2	down	2	1.0	-1.64042	3.59667e-11	3.28084
ADGRF5	up	2	1.0	1.64003	1.39013e-19	3.28007
SERPING1	up	2	1.0	1.63411	3.17972e-15	3.26823
IFI16	up	2	1.0	1.63044	5.34236e-10	3.26088
CHN1	up	2	1.0	1.62958	8.93908e-14	3.25916
OAS2	up	2	1.0	1.62923	9.21092e-09	3.25847
F2RL2	up	2	1.0	1.62919	4.52029e-10	3.25837
NR4A3	up	2	1.0	1.6252	2.07393e-16	3.2504
SLC16A1	down	2	1.0	-1.62407	9.56637e-27	3.24815
KLHL5	up	2	1.0	1.62017	1.4988e-18	3.24034
MS4A8	down	2	1.0	-1.61944	1.60947e-11	3.23887
FBN1	up	2	1.0	1.61672	3.77235e-11	3.23344
ALDH1A2	up	2	1.0	1.6166	3.40696e-20	3.23319
HLA-DOB	up	2	1.0	1.61614	1.53224e-09	3.23229
RGS1	up	2	1.0	1.61554	3.27493e-12	3.23108
C1S	up	2	1.0	1.61292	2.07037e-18	3.22584
SERPINB4	up	2	1.0	1.61234	1.95198e-15	3.22469
FCGR2A	up	2	1.0	1.61087	5.39308e-05	3.22174
NR4A2	up	2	1.0	1.60982	1.42578e-13	3.21964
FSTL1	up	2	1.0	1.60822	1.94472e-14	3.21644
C1R	up	2	1.0	1.60607	4.95941e-15	3.21214
HLA-DRA	up	2	1.0	1.60526	0.000418086	3.21052
RBPMS	up	2	1.0	1.60481	8.852e-11	3.20962
GJA1	up	2	1.0	1.6039	7.94534e-13	3.20781
EGR1	up	2	1.0	1.60346	4.10643e-07	3.20692
FMO4	down	2	1.0	-1.6033	1.15568e-11	3.20659
FADS1	up	2	1.0	1.60232	1.28713e-15	3.20464
CLU	up	2	1.0	1.60092	4.81007e-10	3.20183
LTF	up	2	1.0	1.60026	1.35756e-09	3.20051
CA7	down	2	1.0	-1.59585	3.64237e-08	3.1917
PLCD1	down	2	1.0	-1.59439	2.54937e-07	3.18878
ADGRL2	up	2	1.0	1.59401	1.90788e-07	3.18801
INHBA	up	2	1.0	1.59286	6.51936e-14	3.18573
SLC16A4	up	2	1.0	1.58699	7.23188e-13	3.17399
ROBO1	up	2	1.0	1.58548	1.41656e-08	3.17097
METTL7B	down	2	1.0	-1.58528	5.68654e-07	3.17056
AQP7	down	2	1.0	-1.58375	1.98457e-14	3.16749
G0S2	up	2	1.0	1.5823	2.90776e-10	3.16461
LRRC31	down	2	1.0	-1.58162	1.48535e-11	3.16324
SUGCT	down	2	1.0	-1.58072	9.7285e-09	3.16143
VCAM1	up	2	1.0	1.57881	1.30572e-14	3.15761
SNX10	up	2	1.0	1.57722	1.18147e-07	3.15445
WNT5A	up	2	1.0	1.57518	1.76346e-14	3.15037
PTPRR	down	2	1.0	-1.57373	4.12025e-09	3.14745
AIM2	up	2	1.0	1.57347	2.23042e-08	3.14694
DYSF	up	2	1.0	1.57134	1.2819399999999998e-20	3.14268
GNA15	up	2	1.0	1.57072	1.37198e-16	3.14145
ELOVL5	up	2	1.0	1.56914	6.68421e-06	3.13828
ADH6	down	2	1.0	-1.56763	1.21289e-12	3.13525
SLC23A3	down	2	1.0	-1.56725	7.8023e-09	3.13451
EFNA1	down	2	1.0	-1.56717	1.68196e-05	3.13434
CYTIP	up	2	1.0	1.56696	1.1228e-07	3.13393
SLC11A1	up	2	1.0	1.56655	2.3235e-17	3.13309
ZG16	down	2	1.0	-1.5661	1.2142e-14	3.13221
SLC25A34	down	2	1.0	-1.56533	2.79567e-11	3.13067
TMEM171	down	2	1.0	-1.56467	2.04374e-17	3.12934
ISX	down	2	1.0	-1.56381	9.94569e-12	3.12763
PPARG	down	2	1.0	-1.56222	1.74777e-12	3.12443
UGT2B17	down	2	1.0	-1.56185	2.73854e-11	3.12371
MT1G	down	2	1.0	-1.56174	1.18847e-13	3.12348
LRRK2	up	2	1.0	1.56162	1.33505e-12	3.12324
RHOU	down	2	1.0	-1.55983	3.43332e-16	3.11965
MIER3	down	2	1.0	-1.55842	1.21634e-12	3.11685
PITPNC1	up	2	1.0	1.55773	8.384e-10	3.11546
GUCY1B3	up	2	1.0	1.55476	1.85002e-14	3.10952
SLAMF6	up	2	1.0	1.55282	2.55708e-09	3.10565
RGS2	up	2	1.0	1.55083	1.59257e-10	3.10166
HGF	up	2	1.0	1.55009	2.45848e-12	3.10017
ACKR4	up	2	1.0	1.54785	1.91879e-08	3.09569
FGR	up	2	1.0	1.5472	9.34847e-12	3.0944
SDR16C5	up	2	1.0	1.54605	6.29188e-09	3.09211
CSF2RB	up	2	1.0	1.54551	7.56233e-09	3.09103
USP2	down	2	1.0	-1.54358	1.87799e-06	3.08715
SCUBE2	down	2	1.0	-1.54336	3.20879e-17	3.08672
HLA-DQB2	up	2	1.0	1.5392	0.00133504	3.0784
LRP8	up	2	1.0	1.53814	3.21918e-14	3.07627
ACOX1	down	2	1.0	-1.53791	1.36582e-12	3.07582
AREG	up	2	1.0	1.53389	8.1808e-10	3.06778
CA2	down	2	1.0	-1.52923	4.53098e-12	3.05846
EGFL6	up	2	1.0	1.52921	1.1305e-15	3.05842
COL15A1	up	2	1.0	1.52816	9.10104e-24	3.05633
ALDOB	up	2	1.0	1.52801	2.35356e-06	3.05602
RAVER2	down	2	1.0	-1.52701	1.01619e-20	3.05402
SAMD9L	up	2	1.0	1.5236	8.77801e-10	3.04719
CNGA1	down	2	1.0	-1.52346	3.07726e-09	3.04691
LILRB2	up	2	1.0	1.52151	2.23028e-18	3.04302
PDZD3	down	2	1.0	-1.52109	5.06089e-14	3.04219
PTGDR	down	2	1.0	-1.52002	8.82827e-14	3.04004
EVI2B	up	2	1.0	1.51957	0.000153162	3.03913
CD93	up	2	1.0	1.51491	5.81454e-15	3.02982
GZMB	up	2	1.0	1.5148	1.93283e-11	3.02961
PPP2R3A	down	2	1.0	-1.50998	2.24429e-12	3.01997
TRIB2	up	2	1.0	1.5095	2.7589399999999998e-21	3.01899
RGS4	up	2	1.0	1.50899	2.77254e-13	3.01797
SULT1A2	down	2	1.0	-1.50855	1.06857e-12	3.01709
CCL3L3	up	2	1.0	1.50849	1.21835e-12	3.01698
FAM30A	up	2	1.0	1.50809	5.099e-13	3.01619
RAB31	up	2	1.0	1.50587	2.54919e-09	3.01173
CARD6	up	2	1.0	1.50575	9.03643e-12	3.01149
A1CF	down	2	1.0	-1.50128	3.11668e-17	3.00257
SLC19A3	down	2	1.0	-1.50104	6.74853e-09	3.00209
CD38	up	2	1.0	1.49999	2.41227e-10	2.99999
ARHGAP44	down	2	1.0	-1.49579	2.14858e-13	2.99158
CLDN2	up	2	1.0	1.49563	6.008819999999999e-20	2.99125
TSPAN7	down	2	1.0	-1.49504	1.92879e-13	2.99008
CD22	up	2	1.0	1.49422	8.99503e-09	2.98843
SRGN	up	2	1.0	1.49072	3.35636e-08	2.98145
PLA1A	up	2	1.0	1.48887	7.31697e-16	2.97774
HEG1	up	2	1.0	1.48868	8.7715e-11	2.97736
SERPINE1	up	2	1.0	1.48771	2.35222e-10	2.97541
FAM49A	up	2	1.0	1.48752	1.03719e-16	2.97505
NAALADL1	down	2	1.0	-1.48642	2.91038e-06	2.97283
TFF1	up	2	1.0	1.48606	1.88848e-05	2.97213
KLK6	up	2	1.0	1.48548	4.43996e-13	2.97095
GUCY1A3	up	2	1.0	1.48493	2.40175e-12	2.96986
PCOLCE	up	2	1.0	1.48491	2.61453e-12	2.96983
PP7080	down	2	1.0	-1.48406	3.82045e-07	2.96811
CTSE	up	2	1.0	1.48218	4.27108e-07	2.96436
EPHX2	down	2	1.0	-1.47653	7.13172e-30	2.95305
SLC4A4	down	2	1.0	-1.47606	8.54349e-22	2.95211
DUSP4	up	2	1.0	1.47521	1.75169e-22	2.95043
HLA-DMA	up	2	1.0	1.47508	3.8224e-07	2.95016
OLFM1	up	2	1.0	1.47423	2.86084e-19	2.94846
CCDC3	up	2	1.0	1.4736	1.8419e-12	2.9472
FAIM2	up	2	1.0	1.473	1.51059e-13	2.94599
GEM	up	2	1.0	1.47148	1.48625e-11	2.94296
ELK3	up	2	1.0	1.46908	1.2177e-16	2.93815
PLA2G2A	up	2	1.0	1.4655	2.73497e-05	2.931
CLCA1	down	2	1.0	-1.46547	2.5135e-07	2.93095
HLA-DRB5	up	2	1.0	1.46291	2.93414e-06	2.92581
HAVCR1	down	2	1.0	-1.46252	1.17033e-06	2.92503
CDC14A	down	2	1.0	-1.46122	4.21532e-10	2.92244
LDHD	down	2	1.0	-1.45973	3.77956e-14	2.91945
CHST11	up	2	1.0	1.45914	6.00977e-13	2.91829
TRIM29	up	2	1.0	1.45808	3.16284e-23	2.91616
FAM65B	up	2	1.0	1.45796	2.87293e-07	2.91591
SATB2	down	2	1.0	-1.45778	1.5650099999999999e-21	2.91557
EDN3	down	2	1.0	-1.45753	2.20148e-16	2.91506
MSN	up	2	1.0	1.45535	7.28463e-14	2.9107
EPB41L4B	down	2	1.0	-1.45137	1.31601e-22	2.90273
CYYR1	up	2	1.0	1.45107	6.099610000000001e-18	2.90213
SLC26A3	down	2	1.0	-1.44915	3.33089e-14	2.89831
