accession	gsm	group	celltype	fraction_proxy	nnls_residual	n_common_marker_genes
GSE75214	GSM1426125	case	T	0.253744	1.13753	42
GSE75214	GSM1426125	case	B	0.330587	1.13753	42
GSE75214	GSM1426125	case	NK	0.131458	1.13753	42
GSE75214	GSM1426125	case	M/DC	0.284212	1.13753	42
GSE75214	GSM1426126	case	T	0.161667	1.35477	42
GSE75214	GSM1426126	case	B	0.147339	1.35477	42
GSE75214	GSM1426126	case	NK	0.194909	1.35477	42
GSE75214	GSM1426126	case	M/DC	0.496085	1.35477	42
GSE75214	GSM1426127	case	T	0.220545	1.26624	42
GSE75214	GSM1426127	case	B	0.470685	1.26624	42
GSE75214	GSM1426127	case	NK	0.0860935	1.26624	42
GSE75214	GSM1426127	case	M/DC	0.222676	1.26624	42
GSE75214	GSM1426128	case	T	0.287464	1.0341	42
GSE75214	GSM1426128	case	B	0.355072	1.0341	42
GSE75214	GSM1426128	case	NK	0.0686586	1.0341	42
GSE75214	GSM1426128	case	M/DC	0.288805	1.0341	42
GSE75214	GSM1426129	case	T	0.24569	1.32835	42
GSE75214	GSM1426129	case	B	0.14748	1.32835	42
GSE75214	GSM1426129	case	NK	0.199127	1.32835	42
GSE75214	GSM1426129	case	M/DC	0.407702	1.32835	42
GSE75214	GSM1426130	case	T	0.123278	1.23626	42
GSE75214	GSM1426130	case	B	0.255342	1.23626	42
GSE75214	GSM1426130	case	NK	0.247083	1.23626	42
GSE75214	GSM1426130	case	M/DC	0.374297	1.23626	42
GSE75214	GSM1426131	case	T	0.334629	1.24036	42
GSE75214	GSM1426131	case	B	0.370929	1.24036	42
GSE75214	GSM1426131	case	NK	0.0205468	1.24036	42
GSE75214	GSM1426131	case	M/DC	0.273896	1.24036	42
GSE75214	GSM1426132	case	T	0.252493	1.21277	42
GSE75214	GSM1426132	case	B	0.313167	1.21277	42
GSE75214	GSM1426132	case	NK	0.150028	1.21277	42
GSE75214	GSM1426132	case	M/DC	0.284312	1.21277	42
GSE75214	GSM1426133	case	T	0.303286	1.43722	42
GSE75214	GSM1426133	case	B	0.225894	1.43722	42
GSE75214	GSM1426133	case	NK	0.127841	1.43722	42
GSE75214	GSM1426133	case	M/DC	0.342979	1.43722	42
GSE75214	GSM1426134	case	T	0.240245	1.23398	42
GSE75214	GSM1426134	case	B	0.220549	1.23398	42
GSE75214	GSM1426134	case	NK	0.190089	1.23398	42
GSE75214	GSM1426134	case	M/DC	0.349117	1.23398	42
GSE75214	GSM1426135	case	T	0.306726	1.13551	42
GSE75214	GSM1426135	case	B	0.287806	1.13551	42
GSE75214	GSM1426135	case	NK	0.0771929	1.13551	42
GSE75214	GSM1426135	case	M/DC	0.328275	1.13551	42
GSE75214	GSM1426136	case	T	0.299053	1.23833	42
GSE75214	GSM1426136	case	B	0.239613	1.23833	42
GSE75214	GSM1426136	case	NK	0.224442	1.23833	42
GSE75214	GSM1426136	case	M/DC	0.236892	1.23833	42
GSE75214	GSM1426137	case	T	0.226953	1.18951	42
GSE75214	GSM1426137	case	B	0.277913	1.18951	42
GSE75214	GSM1426137	case	NK	0.0843469	1.18951	42
GSE75214	GSM1426137	case	M/DC	0.410787	1.18951	42
GSE75214	GSM1426138	case	T	0.251561	1.39483	42
GSE75214	GSM1426138	case	B	0.284025	1.39483	42
GSE75214	GSM1426138	case	NK	0.0711104	1.39483	42
GSE75214	GSM1426138	case	M/DC	0.393304	1.39483	42
GSE75214	GSM1426139	case	T	0.172152	1.17872	42
GSE75214	GSM1426139	case	B	0.330807	1.17872	42
GSE75214	GSM1426139	case	NK	0.1283	1.17872	42
GSE75214	GSM1426139	case	M/DC	0.368741	1.17872	42
GSE75214	GSM1426140	case	T	0.271767	1.1461	42
GSE75214	GSM1426140	case	B	0.439122	1.1461	42
GSE75214	GSM1426140	case	NK	0.0314789	1.1461	42
GSE75214	GSM1426140	case	M/DC	0.257632	1.1461	42
GSE75214	GSM1426141	case	T	0.319219	1.30645	42
GSE75214	GSM1426141	case	B	0.135468	1.30645	42
GSE75214	GSM1426141	case	NK	0.20364	1.30645	42
GSE75214	GSM1426141	case	M/DC	0.341673	1.30645	42
GSE75214	GSM1426142	case	T	0.156018	1.3718	42
GSE75214	GSM1426142	case	B	0.295332	1.3718	42
GSE75214	GSM1426142	case	NK	0.167571	1.3718	42
GSE75214	GSM1426142	case	M/DC	0.381079	1.3718	42
GSE75214	GSM1426143	case	T	0.210842	1.31387	42
GSE75214	GSM1426143	case	B	0.234107	1.31387	42
GSE75214	GSM1426143	case	NK	0.373294	1.31387	42
GSE75214	GSM1426143	case	M/DC	0.181757	1.31387	42
GSE75214	GSM1426144	case	T	0.338506	1.15375	42
GSE75214	GSM1426144	case	B	0.396058	1.15375	42
GSE75214	GSM1426144	case	NK	0.0687037	1.15375	42
GSE75214	GSM1426144	case	M/DC	0.196732	1.15375	42
GSE75214	GSM1426145	case	T	0.261862	1.49913	42
GSE75214	GSM1426145	case	B	0.224928	1.49913	42
GSE75214	GSM1426145	case	NK	0.187232	1.49913	42
GSE75214	GSM1426145	case	M/DC	0.325978	1.49913	42
GSE75214	GSM1426146	case	T	0.215082	1.21433	42
GSE75214	GSM1426146	case	B	0.377693	1.21433	42
GSE75214	GSM1426146	case	NK	0.120382	1.21433	42
GSE75214	GSM1426146	case	M/DC	0.286842	1.21433	42
GSE75214	GSM1426147	case	T	0.229954	1.40281	42
GSE75214	GSM1426147	case	B	0.302235	1.40281	42
GSE75214	GSM1426147	case	NK	0.0636952	1.40281	42
GSE75214	GSM1426147	case	M/DC	0.404116	1.40281	42
GSE75214	GSM1426148	case	T	0.414998	1.33669	42
GSE75214	GSM1426148	case	B	0.100227	1.33669	42
GSE75214	GSM1426148	case	NK	0.28832	1.33669	42
GSE75214	GSM1426148	case	M/DC	0.196455	1.33669	42
GSE75214	GSM1426149	case	T	0.252313	1.17142	42
GSE75214	GSM1426149	case	B	0.257954	1.17142	42
GSE75214	GSM1426149	case	NK	0.102307	1.17142	42
GSE75214	GSM1426149	case	M/DC	0.387426	1.17142	42
GSE75214	GSM1426150	case	T	0.310315	1.33199	42
GSE75214	GSM1426150	case	B	0.420127	1.33199	42
GSE75214	GSM1426150	case	NK	0.0228652	1.33199	42
GSE75214	GSM1426150	case	M/DC	0.246694	1.33199	42
GSE75214	GSM1426151	case	T	0.362627	1.16131	42
GSE75214	GSM1426151	case	B	0.3762	1.16131	42
GSE75214	GSM1426151	case	NK	0.0515724	1.16131	42
GSE75214	GSM1426151	case	M/DC	0.209601	1.16131	42
GSE75214	GSM1426152	case	T	0.350996	1.21439	42
GSE75214	GSM1426152	case	B	0.367207	1.21439	42
GSE75214	GSM1426152	case	NK	0.0701637	1.21439	42
GSE75214	GSM1426152	case	M/DC	0.211633	1.21439	42
GSE75214	GSM1426153	case	T	0.324354	1.33252	42
GSE75214	GSM1426153	case	B	0.162316	1.33252	42
GSE75214	GSM1426153	case	NK	0.154365	1.33252	42
GSE75214	GSM1426153	case	M/DC	0.358964	1.33252	42
GSE75214	GSM1426154	case	T	0.303051	1.18425	42
GSE75214	GSM1426154	case	B	0.372387	1.18425	42
GSE75214	GSM1426154	case	NK	0.0584742	1.18425	42
GSE75214	GSM1426154	case	M/DC	0.266088	1.18425	42
GSE75214	GSM1426155	case	T	0.2505	1.18057	42
GSE75214	GSM1426155	case	B	0.164226	1.18057	42
GSE75214	GSM1426155	case	NK	0.230196	1.18057	42
GSE75214	GSM1426155	case	M/DC	0.355078	1.18057	42
GSE75214	GSM1426156	case	T	0.192088	1.01713	42
GSE75214	GSM1426156	case	B	0.127998	1.01713	42
GSE75214	GSM1426156	case	NK	0.148017	1.01713	42
GSE75214	GSM1426156	case	M/DC	0.531897	1.01713	42
GSE75214	GSM1426157	case	T	0.180137	1.14696	42
GSE75214	GSM1426157	case	B	0.339861	1.14696	42
GSE75214	GSM1426157	case	NK	0.0301696	1.14696	42
GSE75214	GSM1426157	case	M/DC	0.449833	1.14696	42
GSE75214	GSM1426158	case	T	0.215732	1.47222	42
GSE75214	GSM1426158	case	B	0.151619	1.47222	42
GSE75214	GSM1426158	case	NK	0.197721	1.47222	42
GSE75214	GSM1426158	case	M/DC	0.434928	1.47222	42
GSE75214	GSM1426159	case	T	0.314079	1.17521	42
GSE75214	GSM1426159	case	B	0.359779	1.17521	42
GSE75214	GSM1426159	case	NK	0.0728098	1.17521	42
GSE75214	GSM1426159	case	M/DC	0.253332	1.17521	42
GSE75214	GSM1426160	case	T	0.307361	1.16108	42
GSE75214	GSM1426160	case	B	0.286264	1.16108	42
GSE75214	GSM1426160	case	NK	0.0152282	1.16108	42
GSE75214	GSM1426160	case	M/DC	0.391147	1.16108	42
GSE75214	GSM1426161	case	T	0.346354	1.32137	42
GSE75214	GSM1426161	case	B	0.172834	1.32137	42
GSE75214	GSM1426161	case	NK	0.181274	1.32137	42
GSE75214	GSM1426161	case	M/DC	0.299538	1.32137	42
GSE75214	GSM1426162	case	T	0.200425	1.43565	42
GSE75214	GSM1426162	case	B	0.304787	1.43565	42
GSE75214	GSM1426162	case	NK	0.118491	1.43565	42
GSE75214	GSM1426162	case	M/DC	0.376297	1.43565	42
GSE75214	GSM1426163	case	T	0.29786	1.29662	42
GSE75214	GSM1426163	case	B	0.276766	1.29662	42
GSE75214	GSM1426163	case	NK	0.106926	1.29662	42
GSE75214	GSM1426163	case	M/DC	0.318448	1.29662	42
GSE59071	GSM1426079	control	T	0.284015	0.970924	42
GSE59071	GSM1426079	control	B	0.267172	0.970924	42
GSE59071	GSM1426079	control	NK	0.321263	0.970924	42
GSE59071	GSM1426079	control	M/DC	0.12755	0.970924	42
GSE59071	GSM1426080	control	T	0.266456	1.15821	42
GSE59071	GSM1426080	control	B	0.343434	1.15821	42
GSE59071	GSM1426080	control	NK	0.218146	1.15821	42
GSE59071	GSM1426080	control	M/DC	0.171965	1.15821	42
GSE59071	GSM1426081	control	T	0.104792	1.20804	42
GSE59071	GSM1426081	control	B	0.227218	1.20804	42
GSE59071	GSM1426081	control	NK	0.66799	1.20804	42
GSE59071	GSM1426081	control	M/DC	0	1.20804	42
GSE59071	GSM1426082	control	T	0.247454	1.29198	42
GSE59071	GSM1426082	control	B	0.153042	1.29198	42
GSE59071	GSM1426082	control	NK	0.599504	1.29198	42
GSE59071	GSM1426082	control	M/DC	0	1.29198	42
GSE59071	GSM1426083	control	T	0.336987	1.02891	42
GSE59071	GSM1426083	control	B	0.174755	1.02891	42
GSE59071	GSM1426083	control	NK	0.434394	1.02891	42
GSE59071	GSM1426083	control	M/DC	0.0538644	1.02891	42
GSE59071	GSM1426084	control	T	0.41668	1.03655	42
GSE59071	GSM1426084	control	B	0.103721	1.03655	42
GSE59071	GSM1426084	control	NK	0.453649	1.03655	42
GSE59071	GSM1426084	control	M/DC	0.0259503	1.03655	42
GSE59071	GSM1426085	control	T	0.276743	1.1447	42
GSE59071	GSM1426085	control	B	0.201704	1.1447	42
GSE59071	GSM1426085	control	NK	0.133077	1.1447	42
GSE59071	GSM1426085	control	M/DC	0.388475	1.1447	42
GSE59071	GSM1426086	control	T	0.375744	1.25865	42
GSE59071	GSM1426086	control	B	0.114809	1.25865	42
GSE59071	GSM1426086	control	NK	0.154581	1.25865	42
GSE59071	GSM1426086	control	M/DC	0.354866	1.25865	42
GSE59071	GSM1426087	control	T	0.3031	1.64066	42
GSE59071	GSM1426087	control	B	0.251184	1.64066	42
GSE59071	GSM1426087	control	NK	0.172315	1.64066	42
GSE59071	GSM1426087	control	M/DC	0.273401	1.64066	42
GSE59071	GSM1426088	control	T	0.208504	1.33269	42
GSE59071	GSM1426088	control	B	0.382491	1.33269	42
GSE59071	GSM1426088	control	NK	0.178169	1.33269	42
GSE59071	GSM1426088	control	M/DC	0.230836	1.33269	42
GSE59071	GSM1426089	control	T	0.254277	1.28902	42
GSE59071	GSM1426089	control	B	0.146033	1.28902	42
GSE59071	GSM1426089	control	NK	0.204739	1.28902	42
GSE59071	GSM1426089	control	M/DC	0.39495	1.28902	42
GSE59071	GSM1426090	case	T	0.286795	1.13253	42
GSE59071	GSM1426090	case	B	0.267964	1.13253	42
GSE59071	GSM1426090	case	NK	0.15471	1.13253	42
GSE59071	GSM1426090	case	M/DC	0.290531	1.13253	42
GSE59071	GSM1426091	case	T	0.26228	0.932619	42
GSE59071	GSM1426091	case	B	0.236456	0.932619	42
GSE59071	GSM1426091	case	NK	0.199532	0.932619	42
GSE59071	GSM1426091	case	M/DC	0.301733	0.932619	42
GSE59071	GSM1426092	case	T	0.269176	0.958344	42
GSE59071	GSM1426092	case	B	0.303155	0.958344	42
GSE59071	GSM1426092	case	NK	0.13196	0.958344	42
GSE59071	GSM1426092	case	M/DC	0.295708	0.958344	42
GSE59071	GSM1426093	case	T	0.309347	1.21341	42
GSE59071	GSM1426093	case	B	0.268524	1.21341	42
GSE59071	GSM1426093	case	NK	0.0840257	1.21341	42
GSE59071	GSM1426093	case	M/DC	0.338102	1.21341	42
GSE59071	GSM1426094	case	T	0.2335	1.2988	42
GSE59071	GSM1426094	case	B	0.219137	1.2988	42
GSE59071	GSM1426094	case	NK	0.220173	1.2988	42
GSE59071	GSM1426094	case	M/DC	0.327191	1.2988	42
GSE59071	GSM1426095	case	T	0.253073	1.47828	42
GSE59071	GSM1426095	case	B	0.255751	1.47828	42
GSE59071	GSM1426095	case	NK	0.233908	1.47828	42
GSE59071	GSM1426095	case	M/DC	0.257268	1.47828	42
GSE59071	GSM1426096	case	T	0.22281	1.21859	42
GSE59071	GSM1426096	case	B	0.141855	1.21859	42
GSE59071	GSM1426096	case	NK	0.234201	1.21859	42
GSE59071	GSM1426096	case	M/DC	0.401135	1.21859	42
GSE59071	GSM1426097	case	T	0.279673	1.04571	42
GSE59071	GSM1426097	case	B	0.376822	1.04571	42
GSE59071	GSM1426097	case	NK	0.0172105	1.04571	42
GSE59071	GSM1426097	case	M/DC	0.326295	1.04571	42
GSE59071	GSM1426098	case	T	0.227935	1.22863	42
GSE59071	GSM1426098	case	B	0.179662	1.22863	42
GSE59071	GSM1426098	case	NK	0.133079	1.22863	42
GSE59071	GSM1426098	case	M/DC	0.459324	1.22863	42
GSE59071	GSM1426099	case	T	0.218849	1.40086	42
GSE59071	GSM1426099	case	B	0.281735	1.40086	42
GSE59071	GSM1426099	case	NK	0.166834	1.40086	42
GSE59071	GSM1426099	case	M/DC	0.332581	1.40086	42
GSE59071	GSM1426100	case	T	0.320014	1.39103	42
GSE59071	GSM1426100	case	B	0.320492	1.39103	42
GSE59071	GSM1426100	case	NK	0.141143	1.39103	42
GSE59071	GSM1426100	case	M/DC	0.218351	1.39103	42
GSE59071	GSM1426101	case	T	0.24013	1.36185	42
GSE59071	GSM1426101	case	B	0.249984	1.36185	42
GSE59071	GSM1426101	case	NK	0.0941472	1.36185	42
GSE59071	GSM1426101	case	M/DC	0.415739	1.36185	42
GSE59071	GSM1426102	case	T	0.395721	1.08231	42
GSE59071	GSM1426102	case	B	0.317524	1.08231	42
GSE59071	GSM1426102	case	NK	0	1.08231	42
GSE59071	GSM1426102	case	M/DC	0.286754	1.08231	42
GSE59071	GSM1426103	case	T	0.240261	1.03753	42
GSE59071	GSM1426103	case	B	0.427216	1.03753	42
GSE59071	GSM1426103	case	NK	0	1.03753	42
GSE59071	GSM1426103	case	M/DC	0.332523	1.03753	42
GSE59071	GSM1426104	case	T	0.20238	1.06841	42
GSE59071	GSM1426104	case	B	0.324776	1.06841	42
GSE59071	GSM1426104	case	NK	0.0874303	1.06841	42
GSE59071	GSM1426104	case	M/DC	0.385413	1.06841	42
GSE59071	GSM1426105	case	T	0.233851	1.24616	42
GSE59071	GSM1426105	case	B	0.344078	1.24616	42
GSE59071	GSM1426105	case	NK	0.0538958	1.24616	42
GSE59071	GSM1426105	case	M/DC	0.368175	1.24616	42
GSE59071	GSM1426106	case	T	0.269575	1.1108	42
GSE59071	GSM1426106	case	B	0.273626	1.1108	42
GSE59071	GSM1426106	case	NK	0.0528238	1.1108	42
GSE59071	GSM1426106	case	M/DC	0.403975	1.1108	42
GSE59071	GSM1426107	case	T	0.254605	1.00759	42
GSE59071	GSM1426107	case	B	0.454262	1.00759	42
GSE59071	GSM1426107	case	NK	0.0127009	1.00759	42
GSE59071	GSM1426107	case	M/DC	0.278432	1.00759	42
GSE59071	GSM1426108	case	T	0.197231	1.24046	42
GSE59071	GSM1426108	case	B	0.198778	1.24046	42
GSE59071	GSM1426108	case	NK	0.150556	1.24046	42
GSE59071	GSM1426108	case	M/DC	0.453436	1.24046	42
GSE59071	GSM1426109	case	T	0.300811	1.10432	42
GSE59071	GSM1426109	case	B	0.362861	1.10432	42
GSE59071	GSM1426109	case	NK	0.0450732	1.10432	42
