disease_id	disease_name	target_ensembl_id	gene_symbol	target_approved_name	overall_score	genetic_association_score	clinical_score	literature_score	rna_expression_score	animal_model_score	genetic_literature_score	somatic_mutation_score	known_drug_score	affected_pathway_score	candidate_ingredients	is_curcumin_target	curcumin_evidence_tier	all_datatype_scores	all_datasource_scores
MONDO_0005011	Crohn disease	ENSG00000118260	CREB1	cAMP responsive element binding protein 1	0.00967848	0	0	0.0796018	0	0	0	0	0	0	Alpinetin	no		literature:0.0796018	europepmc:0.0796018
MONDO_0005265	inflammatory bowel disease	ENSG00000118260	CREB1	cAMP responsive element binding protein 1	0.227261	0.338563	0	0.705288	0	0	0	0	0	0	Alpinetin	no		genetic_association:0.338563;literature:0.705288	europepmc:0.705288;gwas_credible_sets:0.338563
MONDO_0005101	ulcerative colitis	ENSG00000118260	CREB1	cAMP responsive element binding protein 1	0.209813	0.338563	0	0.12739	0.0087698	0	0	0	0	0	Alpinetin	no		genetic_association:0.338563;literature:0.12739;rna_expression:0.0087698	europepmc:0.12739;expression_atlas:0.0087698;gwas_credible_sets:0.338563
MONDO_0005011	Crohn disease	ENSG00000168036	CTNNB1	catenin beta 1	0.00580302	0	0	0.0477276	0	0	0	0	0	0	Archin	no		literature:0.0477276	europepmc:0.0477276
MONDO_0005265	inflammatory bowel disease	ENSG00000168036	CTNNB1	catenin beta 1	0.207836	0.0841916	0	0.153194	0	0.532803	0	0.303965	0	0	Archin	no		animal_model:0.532803;genetic_association:0.0841916;literature:0.153194;somatic_mutation:0.303965	cancer_gene_census:0.303965;europepmc:0.153194;gwas_credible_sets:0.0841916;impc:0.532803
MONDO_0005101	ulcerative colitis	ENSG00000168036	CTNNB1	catenin beta 1	0.199093	0.0841916	0	0.111609	0	0	0	0.303965	0	0	Archin	no		genetic_association:0.0841916;literature:0.111609;somatic_mutation:0.303965	cancer_gene_census:0.303965;europepmc:0.111609;gwas_credible_sets:0.0841916
MONDO_0005011	Crohn disease	ENSG00000169245	CXCL10	C-X-C motif chemokine ligand 10	0.103517	0	0.151983	0.254925	0.24972	0	0	0	0	0	Cis-resveratrol	no		clinical:0.151983;literature:0.254925;rna_expression:0.24972	clinical_precedence:0.151983;europepmc:0.254925;expression_atlas:0.24972
MONDO_0005265	inflammatory bowel disease	ENSG00000169245	CXCL10	C-X-C motif chemokine ligand 10	0.123516	0	0.175523	0.528452	0.0553003	0	0	0	0	0	Cis-resveratrol	no		clinical:0.175523;literature:0.528452;rna_expression:0.0553003	clinical_precedence:0.175523;europepmc:0.528452;expression_atlas:0.0553003
MONDO_0005101	ulcerative colitis	ENSG00000169245	CXCL10	C-X-C motif chemokine ligand 10	0.10613	0	0.158737	0.11712	0.264721	0	0	0	0	0	Cis-resveratrol	no		clinical:0.158737;literature:0.11712;rna_expression:0.264721	clinical_precedence:0.158737;europepmc:0.11712;expression_atlas:0.264721
MONDO_0005011	Crohn disease	ENSG00000163735	CXCL5	C-X-C motif chemokine ligand 5	0.0590059	0	0	0.0505516	0.472663	0	0	0	0	0	Archin	no		literature:0.0505516;rna_expression:0.472663	europepmc:0.0505516;expression_atlas:0.472663
MONDO_0005265	inflammatory bowel disease	ENSG00000163735	CXCL5	C-X-C motif chemokine ligand 5	0.0468018	0	0	0.348169	0.147034	0	0	0	0	0	Archin	no		literature:0.348169;rna_expression:0.147034	europepmc:0.348169;expression_atlas:0.147034
MONDO_0005101	ulcerative colitis	ENSG00000163735	CXCL5	C-X-C motif chemokine ligand 5	0.0616943	0	0	0.128908	0.475185	0	0	0	0	0	Archin	no		literature:0.128908;rna_expression:0.475185	europepmc:0.128908;expression_atlas:0.475185
MONDO_0005011	Crohn disease	ENSG00000110887	DAO	D-amino acid oxidase	0.0171982	0	0	0.115632	0.103268	0	0	0	0	0	Matrine	no		literature:0.115632;rna_expression:0.103268	europepmc:0.115632;expression_atlas:0.103268
MONDO_0005265	inflammatory bowel disease	ENSG00000110887	DAO	D-amino acid oxidase	0.0311175	0	0	0.25593	0	0	0	0	0	0	Matrine	no		literature:0.25593	europepmc:0.25593
MONDO_0005101	ulcerative colitis	ENSG00000110887	DAO	D-amino acid oxidase	0.0284072	0	0	0.0386087	0.223986	0	0	0	0	0	Matrine	no		literature:0.0386087;rna_expression:0.223986	europepmc:0.0386087;expression_atlas:0.223986
MONDO_0005011	Crohn disease	ENSG00000130816	DNMT1	DNA methyltransferase 1	0.00977847	0	0	0.0804242	0	0	0	0	0	0	Alpinetin	no		literature:0.0804242	europepmc:0.0804242
MONDO_0005265	inflammatory bowel disease	ENSG00000130816	DNMT1	DNA methyltransferase 1	0.0365213	0	0	0.300374	0	0	0	0	0	0	Alpinetin	no		literature:0.300374	europepmc:0.300374
MONDO_0005101	ulcerative colitis	ENSG00000130816	DNMT1	DNA methyltransferase 1	0.0144234	0	0	0.118627	0	0	0	0	0	0	Alpinetin	no		literature:0.118627	europepmc:0.118627
MONDO_0005011	Crohn disease	ENSG00000126262	FFAR2	free fatty acid receptor 2	0.0474484	0	0	0.307708	0.313318	0	0	0	0	0	Taxifolin	no		literature:0.307708;rna_expression:0.313318	europepmc:0.307708;expression_atlas:0.313318
MONDO_0005265	inflammatory bowel disease	ENSG00000126262	FFAR2	free fatty acid receptor 2	0.105004	0	0.121586	0.649975	0.0150204	0.546491	0	0	0	0	Taxifolin	no		animal_model:0.546491;clinical:0.121586;literature:0.649975;rna_expression:0.0150204	clinical_precedence:0.121586;europepmc:0.649975;expression_atlas:0.0150204;impc:0.546491
MONDO_0005101	ulcerative colitis	ENSG00000126262	FFAR2	free fatty acid receptor 2	0.0821329	0	0.121586	0.089287	0.23064	0	0	0	0	0	Taxifolin	no		clinical:0.121586;literature:0.089287;rna_expression:0.23064	clinical_precedence:0.121586;europepmc:0.089287;expression_atlas:0.23064
MONDO_0005011	Crohn disease	ENSG00000185897	FFAR3	free fatty acid receptor 3	0.0210563	0	0	0.0182379	0.16862	0	0	0	0	0	Taxifolin	no		literature:0.0182379;rna_expression:0.16862	europepmc:0.0182379;expression_atlas:0.16862
MONDO_0005265	inflammatory bowel disease	ENSG00000185897	FFAR3	free fatty acid receptor 3	0.0438035	0	0	0.294945	0	0.261289	0	0	0	0	Taxifolin	no		animal_model:0.261289;literature:0.294945	europepmc:0.294945;impc:0.261289
MONDO_0005101	ulcerative colitis	ENSG00000185897	FFAR3	free fatty acid receptor 3	0.0109222	0	0	0.0755911	0.0569603	0	0	0	0	0	Taxifolin	no		literature:0.0755911;rna_expression:0.0569603	europepmc:0.0755911;expression_atlas:0.0569603
MONDO_0005011	Crohn disease	ENSG00000138685	FGF2	fibroblast growth factor 2	0.0376505	0	0	0.307496	0.00866032	0	0	0	0	0	Quercetin	no		literature:0.307496;rna_expression:0.00866032	europepmc:0.307496;expression_atlas:0.00866032
MONDO_0005265	inflammatory bowel disease	ENSG00000138685	FGF2	fibroblast growth factor 2	0.0400615	0	0	0.329491	0	0	0	0	0	0	Quercetin	no		literature:0.329491	europepmc:0.329491
MONDO_0005101	ulcerative colitis	ENSG00000138685	FGF2	fibroblast growth factor 2	0.0197363	0	0	0.1535	0.0352942	0	0	0	0	0	Quercetin	no		literature:0.1535;rna_expression:0.0352942	europepmc:0.1535;expression_atlas:0.0352942
MONDO_0005011	Crohn disease	ENSG00000049768	FOXP3	forkhead box P3	0.0429886	0	0	0.344863	0.0348093	0	0	0	0	0	Geniposide	no		literature:0.344863;rna_expression:0.0348093	europepmc:0.344863;expression_atlas:0.0348093
MONDO_0005265	inflammatory bowel disease	ENSG00000049768	FOXP3	forkhead box P3	0.135836	0	0	0.941981	0	0.70088	0	0	0	0	Geniposide	no		animal_model:0.70088;literature:0.941981	europepmc:0.941981;impc:0.70088
MONDO_0005101	ulcerative colitis	ENSG00000049768	FOXP3	forkhead box P3	0.0226183	0	0	0.171765	0.0570481	0	0	0	0	0	Geniposide	no		literature:0.171765;rna_expression:0.0570481	europepmc:0.171765;expression_atlas:0.0570481
MONDO_0005265	inflammatory bowel disease	ENSG00000154727	GABPA	GA binding protein transcription factor subunit alpha	0.00517412	0	0	0.0425552	0	0	0	0	0	0	Asperuloside	no		literature:0.0425552	europepmc:0.0425552
MONDO_0005101	ulcerative colitis	ENSG00000154727	GABPA	GA binding protein transcription factor subunit alpha	0.00295664	0	0	0.0243172	0	0	0	0	0	0	Asperuloside	no		literature:0.0243172	europepmc:0.0243172
MONDO_0005011	Crohn disease	ENSG00000100644	HIF1A	hypoxia inducible factor 1 subunit alpha	0.0138779	0	0	0.0972107	0.0677176	0	0	0	0	0	Wogonin	no		literature:0.0972107;rna_expression:0.0677176	europepmc:0.0972107;expression_atlas:0.0677176
MONDO_0005265	inflammatory bowel disease	ENSG00000100644	HIF1A	hypoxia inducible factor 1 subunit alpha	0.0922425	0	0	0.758659	0	0	0	0	0	0	Wogonin	no		literature:0.758659	europepmc:0.758659
MONDO_0005101	ulcerative colitis	ENSG00000100644	HIF1A	hypoxia inducible factor 1 subunit alpha	0.04173	0	0	0.311244	0.127878	0	0	0	0	0	Wogonin	no		literature:0.311244;rna_expression:0.127878	europepmc:0.311244;expression_atlas:0.127878
MONDO_0005011	Crohn disease	ENSG00000100292	HMOX1	heme oxygenase 1	0.00996164	0	0	0.0777289	0.0168071	0	0	0	0	0	Asperuloside	no		literature:0.0777289;rna_expression:0.0168071	europepmc:0.0777289;expression_atlas:0.0168071
MONDO_0005265	inflammatory bowel disease	ENSG00000100292	HMOX1	heme oxygenase 1	0.0856896	0	0	0.704764	0	0	0	0	0	0	Asperuloside	no		literature:0.704764	europepmc:0.704764
MONDO_0005101	ulcerative colitis	ENSG00000100292	HMOX1	heme oxygenase 1	0.0247071	0	0	0.203206	0	0	0	0	0	0	Asperuloside	no		literature:0.203206	europepmc:0.203206
MONDO_0005011	Crohn disease	ENSG00000257017	HP	haptoglobin	0.0402095	0	0	0.318698	0.04804	0	0	0	0	0	Archin	no		literature:0.318698;rna_expression:0.04804	europepmc:0.318698;expression_atlas:0.04804
MONDO_0005265	inflammatory bowel disease	ENSG00000257017	HP	haptoglobin	0.0761448	0	0	0.626262	0	0	0	0	0	0	Archin	no		literature:0.626262	europepmc:0.626262
MONDO_0005101	ulcerative colitis	ENSG00000257017	HP	haptoglobin	0.0381888	0	0	0.256191	0.23159	0	0	0	0	0	Archin	no		literature:0.256191;rna_expression:0.23159	europepmc:0.256191;expression_atlas:0.23159
MONDO_0005011	Crohn disease	ENSG00000090339	ICAM1	intercellular adhesion molecule 1	0.340071	0	0.545449	0.222634	0.126435	0	0	0	0	0	Polydatin	no		clinical:0.545449;literature:0.222634;rna_expression:0.126435	clinical_precedence:0.545449;europepmc:0.222634;expression_atlas:0.126435
MONDO_0005265	inflammatory bowel disease	ENSG00000090339	ICAM1	intercellular adhesion molecule 1	0.379387	0.141074	0.561289	0.796515	0.0245572	0.566132	0	0	0	0	Polydatin	no		animal_model:0.566132;clinical:0.561289;genetic_association:0.141074;literature:0.796515;rna_expression:0.0245572	clinical_precedence:0.561289;europepmc:0.796515;expression_atlas:0.0245572;gwas_credible_sets:0.141074;impc:0.566132
MONDO_0005101	ulcerative colitis	ENSG00000090339	ICAM1	intercellular adhesion molecule 1	0.11033	0	0.165492	0.239407	0.180965	0	0	0	0	0	Polydatin	no		clinical:0.165492;literature:0.239407;rna_expression:0.180965	clinical_precedence:0.165492;europepmc:0.239407;expression_atlas:0.180965
MONDO_0005011	Crohn disease	ENSG00000111537	IFNG	interferon gamma	0.0515446	0.0478574	0	0.339231	0.223934	0	0	0	0	0	Archin;Curcumin;Isoarnebin 4;Spermidine	yes	F_context_target_only	genetic_association:0.0478574;literature:0.339231;rna_expression:0.223934	europepmc:0.339231;expression_atlas:0.223934;gwas_credible_sets:0.0478574
MONDO_0005265	inflammatory bowel disease	ENSG00000111537	IFNG	interferon gamma	0.331699	0.483758	0.121586	0.967023	0	0	0	0	0	0	Archin;Curcumin;Isoarnebin 4;Spermidine	yes	F_context_target_only	clinical:0.121586;genetic_association:0.483758;literature:0.967023	clinical_precedence:0.121586;europepmc:0.967023;gwas_credible_sets:0.483758
MONDO_0005101	ulcerative colitis	ENSG00000111537	IFNG	interferon gamma	0.263346	0.424115	0	0.171166	0.0230009	0	0	0	0	0	Archin;Curcumin;Isoarnebin 4;Spermidine	yes	F_context_target_only	genetic_association:0.424115;literature:0.171166;rna_expression:0.0230009	europepmc:0.171166;expression_atlas:0.0230009;gwas_credible_sets:0.424115
MONDO_0005011	Crohn disease	ENSG00000136634	IL10	interleukin 10	0.615118	0.851201	0	0.388722	0	0	0.607931	0	0	0	Capsaicin;Curcumin;Geniposide;Isoarnebin 4;Wogonin	yes	F_context_target_only	genetic_association:0.851201;genetic_literature:0.607931;literature:0.388722	europepmc:0.388722;genomics_england:0.607931;gwas_credible_sets:0.851201
MONDO_0005265	inflammatory bowel disease	ENSG00000136634	IL10	interleukin 10	0.763493	0.840678	0	0.990552	0	0.872648	0.73796	0	0	0	Capsaicin;Curcumin;Geniposide;Isoarnebin 4;Wogonin	yes	F_context_target_only	animal_model:0.872648;genetic_association:0.840678;genetic_literature:0.73796;literature:0.990552	clingen:0.379957;europepmc:0.990552;eva:0.316434;genomics_england:0.827461;gwas_credible_sets:0.919119;impc:0.872648;orphanet:0.759913
MONDO_0005101	ulcerative colitis	ENSG00000136634	IL10	interleukin 10	0.548355	0.88307	0	0.368977	0.0217812	0	0	0	0	0	Capsaicin;Curcumin;Geniposide;Isoarnebin 4;Wogonin	yes	F_context_target_only	genetic_association:0.88307;literature:0.368977;rna_expression:0.0217812	europepmc:0.368977;expression_atlas:0.0217812;gwas_credible_sets:0.88307
MONDO_0005011	Crohn disease	ENSG00000168811	IL12A	interleukin 12A	0.598866	0	0.982911	0.0379957	0.0125594	0	0	0	0	0	Curcumin	yes	F_context_target_only	clinical:0.982911;literature:0.0379957;rna_expression:0.0125594	clinical_precedence:0.982911;europepmc:0.0379957;expression_atlas:0.0125594
MONDO_0005265	inflammatory bowel disease	ENSG00000168811	IL12A	interleukin 12A	0.606084	0	0.987397	0.191314	0	0	0	0	0	0	Curcumin	yes	F_context_target_only	clinical:0.987397;literature:0.191314	clinical_precedence:0.987397;europepmc:0.191314
MONDO_0005101	ulcerative colitis	ENSG00000168811	IL12A	interleukin 12A	0.579448	0	0.95232	0.0165492	0	0	0	0	0	0	Curcumin	yes	F_context_target_only	clinical:0.95232;literature:0.0165492	clinical_precedence:0.95232;europepmc:0.0165492
MONDO_0005011	Crohn disease	ENSG00000169194	IL13	interleukin 13	0.0807008	0	0.121586	0.200001	0.0522244	0	0	0	0	0	Curcumin	yes	F_context_target_only	clinical:0.121586;literature:0.200001;rna_expression:0.0522244	clinical_precedence:0.121586;europepmc:0.200001;expression_atlas:0.0522244
MONDO_0005265	inflammatory bowel disease	ENSG00000169194	IL13	interleukin 13	0.322684	0	0.48192	0.834692	0	0.321109	0	0	0	0	Curcumin	yes	F_context_target_only	animal_model:0.321109;clinical:0.48192;literature:0.834692	clinical_precedence:0.48192;europepmc:0.834692;impc:0.321109
