ingredient_id	ingredient_name	target_id	gene_symbol	protein_name	edge_source	evidence_level	target_source	reference_id	reference_url	pubmed_id	pubmed_url	reference_title	relationship	grade	supporting_sentence	in_bulk_uc_ibd_up150	in_bulk_uc_ibd_down150	candidate_priority_class	candidate_priority_score
HBIN041495	Quercetin	HBTAR000374	BDNF	brain derived neurotrophic factor	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005549	/Reference/detail/?v=HBREF005549	33318415	https://pubmed.ncbi.nlm.nih.gov/33318415/	Quercetin protects against diabetic retinopathy in rats by inducing heme oxygenase-1 expression	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR007973	UGT1A1	UDP glucuronosyltransferase family 1 member A1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005606	/Reference/detail/?v=HBREF005606	36092164	https://pubmed.ncbi.nlm.nih.gov/36092164/	Preventive Effects of Mandarin Fruit Peel Hydroethanolic Extract, Hesperidin, and Quercetin on Acetaminophen-Induced Hepatonephrotoxicity in Wistar Rats		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR006708	ISCU	iron-sulfur cluster assembly enzyme	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005554	/Reference/detail/?v=HBREF005554	33748166	https://pubmed.ncbi.nlm.nih.gov/33748166/	Quercetin Antagonizes Glucose Fluctuation Induced Renal Injury by Inhibiting Aerobic Glycolysis via HIF-1α/miR-210/ISCU/FeS Pathway	upregulate/increase	Grade B	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000130	AKT1	AKT serine/threonine kinase 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005534	/Reference/detail/?v=HBREF005534	32599520	https://pubmed.ncbi.nlm.nih.gov/32599520/	Quercetin protects against cerebral ischemia/reperfusion and oxygen glucose deprivation/reoxygenation neurotoxicity	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000130	AKT1	AKT serine/threonine kinase 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005558	/Reference/detail/?v=HBREF005558	33919990	https://pubmed.ncbi.nlm.nih.gov/33919990/	Protective Effect of Quercetin on Sodium Iodate-Induced Retinal Apoptosis through the Reactive Oxygen Species-Mediated Mitochondrion-Dependent Pathway	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000130	AKT1	AKT serine/threonine kinase 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005570	/Reference/detail/?v=HBREF005570	34566654	https://pubmed.ncbi.nlm.nih.gov/34566654/	Beneficial Effects of Quercetin on Microcystin-LR Induced Tight Junction Defects	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000130	AKT1	AKT serine/threonine kinase 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005620	/Reference/detail/?v=HBREF005620	36430423	https://pubmed.ncbi.nlm.nih.gov/36430423/	Effect of Quercetin and Fingolimod, Alone or in Combination, on the Sphingolipid Metabolism in HepG2 Cells	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR012739	IGHE	immunoglobulin heavy constant epsilon	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005524	/Reference/detail/?v=HBREF005524	31672514	https://pubmed.ncbi.nlm.nih.gov/31672514/	Quercetin as a Lyn kinase inhibitor inhibits IgE-mediated allergic conjunctivitis	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001841	HMGB1	high mobility group box 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005533	/Reference/detail/?v=HBREF005533	32431618	https://pubmed.ncbi.nlm.nih.gov/32431618/	Quercetin Attenuates d-GaLN-Induced L02 Cell Damage by Suppressing Oxidative Stress and Mitochondrial Apoptosis via Inhibition of HMGB1	downregulate/decrease	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR013066	NANOS2	nanos C2HC-type zinc finger 2	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005567	/Reference/detail/?v=HBREF005567	34380011	https://pubmed.ncbi.nlm.nih.gov/34380011/	Role of quercetin on sterigmatocystin-induced oxidative stress-mediated toxicity	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001016	DDIT3	DNA damage inducible transcript 3	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005585	/Reference/detail/?v=HBREF005585	35163269	https://pubmed.ncbi.nlm.nih.gov/35163269/	A Preliminary Study of the Effect of Quercetin on Cytotoxicity, Apoptosis, and Stress Responses in Glioblastoma Cell Lines		Grade B	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR004044	PRDX2	peroxiredoxin 2	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005576	/Reference/detail/?v=HBREF005576	34785193	https://pubmed.ncbi.nlm.nih.gov/34785193/	Quercetin ameliorated remote myocardial injury induced by renal ischemia/reperfusion in rats: Role of Rho-kinase and hydrogen sulfide	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR006670	SIRT1	sirtuin 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005526	/Reference/detail/?v=HBREF005526	32000299	https://pubmed.ncbi.nlm.nih.gov/32000299/	Quercetin protects against diabetic encephalopathy via SIRT1/NLRP3 pathway in db/db mice	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR006670	SIRT1	sirtuin 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005550	/Reference/detail/?v=HBREF005550	33338087	https://pubmed.ncbi.nlm.nih.gov/33338087/	Quercetin improves cognitive disorder in aging mice by inhibiting NLRP3 inflammasome activation	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
