tissue_assignment	celltype	gene_symbol	n_diseased_samples	n_healthy_samples	diseased_cells	healthy_cells	mean_log1p_cpm_diseased	mean_log1p_cpm_healthy	delta_log1p_cpm_diseased_minus_healthy	p_log1p_cpm_mannwhitney	mean_detection_diseased	mean_detection_healthy	delta_detection_diseased_minus_healthy	p_detection_mannwhitney
R	B:B10	IFNG	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	IL15	5	3	63	37	0.0846346	0.028676	0.0559586	0.340617	0.0705628	0.0238095	0.0467533	0.340617
R	B:B10	IL1B	5	3	63	37	0.030571	0	0.030571	0.605577	0.0121212	0	0.0121212	0.605577
R	B:B10	IL7	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	ITGAM	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	ITGAX	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	JAK1	5	3	63	37	0.123013	0.329721	-0.206708	0.2217	0.0926406	0.258928	-0.166288	0.12663
R	B:B10	LYZ	5	3	63	37	0.00809184	0	0.00809184	0.605577	0.0060606	0	0.0060606	0.605577
R	B:B10	MAFB	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	MAP1LC3B	5	3	63	37	0.201068	0.556685	-0.355617	0.0357701	0.166234	0.25	-0.0837664	0.548595
R	B:B10	MAPK14	5	3	63	37	0.081977	0.05049	0.031487	1	0.0454546	0.047619	-0.00216438	1
R	B:B10	NFKB1	5	3	63	37	0.0722876	0.10995	-0.0376624	0.759982	0.0549784	0.0684523	-0.0134739	0.759982
R	B:B10	NLRP3	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	OSM	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	PARP1	5	3	63	37	0.404103	0.588381	-0.184278	0.25	0.280086	0.395833	-0.115747	0.392857
R	B:B10	PIAS1	5	3	63	37	0.050695	0.173872	-0.123177	0.266236	0.0337662	0.166667	-0.1329	0.266236
R	B:B10	PKM	5	3	63	37	0.203763	0.290118	-0.0863554	0.764228	0.159307	0.160714	-0.001407	1
R	B:B10	PRKAA1	5	3	63	37	0.023355	0.134037	-0.110682	0.0566639	0.0181818	0.0922619	-0.07408	0.112231
R	B:B10	PTGS2	5	3	63	37	0.00809184	0	0.00809184	0.605577	0.0060606	0	0.0060606	0.605577
R	B:B10	RELA	5	3	63	37	0.0574252	0.05049	0.00693522	1	0.0458874	0.047619	-0.0017316	1
