tissue_assignment	celltype	gene_symbol	n_diseased_samples	n_healthy_samples	diseased_cells	healthy_cells	mean_log1p_cpm_diseased	mean_log1p_cpm_healthy	delta_log1p_cpm_diseased_minus_healthy	p_log1p_cpm_mannwhitney	mean_detection_diseased	mean_detection_healthy	delta_detection_diseased_minus_healthy	p_detection_mannwhitney
R	B:B2	FOXP3	7	4	853	128	0.0110972	0.0646407	-0.0535436	1	0.00255485	0.0125	-0.00994515	1
R	B:B2	GABPA	7	4	853	128	0.081322	0.450517	-0.369195	0.215084	0.0219474	0.192327	-0.170379	0.152594
R	B:B2	HIF1A	7	4	853	128	0.84776	0.984719	-0.13696	0.315152	0.242304	0.473762	-0.231459	0.0121212
R	B:B2	HMOX1	7	4	853	128	0.109682	0.0052506	0.104431	0.0920362	0.02622	0.00247525	0.0237447	0.0920362
R	B:B2	ICAM1	7	4	853	128	0.806627	0.829472	-0.0228444	0.648485	0.245261	0.379208	-0.133947	0.927273
R	B:B2	IFNG	7	4	853	128	0.052878	0.0814948	-0.0286167	0.680215	0.00962106	0.05	-0.0403789	0.680215
R	B:B2	IL15	7	4	853	128	0.0655801	0.103502	-0.0379224	0.921056	0.0190195	0.042203	-0.0231835	0.620236
R	B:B2	IL1B	7	4	853	128	0.00156644	0	0.00156644	0.57075	0.000422654	0	0.000422654	0.57075
R	B:B2	IL7	7	4	853	128	0.123829	0.168356	-0.044527	0.704817	0.0345315	0.0897277	-0.0551962	0.343605
R	B:B2	ITGAM	7	4	853	128	0.0565768	0.0690988	-0.012522	0.487857	0.0159678	0.0321782	-0.0162104	0.487857
R	B:B2	ITGAX	7	4	853	128	0.0736344	0.111462	-0.0378271	1	0.0139995	0.0623763	-0.0483768	0.771706
R	B:B2	JAK1	7	4	853	128	1.28799	1.57424	-0.286249	0.412121	0.447339	0.740841	-0.293502	0.0121212
R	B:B2	LYZ	7	4	853	128	0.00933787	0	0.00933787	0.326558	0.00249305	0	0.00249305	0.326558
R	B:B2	MAFB	7	4	853	128	0.00734099	0	0.00734099	0.57075	0.0018797	0	0.0018797	0.57075
R	B:B2	MAP1LC3B	7	4	853	128	1.30644	1.18718	0.119259	0.927273	0.517905	0.580817	-0.0629113	0.527273
R	B:B2	MAPK14	7	4	853	128	0.0586696	0.089856	-0.0311864	1	0.017112	0.0373762	-0.0202643	0.76623
R	B:B2	NFKB1	7	4	853	128	0.747856	0.822834	-0.0749781	0.927273	0.266417	0.266708	-0.000291257	0.787879
R	B:B2	NLRP3	7	4	853	128	0.0262151	0.0052506	0.0209645	0.216269	0.00592738	0.00247525	0.00345213	0.409746
R	B:B2	OSM	7	4	853	128	0.0192129	0.0052506	0.0139623	0.443624	0.00458011	0.00247525	0.00210486	0.584238
R	B:B2	PARP1	7	4	853	128	0.740247	1.04296	-0.302708	0.163636	0.238043	0.513861	-0.275818	0.0105555
R	B:B2	PIAS1	7	4	853	128	0.935001	0.476972	0.458029	0.0727273	0.315894	0.268812	0.0470823	1
R	B:B2	PKM	7	4	853	128	1.117	0.80445	0.312555	0.787879	0.384295	0.398763	-0.0144676	0.527273
R	B:B2	PRKAA1	7	4	853	128	0.314061	0.238148	0.0759131	1	0.0998057	0.117203	-0.0173973	0.569872
R	B:B2	PTGS2	7	4	853	128	0	0	0	1	0	0	0	1
R	B:B2	RELA	7	4	853	128	0.386828	0.148335	0.238493	0.155433	0.123366	0.067203	0.0561631	0.776319
R	B:B2	SH3KBP1	7	4	853	128	0.543126	0.65062	-0.107495	0.704817	0.154356	0.271782	-0.117427	0.184875
R	B:B2	SMAD3	7	4	853	128	0.353455	0.528647	-0.175191	0.927273	0.11069	0.222277	-0.111588	0.109091
R	B:B2	SOD1	7	4	853	128	1.10317	0.761714	0.341456	0.163636	0.400163	0.431312	-0.0311489	0.527273
R	B:B2	STAT3	7	4	853	128	1.00865	0.528829	0.479823	0.0121212	0.356314	0.271535	0.0847794	0.927273
R	B:B2	STAT5A	7	4	853	128	0.190328	0.139731	0.0505976	0.774812	0.0479281	0.0622525	-0.0143244	0.924027
R	B:B2	SYK	7	4	853	128	0.594508	0.543775	0.0507322	0.704817	0.180829	0.269307	-0.0884783	0.569872
R	B:B2	TLR4	7	4	853	128	0.00573717	0.334392	-0.328655	1	0.00163024	0.125	-0.12337	1
R	B:B2	TNF	7	4	853	128	1.10784	0.597273	0.510568	0.109091	0.344261	0.226733	0.117529	0.927273
R	B:B3	ACTA2	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	AHR	6	3	56	4	0.285066	0	0.285066	0.219768	0.0550595	0	0.0550595	0.219768
R	B:B3	AKT1	6	3	56	4	0	0.212977	-0.212977	0.238593	0	0.166667	-0.166667	0.238593
R	B:B3	ARNTL	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	BCL6	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	BECN1	6	3	56	4	0.333039	0	0.333039	0.219768	0.073578	0	0.073578	0.219768
R	B:B3	BLNK	6	3	56	4	0.681199	0	0.681199	0.0590582	0.171495	0	0.171495	0.0590582
R	B:B3	BRD4	6	3	56	4	0.420186	0.212977	0.207209	0.500184	0.0988095	0.166667	-0.0678572	0.892738
R	B:B3	CAT	6	3	56	4	0.230711	0.212977	0.0177343	1	0.0527447	0.166667	-0.113922	1
R	B:B3	CD4	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	CD86	6	3	56	4	0.0636483	0	0.0636483	0.637352	0.0104167	0	0.0104167	0.637352
R	B:B3	CREB1	6	3	56	4	0.0968285	0	0.0968285	0.637352	0.0208333	0	0.0208333	0.637352
R	B:B3	CTNNB1	6	3	56	4	0.083959	0.646023	-0.562064	0.595883	0.0185185	0.333333	-0.314815	0.595883
R	B:B3	DNMT1	6	3	56	4	0.274429	0	0.274429	0.219768	0.0622685	0	0.0622685	0.219768
R	B:B3	FOXP3	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	GABPA	6	3	56	4	0.0636483	0.212977	-0.149329	0.595883	0.0104167	0.166667	-0.15625	0.595883
R	B:B3	HIF1A	6	3	56	4	0.766915	0.212977	0.553938	0.237302	0.202745	0.166667	0.036078	0.693641
R	B:B3	HMOX1	6	3	56	4	0.155051	0	0.155051	0.376759	0.0342262	0	0.0342262	0.376759
R	B:B3	ICAM1	6	3	56	4	0.0636483	0.646023	-0.582375	0.595883	0.0104167	0.333333	-0.322917	0.595883
R	B:B3	IFNG	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	IL15	6	3	56	4	0.0636483	0.212977	-0.149329	0.595883	0.0104167	0.166667	-0.15625	0.595883
R	B:B3	IL1B	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	IL7	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	ITGAM	6	3	56	4	0.166482	0	0.166482	0.637352	0.0555555	0	0.0555555	0.637352
R	B:B3	ITGAX	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	JAK1	6	3	56	4	1.23102	0.43461	0.796407	0.243305	0.37328	0.166667	0.206614	0.36415
R	B:B3	LYZ	6	3	56	4	0	0.212977	-0.212977	0.238593	0	0.166667	-0.166667	0.238593
R	B:B3	MAFB	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	MAP1LC3B	6	3	56	4	0.43498	0.646023	-0.211044	0.892738	0.0973875	0.333333	-0.235946	0.892738
R	B:B3	MAPK14	6	3	56	4	0.083959	0	0.083959	0.637352	0.0185185	0	0.0185185	0.637352
R	B:B3	NFKB1	6	3	56	4	0.498652	0.212977	0.285675	0.68583	0.152745	0.166667	-0.013922	0.68583
R	B:B3	NLRP3	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	OSM	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	PARP1	6	3	56	4	0.750281	0	0.750281	0.119795	0.202712	0	0.202712	0.119795
R	B:B3	PIAS1	6	3	56	4	0.795464	0	0.795464	0.0256011	0.209921	0	0.209921	0.0249682
R	B:B3	PKM	6	3	56	4	0.857332	0.646023	0.211309	0.693641	0.256482	0.333333	-0.0768518	0.692379
R	B:B3	PRKAA1	6	3	56	4	0.118998	0.212977	-0.0939793	0.878088	0.0208333	0.166667	-0.145833	0.877371
R	B:B3	PTGS2	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	RELA	6	3	56	4	0.083959	0	0.083959	0.637352	0.0185185	0	0.0185185	0.637352
R	B:B3	SH3KBP1	6	3	56	4	0.200924	0.676843	-0.475919	0.878088	0.0416667	0.333333	-0.291667	0.878088
R	B:B3	SMAD3	6	3	56	4	0.0636483	0	0.0636483	0.637352	0.0104167	0	0.0104167	0.637352
R	B:B3	SOD1	6	3	56	4	0.587379	0.341883	0.245495	0.693641	0.146263	0.333333	-0.18707	0.693641
R	B:B3	STAT3	6	3	56	4	0.943604	0.676843	0.26676	0.516853	0.251752	0.333333	-0.0815808	0.516853
R	B:B3	STAT5A	6	3	56	4	0.13953	0	0.13953	0.637352	0.037037	0	0.037037	0.637352
R	B:B3	SYK	6	3	56	4	0.672612	0.212977	0.459635	0.237302	0.141633	0.166667	-0.0250332	0.693641
R	B:B3	TLR4	6	3	56	4	0	0	0	1	0	0	0	1
R	B:B3	TNF	6	3	56	4	0.356446	0	0.356446	0.219768	0.0854167	0	0.0854167	0.219768
R	B:B4	ACTA2	7	4	515	44	0.0395659	0.0479108	-0.00834489	1	0.00703099	0.0147059	-0.00767489	1
R	B:B4	AHR	7	4	515	44	0.0915541	0.216136	-0.124582	0.470726	0.0219497	0.077451	-0.0555013	0.470726
R	B:B4	AKT1	7	4	515	44	0.130614	0.0479108	0.0827029	0.372431	0.0274516	0.0147059	0.0127457	0.372431
R	B:B4	ARNTL	7	4	515	44	0.0330979	0.0479108	-0.0148129	0.912853	0.00743725	0.0147059	-0.00726862	0.912853
R	B:B4	BCL6	7	4	515	44	0.0781698	0	0.0781698	0.10067	0.0171089	0	0.0171089	0.10067
R	B:B4	BECN1	7	4	515	44	0.218079	0.122714	0.0953646	0.536407	0.0530823	0.0441177	0.00896454	0.536407
R	B:B4	BLNK	7	4	515	44	0.960692	0.921828	0.0388646	1	0.273317	0.456863	-0.183545	0.527273
R	B:B4	BRD4	7	4	515	44	0.415446	0.550707	-0.135262	0.704817	0.100455	0.186275	-0.0858197	0.296412
R	B:B4	CAT	7	4	515	44	0.406753	0.78022	-0.373468	0.0424242	0.0975773	0.267157	-0.169579	0.0230287
R	B:B4	CD4	7	4	515	44	0.109254	0	0.109254	0.326558	0.0296537	0	0.0296537	0.326558
R	B:B4	CD86	7	4	515	44	0.293789	0.0510497	0.242739	0.0530769	0.0714183	0.0166667	0.0547517	0.0817072
R	B:B4	CREB1	7	4	515	44	0.324318	0.13915	0.185169	0.104985	0.0759627	0.0460784	0.0298843	0.39075
R	B:B4	CTNNB1	7	4	515	44	0.175183	0.181522	-0.00633861	0.921056	0.0431465	0.062745	-0.0195985	0.76623
R	B:B4	DNMT1	7	4	515	44	0.24036	0.0479108	0.19245	0.0920362	0.0584805	0.0147059	0.0437747	0.197627
R	B:B4	FOXP3	7	4	515	44	0.0104343	0	0.0104343	0.57075	0.0021645	0	0.0021645	0.57075
R	B:B4	GABPA	7	4	515	44	0.156582	0.0479108	0.108671	0.372431	0.0398776	0.0147059	0.0251717	0.372431
R	B:B4	HIF1A	7	4	515	44	0.619015	0.808479	-0.189464	0.927273	0.165524	0.240196	-0.074672	0.648485
R	B:B4	HMOX1	7	4	515	44	0.102775	0	0.102775	0.0502526	0.0224282	0	0.0224282	0.0502526
R	B:B4	ICAM1	7	4	515	44	0.287249	0.181522	0.105727	0.628688	0.0653557	0.062745	0.0026107	0.922953
R	B:B4	IFNG	7	4	515	44	0.016742	0	0.016742	0.326558	0.00253998	0	0.00253998	0.326558
R	B:B4	IL15	7	4	515	44	0.0996092	0	0.0996092	0.10067	0.0205158	0	0.0205158	0.10067
R	B:B4	IL1B	7	4	515	44	0.00531239	0	0.00531239	0.57075	0.00108225	0	0.00108225	0.57075
R	B:B4	IL7	7	4	515	44	0.192514	0.122714	0.0698004	0.487857	0.0440078	0.0441177	-0.000109921	0.487857
R	B:B4	ITGAM	7	4	515	44	0.293501	0	0.293501	0.0502526	0.0885015	0	0.0885015	0.0502526
R	B:B4	ITGAX	7	4	515	44	0.0577316	0.0479108	0.00982084	0.742667	0.0107139	0.0147059	-0.00399195	0.912853
R	B:B4	JAK1	7	4	515	44	1.20289	1.27418	-0.071292	0.648485	0.347014	0.570098	-0.223084	0.448659
R	B:B4	LYZ	7	4	515	44	0	0.0479108	-0.0479108	0.256839	0	0.0147059	-0.0147059	0.256839
R	B:B4	MAFB	7	4	515	44	0.00459473	0	0.00459473	0.57075	0.000664451	0	0.000664451	0.57075
R	B:B4	MAP1LC3B	7	4	515	44	1.15303	0.927065	0.225967	0.927273	0.341668	0.336274	0.00539393	0.527273
R	B:B4	MAPK14	7	4	515	44	0.0568305	0.141333	-0.0845022	0.620236	0.0119706	0.0480391	-0.0360685	0.620236
R	B:B4	NFKB1	7	4	515	44	0.40735	0.321034	0.0863161	0.924027	0.0832205	0.0691178	0.0141027	0.774812
R	B:B4	NLRP3	7	4	515	44	0	0	0	1	0	0	0	1
R	B:B4	OSM	7	4	515	44	0.0148754	0	0.0148754	0.326558	0.00278663	0	0.00278663	0.326558
R	B:B4	PARP1	7	4	515	44	0.955148	0.71539	0.239758	1	0.271594	0.192157	0.0794371	0.527273
R	B:B4	PIAS1	7	4	515	44	0.587441	0.811133	-0.223692	0.230303	0.143518	0.254412	-0.110894	0.152594
R	B:B4	PKM	7	4	515	44	1.07248	0.778455	0.294021	0.230303	0.318136	0.273529	0.0446066	0.448659
R	B:B4	PRKAA1	7	4	515	44	0.279028	0.40229	-0.123262	0.704817	0.062239	0.156373	-0.0941336	0.569872
R	B:B4	PTGS2	7	4	515	44	0	0	0	1	0	0	0	1
R	B:B4	RELA	7	4	515	44	0.38966	0.181522	0.208138	0.297517	0.0941919	0.062745	0.0314469	0.297517
R	B:B4	SH3KBP1	7	4	515	44	0.466566	0.461618	0.00494736	0.849769	0.10966	0.0857844	0.0238753	0.569872
R	B:B4	SMAD3	7	4	515	44	0.192744	0.0510497	0.141694	0.30281	0.0472937	0.0166667	0.030627	0.536407
R	B:B4	SOD1	7	4	515	44	0.991887	0.4188	0.573086	0.0242424	0.287774	0.144608	0.143166	0.315152
R	B:B4	STAT3	7	4	515	44	0.951524	0.688751	0.262772	0.230303	0.272908	0.344118	-0.07121	0.527273
R	B:B4	STAT5A	7	4	515	44	0.108308	0	0.108308	0.10067	0.026032	0	0.026032	0.10067
R	B:B4	SYK	7	4	515	44	0.702535	0.344984	0.357552	0.129695	0.160497	0.0857844	0.0747124	0.184875
R	B:B4	TLR4	7	4	515	44	0	0	0	1	0	0	0	1
R	B:B4	TNF	7	4	515	44	0.56298	0.600531	-0.0375516	0.704817	0.12699	0.129412	-0.00242132	0.849429
R	B:B5	ACTA2	7	3	152	40	0.0318189	0	0.0318189	0.662521	0.0112045	0	0.0112045	0.662521
R	B:B5	AHR	7	3	152	40	0.335634	0.416489	-0.0808553	0.666667	0.107053	0.200327	-0.0932732	0.360475
R	B:B5	AKT1	7	3	152	40	0.0844979	0.0557903	0.0287075	1	0.0260266	0.0196078	0.00641875	1
R	B:B5	ARNTL	7	3	152	40	0.0490732	0.0881347	-0.0390615	1	0.0164433	0.0333333	-0.01689	1
R	B:B5	BCL6	7	3	152	40	0.00864336	0.0469717	-0.0383283	0.515305	0.00280111	0.0166667	-0.0138656	0.515305
R	B:B5	BECN1	7	3	152	40	0.381624	0.416489	-0.034865	0.819168	0.132152	0.200327	-0.0681744	0.422204
R	B:B5	BLNK	7	3	152	40	1.04804	0.917742	0.130301	0.383333	0.420257	0.439869	-0.0196123	0.833333
R	B:B5	BRD4	7	3	152	40	0.457863	0.338692	0.11917	0.516667	0.151176	0.166993	-0.0158171	1
R	B:B5	CAT	7	3	152	40	0.462927	0.591822	-0.128895	0.266667	0.126829	0.236601	-0.109772	0.0222455
R	B:B5	CD4	7	3	152	40	0	0	0	1	0	0	0	1
R	B:B5	CD86	7	3	152	40	0.614504	0.145348	0.469156	0.0649095	0.170352	0.0588237	0.111528	0.166233
R	B:B5	CREB1	7	3	152	40	0.378233	0.495391	-0.117158	0.666667	0.126282	0.219935	-0.0936526	0.266667
R	B:B5	CTNNB1	7	3	152	40	0.246743	0.145348	0.101395	0.644461	0.0701331	0.0588237	0.0113094	0.643429
R	B:B5	DNMT1	7	3	152	40	0.336116	0.233483	0.102633	0.644461	0.117226	0.092157	0.0250688	1
R	B:B5	FOXP3	7	3	152	40	0	0	0	1	0	0	0	1
R	B:B5	GABPA	7	3	152	40	0.141152	0.102762	0.0383899	1	0.0423588	0.0362745	0.00608434	0.807903
R	B:B5	HIF1A	7	3	152	40	0.559264	0.690903	-0.131639	0.423622	0.202916	0.287255	-0.0843388	0.423622
R	B:B5	HMOX1	7	3	152	40	0.305557	0.488247	-0.18269	0.647506	0.0909838	0.275164	-0.18418	0.492811
R	B:B5	ICAM1	7	3	152	40	0.284553	0.102762	0.181791	0.356038	0.0849656	0.0362745	0.0486911	0.417887
R	B:B5	IFNG	7	3	152	40	0.0105181	0	0.0105181	0.662521	0.00332226	0	0.00332226	0.662521
R	B:B5	IL15	7	3	152	40	0.037108	0.143925	-0.106817	0.157871	0.0122468	0.0529412	-0.0406944	0.157871
R	B:B5	IL1B	7	3	152	40	0	0	0	1	0	0	0	1
R	B:B5	IL7	7	3	152	40	0.0423369	0.103568	-0.0612311	0.779153	0.0145267	0.0392157	-0.0246889	0.779153
R	B:B5	ITGAM	7	3	152	40	0.394567	0.307239	0.0873288	0.731657	0.137176	0.111765	0.025411	1
R	B:B5	ITGAX	7	3	152	40	0.731833	0.19232	0.539513	0.0666667	0.233098	0.0754903	0.157608	0.183333
R	B:B5	JAK1	7	3	152	40	1.2364	1.1247	0.1117	0.183333	0.475859	0.653922	-0.178062	1
R	B:B5	LYZ	7	3	152	40	0	0	0	1	0	0	0	1
R	B:B5	MAFB	7	3	152	40	0	0	0	1	0	0	0	1
R	B:B5	MAP1LC3B	7	3	152	40	1.08518	0.558423	0.526757	0.116667	0.368036	0.256209	0.111827	0.183333
R	B:B5	MAPK14	7	3	152	40	0.0511605	0.41045	-0.359289	0.051768	0.0183598	0.258497	-0.240137	0.051768
R	B:B5	NFKB1	7	3	152	40	0.224609	0.610808	-0.386199	0.106279	0.0660015	0.219935	-0.153933	0.0649095
R	B:B5	NLRP3	7	3	152	40	0.0543735	0	0.0543735	0.416075	0.0143113	0	0.0143113	0.416075
R	B:B5	OSM	7	3	152	40	0	0	0	1	0	0	0	1
R	B:B5	PARP1	7	3	152	40	1.36911	1.07506	0.294054	0.116667	0.49872	0.457189	0.0415302	0.833333
R	B:B5	PIAS1	7	3	152	40	0.501545	0.738902	-0.237357	0.253007	0.191074	0.400654	-0.209579	0.253007
R	B:B5	PKM	7	3	152	40	1.08974	0.841154	0.248584	0.116667	0.338414	0.437582	-0.0991672	0.423622
R	B:B5	PRKAA1	7	3	152	40	0.493782	0.228337	0.265446	0.666667	0.168458	0.0892157	0.0792422	0.666667
R	B:B5	PTGS2	7	3	152	40	0	0	0	1	0	0	0	1
R	B:B5	RELA	7	3	152	40	0.20675	0.143925	0.0628249	0.731657	0.0636678	0.0529412	0.0107266	1
R	B:B5	SH3KBP1	7	3	152	40	0.579187	0.379855	0.199332	0.516667	0.203387	0.164052	0.0393346	1
R	B:B5	SMAD3	7	3	152	40	0.174143	0.577805	-0.403662	0.0222455	0.0486562	0.219935	-0.171278	0.0218393
R	B:B5	SOD1	7	3	152	40	1.05683	1.16572	-0.108895	0.516667	0.382646	0.556536	-0.17389	0.266667
R	B:B5	STAT3	7	3	152	40	0.842508	0.948909	-0.106401	1	0.35521	0.453595	-0.0983846	0.731657
R	B:B5	STAT5A	7	3	152	40	0.204549	0.143925	0.0606241	0.488808	0.0638203	0.0529412	0.0108792	0.907869
R	B:B5	SYK	7	3	152	40	1.05444	1.01834	0.0361086	0.833333	0.380867	0.420262	-0.0393942	0.833333
R	B:B5	TLR4	7	3	152	40	0.0217617	0	0.0217617	0.662521	0.0075188	0	0.0075188	0.662521
R	B:B5	TNF	7	3	152	40	0.457598	0.431816	0.0257818	0.908994	0.125113	0.12549	-0.000377033	0.818624
R	B:B6	ACTA2	4	4	29	611	0.0353897	0.0309655	0.00442427	0.538472	0.03125	0.0357527	-0.0045027	0.538472
R	B:B6	AHR	4	4	29	611	0.0183205	0.0834641	-0.0651436	0.218604	0.015625	0.0918496	-0.0762246	0.218604
R	B:B6	AKT1	4	4	29	611	0	0.143762	-0.143762	0.0210706	0	0.114118	-0.114118	0.0210706
R	B:B6	ARNTL	4	4	29	611	0.0183205	0.0243923	-0.0060718	0.538472	0.015625	0.0292009	-0.0135759	0.538472
R	B:B6	BCL6	4	4	29	611	0	0.000520942	-0.000520942	0.453255	0	0.00049505	-0.00049505	0.453255
R	B:B6	BECN1	4	4	29	611	0.112408	0.316889	-0.204481	0.191267	0.0989582	0.23482	-0.135862	0.242526
R	B:B6	BLNK	4	4	29	611	0.304857	0.32643	-0.021573	0.771503	0.213541	0.360312	-0.14677	0.242526
R	B:B6	BRD4	4	4	29	611	0.0513675	0.138071	-0.0867032	0.35617	0.046875	0.145254	-0.0983788	0.218604
R	B:B6	CAT	4	4	29	611	0	0.11404	-0.11404	0.0689184	0	0.157174	-0.157174	0.0689184
R	B:B6	CD4	4	4	29	611	0	0.0223523	-0.0223523	0.185877	0	0.0376944	-0.0376944	0.185877
R	B:B6	CD86	4	4	29	611	0.0446228	0.0797588	-0.0351361	0.538472	0.0277778	0.0919962	-0.0642185	0.35617
R	B:B6	CREB1	4	4	29	611	0	0.100182	-0.100182	0.0689184	0	0.136358	-0.136358	0.0689184
R	B:B6	CTNNB1	4	4	29	611	0.298985	0.0728468	0.226138	1	0.28125	0.0765178	0.204732	1
R	B:B6	DNMT1	4	4	29	611	0.145455	0.0755843	0.0698704	0.88242	0.130208	0.0857692	0.044439	0.88242
R	B:B6	FOXP3	4	4	29	611	0	0	0	1	0	0	0	1
R	B:B6	GABPA	4	4	29	611	0.125175	0.0717226	0.0534519	0.88242	0.0746528	0.0923987	-0.0177459	0.88242
R	B:B6	HIF1A	4	4	29	611	0.258277	0.131483	0.126794	0.561363	0.157986	0.146113	0.0118732	0.883853
R	B:B6	HMOX1	4	4	29	611	0.0183205	0.0062858	0.0120347	0.868661	0.015625	0.00605672	0.00956828	0.868661
R	B:B6	ICAM1	4	4	29	611	0.0940872	0.103936	-0.00984855	0.538472	0.0833332	0.0993372	-0.016004	0.538472
R	B:B6	IFNG	4	4	29	611	0.0629433	0.017731	0.0452122	0.88242	0.0434028	0.0226491	0.0207536	0.88242
R	B:B6	IL15	4	4	29	611	0.129477	0.0654868	0.0639902	0.88242	0.114583	0.0839593	0.0306239	1
R	B:B6	IL1B	4	4	29	611	0	0.00413745	-0.00413745	0.453255	0	0.00049505	-0.00049505	0.453255
R	B:B6	IL7	4	4	29	611	0	0.000520942	-0.000520942	0.453255	0	0.00049505	-0.00049505	0.453255
R	B:B6	ITGAM	4	4	29	611	0	0	0	1	0	0	0	1
R	B:B6	ITGAX	4	4	29	611	0	0	0	1	0	0	0	1
R	B:B6	JAK1	4	4	29	611	0.409962	0.388883	0.021079	0.771503	0.256944	0.394409	-0.137465	0.38363
R	B:B6	LYZ	4	4	29	611	0	0.00971692	-0.00971692	0.453255	0	0.00049505	-0.00049505	0.453255
R	B:B6	MAFB	4	4	29	611	0	0	0	1	0	0	0	1
R	B:B6	MAP1LC3B	4	4	29	611	0.487965	0.478409	0.00955575	1	0.335069	0.446839	-0.11177	0.561363
R	B:B6	MAPK14	4	4	29	611	0.0513675	0.0493584	0.00200915	0.538472	0.046875	0.0648916	-0.0180166	0.538472
R	B:B6	NFKB1	4	4	29	611	0	0.155647	-0.155647	0.0689184	0	0.175051	-0.175051	0.0689184
R	B:B6	NLRP3	4	4	29	611	0	0	0	1	0	0	0	1
R	B:B6	OSM	4	4	29	611	0	0.00839004	-0.00839004	0.185877	0	0.00358147	-0.00358147	0.185877
R	B:B6	PARP1	4	4	29	611	0.639006	0.732887	-0.0938808	0.885714	0.394097	0.624625	-0.230527	0.685714
R	B:B6	PIAS1	4	4	29	611	0.238472	0.337798	-0.0993263	0.884549	0.194444	0.360821	-0.166377	0.467825
R	B:B6	PKM	4	4	29	611	0.28998	0.321192	-0.0312123	0.771503	0.217014	0.372796	-0.155782	0.306492
R	B:B6	PRKAA1	4	4	29	611	0.0446228	0.0679413	-0.0233186	0.538472	0.0277778	0.0793336	-0.0515558	0.278446
R	B:B6	PTGS2	4	4	29	611	0	0.00787233	-0.00787233	0.185877	0	0.00358147	-0.00358147	0.185877
R	B:B6	RELA	4	4	29	611	0.082474	0.114205	-0.0317315	0.538472	0.0555555	0.127889	-0.0723331	0.35617
R	B:B6	SH3KBP1	4	4	29	611	0.157031	0.243785	-0.086755	0.485714	0.126736	0.211622	-0.0848858	0.342857
R	B:B6	SMAD3	4	4	29	611	0	0.011497	-0.011497	0.0689184	0	0.0164763	-0.0164763	0.0689184
R	B:B6	SOD1	4	4	29	611	0.768123	0.764749	0.0033735	0.885714	0.625	0.656886	-0.0318865	0.771503
R	B:B6	STAT3	4	4	29	611	0.429576	0.257672	0.171904	0.245383	0.248264	0.285689	-0.0374252	0.771503
R	B:B6	STAT5A	4	4	29	611	0	0.132097	-0.132097	0.0210706	0	0.102878	-0.102878	0.0210706
R	B:B6	SYK	4	4	29	611	0.190078	0.194998	-0.0049205	0.771503	0.157986	0.216929	-0.0589435	0.661197
R	B:B6	TLR4	4	4	29	611	0	0	0	1	0	0	0	1
R	B:B6	TNF	4	4	29	611	0.130338	0.0406627	0.0896758	0.868661	0.03125	0.0376944	-0.00644445	0.619839
R	B:B7	ACTA2	6	4	75	181	0.0390173	0.074328	-0.0353107	0.511966	0.0151515	0.0434028	-0.0282512	0.358572
R	B:B7	AHR	6	4	75	181	0	0.27902	-0.27902	0.00574114	0	0.125252	-0.125252	0.00574114
R	B:B7	AKT1	6	4	75	181	0	0.074328	-0.074328	0.0942099	0	0.0434028	-0.0434028	0.0942099
R	B:B7	ARNTL	6	4	75	181	0	0.00471213	-0.00471213	0.307434	0	0.00171233	-0.00171233	0.307434
R	B:B7	BCL6	6	4	75	181	0	0	0	1	0	0	0	1
R	B:B7	BECN1	6	4	75	181	0.0784292	0.155366	-0.0769366	0.42603	0.0236928	0.0883038	-0.064611	0.210985
R	B:B7	BLNK	6	4	75	181	0.626529	0.308082	0.318447	0.171429	0.306855	0.198136	0.10872	0.352381
R	B:B7	BRD4	6	4	75	181	0.0863872	0.140147	-0.0537598	0.306103	0.0200535	0.0681887	-0.0481352	0.13933
R	B:B7	CAT	6	4	75	181	0.101385	0.0626238	0.0387616	0.718632	0.0326798	0.025899	0.00678083	0.718632
R	B:B7	CD4	6	4	75	181	0	0.00471213	-0.00471213	0.307434	0	0.00171233	-0.00171233	0.307434
R	B:B7	CD86	6	4	75	181	0.070611	0.06145	0.009161	0.511966	0.0151515	0.0363394	-0.0211879	0.358572
R	B:B7	CREB1	6	4	75	181	0.148843	0.111774	0.0370687	0.732995	0.0514706	0.0414764	0.00999421	0.732105
R	B:B7	CTNNB1	6	4	75	181	0.0692047	0.152888	-0.0836834	0.210985	0.0249554	0.0763175	-0.051362	0.306103
R	B:B7	DNMT1	6	4	75	181	0.271523	0.105588	0.165935	0.825894	0.118056	0.0553891	0.0626665	1
R	B:B7	FOXP3	6	4	75	181	0	0	0	1	0	0	0	1
