ingredient_id	ingredient_name	target_id	gene_symbol	protein_name	reference_id	pubmed_id	pubmed_url	reference_title	relationship	relationship_direction	grade	supporting_sentence	disease_context_terms	in_bulk_uc_ibd_up150	in_bulk_uc_ibd_down150	therapeutic_alignment	candidate_priority_class	candidate_priority_score
HBIN016606	Archin	HBTAR007428	IL22	interleukin 22	HBREF003194	35728384	https://pubmed.ncbi.nlm.nih.gov/35728384/	Emodin targeting the colonic metabolism via PPARγ alleviates UC by inhibiting facultative anaerobe		down	Grade C	redacted_public_package	ulcerative_colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002055	IL6	interleukin 6	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002135	ITGAM	integrin subunit alpha M	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR013038	MARVELD1	MARVEL domain containing 1	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis		mixed	Grade C	redacted_public_package	colitis;dss;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002582	MUC2	mucin 2, oligomeric mucus/gel-forming	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis		mixed	Grade C	redacted_public_package	colitis;dss;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002705	NFKB1	nuclear factor kappa B subunit 1	HBREF003182	34379340	https://pubmed.ncbi.nlm.nih.gov/34379340/	Synergistic effect of combined treatment with baicalin and emodin on DSS-induced colitis in mouse	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002737	NOS2	nitric oxide synthase 2	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002737	NOS2	nitric oxide synthase 2	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	yes	no	module_hit_direction_unclear	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR002737	NOS2	nitric oxide synthase 2	HBREF003194	35728384	https://pubmed.ncbi.nlm.nih.gov/35728384/	Emodin targeting the colonic metabolism via PPARγ alleviates UC by inhibiting facultative anaerobe	suppress/inhibitor	down	Grade C	redacted_public_package	ulcerative_colitis	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR003112	PPARG	peroxisome proliferator activated receptor gamma	HBREF003182	34379340	https://pubmed.ncbi.nlm.nih.gov/34379340/	Synergistic effect of combined treatment with baicalin and emodin on DSS-induced colitis in mouse		mixed	Grade C	redacted_public_package	colitis;dss	no	yes	module_hit_direction_unclear	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR003295	PTGS2	prostaglandin-endoperoxide synthase 2	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR003295	PTGS2	prostaglandin-endoperoxide synthase 2	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	yes	no	module_hit_direction_unclear	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR004109	TJP1	tight junction protein 1	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis		mixed	Grade C	redacted_public_package	colitis;dss;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR004140	TNF	tumor necrosis factor	HBREF003169	32777486	https://pubmed.ncbi.nlm.nih.gov/32777486/	Enhanced therapeutic efficacy of a novel colon-specific nanosystem loading emodin on DSS-induced experimental colitis	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN016606	Archin	HBTAR004140	TNF	tumor necrosis factor	HBREF003173	33489875	https://pubmed.ncbi.nlm.nih.gov/33489875/	Emodin Inhibits Inflammation, Carcinogenesis, and Cancer Progression in the AOM/DSS Model of Colitis-Associated Intestinal Tumorigenesis		unknown	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	22.0
HBIN017136	Asperuloside	HBTAR001469	GABPA	GA binding protein transcription factor subunit alpha	HBREF003245	33974900	https://pubmed.ncbi.nlm.nih.gov/33974900/	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways	upregulate/increase	up	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017136	Asperuloside	HBTAR001851	HMOX1	heme oxygenase 1	HBREF003245	33974900	https://pubmed.ncbi.nlm.nih.gov/33974900/	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways	upregulate/increase	up	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017136	Asperuloside	HBTAR002705	NFKB1	nuclear factor kappa B subunit 1	HBREF003245	33974900	https://pubmed.ncbi.nlm.nih.gov/33974900/	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways	agonist/activator	up	Grade C	redacted_public_package	colitis;inflammatory_bowel_disease;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017136	Asperuloside	HBTAR001048	NQO1	NAD(P)H quinone dehydrogenase 1	HBREF003245	33974900	https://pubmed.ncbi.nlm.nih.gov/33974900/	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways	upregulate/increase	up	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017136	Asperuloside	HBTAR003434	RELA	RELA proto-oncogene, NF-kB subunit	HBREF003245	33974900	https://pubmed.ncbi.nlm.nih.gov/33974900/	Asperuloside suppressing oxidative stress and inflammation in DSS-induced chronic colitis and RAW 264.7 macrophages via Nrf2/HO-1 and NF-κB pathways	downregulate/decrease	down	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017136	Asperuloside	HBTAR003434	RELA	RELA proto-oncogene, NF-kB subunit	HBREF003246	35523114	https://pubmed.ncbi.nlm.nih.gov/35523114/	Asperuloside inhibited epithelial-mesenchymal transition in colitis associated cancer via activation of vitamin D receptor	upregulate/increase	up	Grade C	redacted_public_package	colitis;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017136	Asperuloside	HBTAR002382	SMAD3	SMAD family member 3	HBREF003246	35523114	https://pubmed.ncbi.nlm.nih.gov/35523114/	Asperuloside inhibited epithelial-mesenchymal transition in colitis associated cancer via activation of vitamin D receptor	downregulate/decrease	down	Grade C	redacted_public_package	colitis;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017136	Asperuloside	HBTAR004309	VDR	vitamin D receptor	HBREF003246	35523114	https://pubmed.ncbi.nlm.nih.gov/35523114/	Asperuloside inhibited epithelial-mesenchymal transition in colitis associated cancer via activation of vitamin D receptor		down	Grade B	redacted_public_package	colitis;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	19.0
HBIN017892	Berberime	HBTAR006706	BRD4	bromodomain containing 4	HBREF003392	35259053	https://pubmed.ncbi.nlm.nih.gov/35259053/	Berberine represses Wnt/β-catenin pathway activation via modulating the microRNA-103a-3p/Bromodomain-containing protein 4 axis, thereby refraining pyroptosis and reducing the intestinal mucosal barrier defect induced via colitis	bind/target	binding_or_target	Grade C	redacted_public_package	colitis;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002042	IL1B	interleukin 1 beta	HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;colitis_associated	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002055	IL6	interleukin 6	HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002055	IL6	interleukin 6	HBREF003402	35660350	https://pubmed.ncbi.nlm.nih.gov/35660350/	Berberine regulates short-chain fatty acid metabolism and alleviates the colitis-associated colorectal tumorigenesis through remodeling intestinal flora	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002372	LYZ	lysozyme	HBREF003405	35893243	https://pubmed.ncbi.nlm.nih.gov/35893243/	Berberine Ameliorates Dextran Sulfate Sodium-Induced Ulcerative Colitis and Inhibits the Secretion of Gut Lysozyme via Promoting Autophagy	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;ulcerative_colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR013038	MARVELD1	MARVEL domain containing 1	HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR013038	MARVELD1	MARVEL domain containing 1	HBREF003402	35660350	https://pubmed.ncbi.nlm.nih.gov/35660350/	Berberine regulates short-chain fatty acid metabolism and alleviates the colitis-associated colorectal tumorigenesis through remodeling intestinal flora	upregulate/increase	up	Grade C	redacted_public_package	colitis;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR002493	MKI67	marker of proliferation Ki-67	HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR003295	PTGS2	prostaglandin-endoperoxide synthase 2	HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;colitis_associated	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR003928	STAT3	signal transducer and activator of transcription 3	HBREF003402	35660350	https://pubmed.ncbi.nlm.nih.gov/35660350/	Berberine regulates short-chain fatty acid metabolism and alleviates the colitis-associated colorectal tumorigenesis through remodeling intestinal flora	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR004109	TJP1	tight junction protein 1	HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR004109	TJP1	tight junction protein 1	HBREF003402	35660350	https://pubmed.ncbi.nlm.nih.gov/35660350/	Berberine regulates short-chain fatty acid metabolism and alleviates the colitis-associated colorectal tumorigenesis through remodeling intestinal flora	upregulate/increase	up	Grade C	redacted_public_package	colitis;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017892	Berberime	HBTAR004140	TNF	tumor necrosis factor	HBREF003390	35215376	https://pubmed.ncbi.nlm.nih.gov/35215376/	Pre-Administration of Berberine Exerts Chemopreventive Effects in AOM/DSS-Induced Colitis-Associated Carcinogenesis Mice via Modulating Inflammation and Intestinal Microbiota	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;colitis_associated	no	no	not_in_bulk_module	priority_for_lincs_mapping	41.0
HBIN017893	Berberine	HBTAR000260	ARNTL	aryl hydrocarbon receptor nuclear translocator like	HBREF003422	31866303	https://pubmed.ncbi.nlm.nih.gov/31866303/	Circadian pharmacological effects of berberine on chronic colitis in mice: Role of the clock component Rev-erbα	suppress/inhibitor	down	Grade C	redacted_public_package	colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	18.0
HBIN017893	Berberine	HBTAR002366	BCAM	basal cell adhesion molecule (Lutheran blood group)	HBREF003422	31866303	https://pubmed.ncbi.nlm.nih.gov/31866303/	Circadian pharmacological effects of berberine on chronic colitis in mice: Role of the clock component Rev-erbα		down	Grade C	redacted_public_package	colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	18.0
HBIN017893	Berberine	HBTAR002055	IL6	interleukin 6	HBREF003464	33658925	https://pubmed.ncbi.nlm.nih.gov/33658925/	Berberine Suppresses Colonic Inflammation in Dextran Sulfate Sodium-Induced Murine Colitis Through Inhibition of Cytosolic Phospholipase A2 Activity	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;intestinal_inflammation	no	no	not_in_bulk_module	priority_for_lincs_mapping	18.0
HBIN017893	Berberine	HBTAR010589	NLRP3	NLR family pyrin domain containing 3	HBREF003422	31866303	https://pubmed.ncbi.nlm.nih.gov/31866303/	Circadian pharmacological effects of berberine on chronic colitis in mice: Role of the clock component Rev-erbα		down	Grade C	redacted_public_package	colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	18.0
HBIN017893	Berberine	HBTAR002822	OSM	oncostatin M	HBREF003439	32332711	https://pubmed.ncbi.nlm.nih.gov/32332711/	Intervention of oncostatin M-driven mucosal inflammation by berberine exerts therapeutic property in chronic ulcerative colitis		down	Grade C	redacted_public_package	colitis;ulcerative_colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	18.0
HBIN017893	Berberine	HBTAR005082	OSMR	oncostatin M receptor	HBREF003439	32332711	https://pubmed.ncbi.nlm.nih.gov/32332711/	Intervention of oncostatin M-driven mucosal inflammation by berberine exerts therapeutic property in chronic ulcerative colitis		down	Grade C	redacted_public_package	colitis;ulcerative_colitis	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	18.0
HBIN017893	Berberine	HBTAR003023	PLA2G4A	phospholipase A2 group IVA	HBREF003464	33658925	https://pubmed.ncbi.nlm.nih.gov/33658925/	Berberine Suppresses Colonic Inflammation in Dextran Sulfate Sodium-Induced Murine Colitis Through Inhibition of Cytosolic Phospholipase A2 Activity	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;intestinal_inflammation	no	no	not_in_bulk_module	priority_for_lincs_mapping	18.0
HBIN017893	Berberine	HBTAR004140	TNF	tumor necrosis factor	HBREF003464	33658925	https://pubmed.ncbi.nlm.nih.gov/33658925/	Berberine Suppresses Colonic Inflammation in Dextran Sulfate Sodium-Induced Murine Colitis Through Inhibition of Cytosolic Phospholipase A2 Activity	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss;intestinal_inflammation	no	no	not_in_bulk_module	priority_for_lincs_mapping	18.0
HBIN018512	Bilobalide	HBTAR000130	AKT1	AKT serine/threonine kinase 1	HBREF003521	34096560	https://pubmed.ncbi.nlm.nih.gov/34096560/	The alleviating effect and mechanism of Bilobalide on ulcerative colitis	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;ulcerative_colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR000832	CLDN3	claudin 3	HBREF003521	34096560	https://pubmed.ncbi.nlm.nih.gov/34096560/	The alleviating effect and mechanism of Bilobalide on ulcerative colitis		unknown	Grade C	redacted_public_package	colitis;ulcerative_colitis;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR002042	IL1B	interleukin 1 beta	HBREF003520	32670051	https://pubmed.ncbi.nlm.nih.gov/32670051/	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway		unknown	Grade C	redacted_public_package	colitis;dss	yes	no	module_hit_direction_unclear	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR002055	IL6	interleukin 6	HBREF003520	32670051	https://pubmed.ncbi.nlm.nih.gov/32670051/	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway		unknown	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR002137	ITGAX	integrin subunit alpha X	HBREF003520	32670051	https://pubmed.ncbi.nlm.nih.gov/32670051/	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;dss	yes	no	aligned_suppresses_disease_up_target	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR000874	MAPK14	mitogen-activated protein kinase 14	HBREF003521	34096560	https://pubmed.ncbi.nlm.nih.gov/34096560/	The alleviating effect and mechanism of Bilobalide on ulcerative colitis	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;ulcerative_colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR013038	MARVELD1	MARVEL domain containing 1	HBREF003521	34096560	https://pubmed.ncbi.nlm.nih.gov/34096560/	The alleviating effect and mechanism of Bilobalide on ulcerative colitis		unknown	Grade C	redacted_public_package	colitis;ulcerative_colitis;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR002535	MPO	myeloperoxidase	HBREF003520	32670051	https://pubmed.ncbi.nlm.nih.gov/32670051/	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway		unknown	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR002705	NFKB1	nuclear factor kappa B subunit 1	HBREF003520	32670051	https://pubmed.ncbi.nlm.nih.gov/32670051/	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway		down	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR003434	RELA	RELA proto-oncogene, NF-kB subunit	HBREF003521	34096560	https://pubmed.ncbi.nlm.nih.gov/34096560/	The alleviating effect and mechanism of Bilobalide on ulcerative colitis	suppress/inhibitor	down	Grade C	redacted_public_package	colitis;ulcerative_colitis	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR004109	TJP1	tight junction protein 1	HBREF003521	34096560	https://pubmed.ncbi.nlm.nih.gov/34096560/	The alleviating effect and mechanism of Bilobalide on ulcerative colitis		unknown	Grade C	redacted_public_package	colitis;ulcerative_colitis;mucosal_barrier	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
HBIN018512	Bilobalide	HBTAR004140	TNF	tumor necrosis factor	HBREF003520	32670051	https://pubmed.ncbi.nlm.nih.gov/32670051/	Bilobalide Alleviated Dextran Sulfate Sodium-Induced Experimental Colitis by Inhibiting M1 Macrophage Polarization Through the NF-κB Signaling Pathway		unknown	Grade C	redacted_public_package	colitis;dss	no	no	not_in_bulk_module	priority_for_lincs_mapping	17.0
